,disk,memory,client,storage,metadata,memoryadmin,diskadmin,admin,nvme1,nvme2
10,117.0392063,119.5732203,113.8786458,75.48778761,33.45933333,112.9269388,96.9275,109.3242187,124.5598611,124.5598611
9,99.95909091,104.4675,87.93307692,78.082,67.10521739,109.665,103.193,95.778,128.5666667,128.5666667
8,55.8675,51.234,50.93,83.07375,107.4857143,100.292,96.9275,99.7325,123.9807143,123.9807143
10,90.79655172,95.65857143,118.1114286,81.1016,77.29277778,105.998,84.882,113.0154545,125.414,126.848
9,68.908,80.13833333,67.5575,78.52666667,71.343,96.64666667,84.74833333,102.066,126.5083333,127.0836364
8,70.75,61.27,52.525,80.725,107.9466667,95.68333333,96.32666667,100.9885714,119.9233333,124.3
,,,,,,,,,,
10,18.5892063,19.15636845,0,0.78578761,0,4.6969388,0,0.2862187,1.095983549,1.095983549
9,10.75353535,13.42375,0,2.302,10.68521739,3.995,0,0.468,0.1966667,0.1966667
8,8.9255,0,0,9.84375,0.4357143,2.362,0,1.029166667,1.117380967,1.117380967
10,90.79655172,95.65857143,118.1114286,81.1016,77.29277778,105.998,84.882,113.0154545,125.414,126.848
9,68.908,80.13833333,67.5575,78.52666667,71.343,96.64666667,84.74833333,102.066,126.5083333,127.0836364
8,70.75,61.27,52.525,80.725,107.9466667,95.68333333,96.32666667,100.9885714,119.9233333,124.3
