Type,Area (J),Disk Storage (TB),RAM Storage (GB),Storage Device,Power Type,IDLE Energy,Operation,CPU TDP (W),Number of Cores ,,,,,,,,,
categorical,numeric,numeric,numeric,categorical,categorical,numeric,categorical,numeric,numeric,,,IPMI Idle,CPU Idle,RAM Idle,Disk Storage,RAM Storage ,CPU TDP,Number of Cores 
,,,,,,,,,,,Metadata,,,,,,,
Disk,74992.91667,0.2236,186,SSD,IPMI,207.8975741,Write,125,,,Client,207.8975741,72.26646,,,,,
Disk,70748.08333,0.2236,186,SSD,IPMI,207.8975741,Write,125,,,Storage,112.2605364,,,,,,
Disk,70057,0.2236,186,SSD,IPMI,207.8975741,Write,125,,,Compute_Cascade,256.4502436,,,,,,
Memory,51735.41667,0.2236,186,SSD,IPMI,207.8975741,Write,125,,,NVMe_Storage,245.1455976,,,,,,
Memory,52862.33333,0.2236,186,SSD,IPMI,207.8975741,Write,125,,,,,,,,,,
Memory,52389.58333,0.2236,186,SSD,IPMI,207.8975741,Write,125,,,,IPMI Area,CPU Area,RAM Area,,,,
Client,74492.41667,0.2236,186,SSD,IPMI,207.8975741,Write,125,,,10,,,,,,,
Client,72831.41667,0.2236,186,SSD,IPMI,207.8975741,Write,125,,,10,,,,,,,
Client,75923.91667,0.2236,186,SSD,IPMI,207.8975741,Write,125,,,10,,,,,,,
Metadata,67726,0.2236,186,SSD,IPMI,201.2417641,Write,125,,,9,,,,,,,
Metadata,67923.33333,0.2236,186,SSD,IPMI,201.2417641,Write,125,,,9,,,,,,,
Metadata,68906.33333,0.2236,186,SSD,IPMI,201.2417641,Write,125,,,9,,,,,,,
Lustre Storage,37292.83333,25,62,HDD,IPMI,112.2605364,Write,105,10,,8,,,,,,,
Lustre Storage,37912.83333,25,62,HDD,IPMI,112.2605364,Write,105,10,,8,,,,,,,
Lustre Storage,37879,25,62,HDD,IPMI,112.2605364,Write,105,10,,8,,,,,,,
Client/Admin,63227.33333,0.4471,187,SSD,IPMI,256.4502436,Write,165,,,7,,,,,,,
Client/Admin,64027.75,0.4471,187,SSD,IPMI,256.4502436,Write,165,,,7,,,,,,,
Client/Admin,64009.33333,0.4471,187,SSD,IPMI,256.4502436,Write,165,,,7,,,,,,,
NVMe Storage,55769.66667,0.8943,251,SSD,IPMI,245.1455976,Write,155,,,,,,,,,,
