0,1,2,3,4,5,6
Disk,10,10000,1370.503593,2.4,138,173.9130435
Disk,10,10000,1465.090464,2.4,138,173.9130435
Memory,10,10000,1520.853512,2.0664,204,101.2941176
Memory,10,10000,1317.591276,2.0664,204,101.2941176
DAOS,10,10000,2317.173832,50,195,2564.102564
DAOS,10,10000,2165.459106,50,195,2564.102564
Disk,9,1000,165.1808161,2.4,138,17.39130435
Disk,9,1000,157.2807349,2.4,138,17.39130435
Memory,9,1000,179.5315469,2.0664,202,10.22970297
Memory,9,1000,94.31512387,2.0664,202,10.22970297
DAOS,9,1000,292.2956628,50,187,267.3796791
DAOS,9,1000,190.643381,50,187,267.3796791
Disk,8,100,23.16585467,2.4,140,1.714285714
Disk,8,100,22.249594,2.4,140,1.714285714
Memory,8,100,15.14532583,2.0664,202,1.022970297
Memory,8,100,10.43284613,2.0664,202,1.022970297
DAOS,8,100,76.08124698,50,167,29.94011976
DAOS,8,100,89.36792112,50,167,29.94011976
