0,1,2,3,4,5,6,7
Disk,10,10000,10.03526523,0.05,2.2,429,51.28205128
Disk,10,10000,8.9398024,0.05,2.2,429,51.28205128
Memory,10,10000,81.2470801,1.2,1.9644,4100,4.791219512
Memory,10,10000,88.06768506,1.2,1.9644,4100,4.791219512
Lustre,10,10000,531.6653593,56.48,96.32,888,1084.684685
Lustre,10,10000,499.8202995,56.48,96.32,888,1084.684685
Disk,9,1000,0.136567867,0.05,2.2,422,5.213270142
Disk,9,1000,2.871518467,0.05,2.2,422,5.213270142
Memory,9,1000,14.80323453,1.2,1.9644,3300,0.595272727
Memory,9,1000,11.97843669,1.2,1.9644,3300,0.595272727
Lustre,9,1000,142.8344641,56.48,96.32,883,109.0826727
Lustre,9,1000,39.83903293,56.48,96.32,883,109.0826727
Disk,8,100,0.068283933,0.05,2.2,408,0.539215686
Disk,8,100,5.302785375,0.05,2.2,408,0.539215686
Memory,8,100,0.247529258,1.2,1.9644,4300,0.045683721
Memory,8,100,0.1024259,1.2,1.9644,4300,0.045683721
Lustre,8,100,43.83234671,56.48,96.32,882,10.92063492
Lustre,8,100,36.28711586,56.48,96.32,882,10.92063492
