Time Elapsed ,User,Nice,Sys,Idle,IO,Run,Ctxt/s,IRQ/s,Fork,Exec,Exit,Watts,dram,pkg-0,dram,pkg-1,x86_pk,pch_le,x86_pk,CPU,Freq,GPU,W
0,5.7,0,6.8,87.5,0,2,1272,3656,63,15,16,107.07,4.1,58.33,8.31,48.74,25,19,20,1.37,GHz,-N/A-,
1,0.1,0,2.2,97.7,0,4,749,2977,6,6,6,98.84,3.78,54.31,8.31,44.54,26,19,20,1.1,GHz,-N/A-,
2,0,0,2.1,97.8,0,2,551,1958,10,5,13,98.68,3.8,54.17,8.3,44.51,27,19,20,1.1,GHz,-N/A-,
3,0,0,2.1,97.9,0,2,358,768,0,0,0,98.3,3.8,54.07,8.3,44.23,28,18,21,1.1,GHz,-N/A-,
4,0.1,0,2.2,97.7,0,2,641,1322,13,13,10,98.47,3.82,54.27,8.33,44.2,27,19,21,1.12,GHz,-N/A-,
5,0,0,2.1,97.8,0,2,593,1630,11,6,14,98.36,3.82,54.14,8.31,44.22,27,19,21,1.1,GHz,-N/A-,
6,0,0,2.1,97.9,0,2,346,1352,0,0,0,98.42,3.82,54.13,8.31,44.29,28,18,21,1.1,GHz,-N/A-,
7,0,0,2.1,97.9,0,2,327,926,0,0,0,98.76,3.83,54.14,8.31,44.63,28,19,21,1.1,GHz,-N/A-,
8,0,0,2.1,97.9,0,2,464,1007,0,0,0,98.91,3.82,54.06,8.34,44.86,28,19,21,1.11,GHz,-N/A-,
9,0,0,2.1,97.9,0,2,350,827,0,0,0,98.93,3.82,54.12,8.33,44.81,29,19,22,1.1,GHz,-N/A-,
10,0,0,2.1,97.9,0,2,386,974,0,0,0,98.95,3.82,54.14,8.32,44.82,29,18,22,1.1,GHz,-N/A-,
11,0,0,2.1,97.9,0,2,342,801,0,0,0,98.94,3.83,54.1,8.32,44.84,29,19,22,1.1,GHz,-N/A-,
12,0,0,2.1,97.9,0,2,432,892,0,0,0,99.02,3.81,54.14,8.32,44.88,29,18,22,1.11,GHz,-N/A-,
13,0.1,0,2.1,97.9,0,2,368,1042,2,1,0,98.91,3.81,54.13,8.31,44.78,29,19,22,1.12,GHz,-N/A-,
14,0,0,2.1,97.9,0,2,352,1170,0,0,0,98.71,3.84,54.19,8.31,44.52,29,18,22,1.1,GHz,-N/A-,
15,0,0,2.1,97.9,0,2,444,1347,0,0,2,98.49,3.85,54.17,8.32,44.32,29,19,22,1.11,GHz,-N/A-,
16,0,0,2.1,97.9,0,2,457,1016,0,0,0,98.68,3.85,54.19,8.32,44.49,29,19,22,1.11,GHz,-N/A-,
17,0,0,2.1,97.9,0,2,274,739,0,0,0,98.95,3.8,54.18,8.32,44.77,29,19,23,1.1,GHz,-N/A-,
18,0,0,2.1,97.9,0,2,347,901,0,0,0,98.53,3.83,54.13,8.3,44.4,30,19,23,1.1,GHz,-N/A-,
19,0,0,2.1,97.9,0,2,320,780,0,0,0,98.78,3.83,54.19,8.32,44.58,30,20,23,1.1,GHz,-N/A-,
20,0,0,2.1,97.9,0,2,503,1037,0,0,0,98.84,3.84,54.21,8.32,44.63,30,20,23,1.11,GHz,-N/A-,
21,0,0,2.1,97.9,0,2,386,1047,0,0,0,98.93,3.85,54.15,8.31,44.78,29,19,23,1.14,GHz,-N/A-,
22,0,0,2.1,97.9,0,2,368,1009,0,0,0,99.07,3.82,54.2,8.32,44.87,30,19,23,1.14,GHz,-N/A-,
23,0,0,2.1,97.8,0,2,380,1072,2,1,0,98.94,3.81,54.2,8.32,44.74,30,20,23,1.13,GHz,-N/A-,
24,0,0,2.1,97.9,0,2,536,1548,0,0,2,99.1,3.82,54.29,8.33,44.81,30,19,23,1.11,GHz,-N/A-,
25,0,0,2.1,97.9,0,2,440,1373,0,0,0,98.99,3.81,54.28,8.32,44.72,30,19,23,1.12,GHz,-N/A-,
