Time Elapsed,User,Nice,Sys,Idle,IO,Run,Ctxt/s,IRQ/s,Fork,Exec,Exit,Watts,dram,pkg-0,dram,pkg-1,x86_pk,pch_le,x86_pk,CPU,Freq,GPU,W
0,5.4,0,6.6,88,0,1,1473,3509,60,13,12,95.42,6.49,44.34,4.58,51.08,17,19,19,1.39,GHz,-N/A-,
1,0,0,0,100,0,2,308,354,2,1,2,19.42,0.86,9.86,1.35,9.56,15,19,18,1.01,GHz,-N/A-,
2,0.1,0,0.1,99.8,0,1,422,484,12,7,13,20.66,0.88,10.73,1.49,9.93,15,19,18,1.01,GHz,-N/A-,
3,0.1,0,0.1,99.8,0,1,557,530,4,4,6,21.86,1.12,11.28,1.69,10.58,15,20,17,1,GHz,-N/A-,
4,0,0,0,100,0,1,350,200,0,0,0,18.35,0.73,9.4,1.28,8.95,15,19,18,1,GHz,-N/A-,
5,0.1,0,0.1,99.8,0,2,417,252,14,14,11,20.97,0.9,10.8,1.46,10.17,15,19,18,1.01,GHz,-N/A-,
6,0,0,0,100,0,1,181,189,0,0,0,17.53,0.62,9.07,1.14,8.46,15,19,17,1,GHz,-N/A-,
7,0,0,0,99.9,0,1,401,271,13,7,16,18.95,0.74,9.79,1.17,9.15,15,19,17,1,GHz,-N/A-,
8,0,0,0.1,99.8,0.2,1,404,428,1,0,0,21.88,1.05,11.19,1.67,10.69,16,18,19,1.02,GHz,-N/A-,
9,0,0,0,99.8,0.2,1,324,387,0,0,0,21.57,0.99,11,1.48,10.58,15,19,18,1.01,GHz,-N/A-,
10,0,0,0.2,99.8,0,1,225,176,0,0,0,22.22,1.25,11.09,1.41,11.13,15,19,18,1.04,GHz,-N/A-,
11,0.1,0,0.1,99.8,0,1,417,334,14,14,11,20.6,0.87,10.72,1.45,9.88,15,19,18,1.02,GHz,-N/A-,
12,0,0,0.1,99.9,0,1,502,380,13,7,16,19.68,0.84,10.11,1.34,9.56,15,19,18,1,GHz,-N/A-,
13,0.1,0,0,99.9,0,1,218,343,2,1,0,19.18,0.76,9.84,1.26,9.34,15,20,17,1.01,GHz,-N/A-,
14,0.1,0,0.1,99.8,0,1,446,650,2,1,4,20.74,0.97,10.85,1.55,9.88,15,20,17,1,GHz,-N/A-,
15,0,0,0,100,0,1,169,109,0,0,0,17.49,0.59,8.99,1.07,8.51,15,19,17,1,GHz,-N/A-,
16,0.1,0,0,99.9,0,1,305,367,2,1,0,20.49,0.99,10.48,1.52,10.01,15,19,17,1,GHz,-N/A-,
17,0,0,0,100,0,1,196,128,0,0,0,18.22,0.73,9.45,1.21,8.77,15,19,17,1,GHz,-N/A-,
18,0,0,0,99.9,0,1,243,302,0,0,2,18.16,0.71,9.36,1.27,8.8,15,19,17,1,GHz,-N/A-,
19,0,0,0,100,0,1,262,202,0,0,0,18,0.68,9.33,1.17,8.68,15,19,17,1.01,GHz,-N/A-,
20,0.2,0,0.2,99.7,0,2,1032,1328,27,0,74,24.39,1.42,12.24,1.67,12.15,16,20,18,1.05,GHz,-N/A-,
21,0.2,0,0.4,99.4,0,1,1744,970,100,9,99,28.72,1.55,14.92,2.19,13.8,15,19,18,1.01,GHz,-N/A-,
22,0.1,0,0.1,99.8,0,1,689,455,7,6,10,22.12,1.05,11.36,1.6,10.76,15,19,18,1,GHz,-N/A-,
23,0,0,0,100,0,1,338,159,0,0,0,17.94,0.7,9.26,1.15,8.68,15,20,18,1,GHz,-N/A-,
