Time,User,Nice,Sys,Idle,IO,Run,Ctxt/s,IRQ/s,Fork,Exec,Exit,Watts,dram,pkg-0,dram,pkg-1,x86_pk,pch_le,x86_pk,CPU,Freq,GPU,W
0,1,0,2.9,96.1,0,3,4364,3749,104,70,105,54.29,1.96,26.56,2.62,27.72,20,21,19,1.02,GHz,-N/A-,
1,1,0,2.7,96.3,0,4,6520,3584,578,385,578,54.32,1.97,26.57,2.61,27.76,19,22,19,1,GHz,-N/A-,
2,1,0,2.9,96.1,0,3,6805,3789,589,393,592,54.4,1.97,26.6,2.63,27.79,20,21,20,1,GHz,-N/A-,
3,1,0,2.7,96.3,0,3,6558,3671,576,383,576,54.33,1.97,26.53,2.59,27.8,20,22,19,1,GHz,-N/A-,
4,0.9,0,2.8,96.3,0,3,6674,3743,576,383,576,54.31,2,26.49,2.55,27.82,20,21,20,1,GHz,-N/A-,
5,0.9,0,3.1,96,0,3,6672,3354,586,397,586,54.45,1.99,26.68,2.59,27.76,20,21,19,1.02,GHz,-N/A-,
6,1,0,2.7,96.3,0,3,6532,3664,577,385,577,54.28,1.98,26.51,2.54,27.77,20,21,20,1,GHz,-N/A-,
7,1.1,0,2.7,96.2,0,2,6659,3946,586,389,586,54.41,1.96,26.59,2.56,27.82,20,21,20,1,GHz,-N/A-,
8,1,0,2.7,96.3,0,3,6604,3687,576,384,576,54.29,1.99,26.45,2.53,27.84,20,21,20,1,GHz,-N/A-,
9,1.1,0,2.6,96.3,0,2,6529,3460,576,384,578,54.35,2.01,26.5,2.53,27.85,20,21,20,1,GHz,-N/A-,
10,1,0,2.7,96.3,0,2,6469,3394,577,384,577,54.22,2,26.39,2.55,27.83,20,21,20,1,GHz,-N/A-,
11,1.1,0,2.6,96.3,0,2,6469,3576,575,384,575,54.26,1.99,26.43,2.56,27.82,20,21,20,1,GHz,-N/A-,
12,1.1,0,2.6,96.3,0,3,6540,3459,576,384,574,54.2,2.04,26.38,2.56,27.82,20,21,20,1,GHz,-N/A-,
13,1,0,2.7,96.3,0,3,6449,3547,576,384,576,54.24,2.01,26.43,2.53,27.81,20,22,20,1,GHz,-N/A-,
