Time,User,Nice,Sys,Idle,IO,Run,Ctxt/s,IRQ/s,Fork,Exec,Exit,Watts,dram,pkg-0,dram,pkg-1,x86_pk,pch_le,x86_pk,CPU,Freq,GPU,W
0,0.1,0,0.1,99.7,0,2,729,638,14,14,11,23.87,1.47,11.87,2.03,12,17,20,20,1.03,GHz,-N/A-,
1,1.5,0,0.2,98.3,0,1,1637,1011,4,4,4,63.04,4.83,28.56,3.46,34.48,17,19,20,1.15,GHz,-N/A-,
2,0.1,0,0.1,99.9,0,1,598,439,15,9,18,22.23,1.13,10.95,1.54,11.29,17,20,20,1,GHz,-N/A-,
3,0,0,0,100,0,1,162,112,0,0,0,17.88,0.74,9.06,1.16,8.82,17,20,20,1,GHz,-N/A-,
4,0,0,0,100,0,1,168,115,0,0,0,17.57,0.58,9.04,1.03,8.53,17,20,20,1,GHz,-N/A-,
5,0.1,0,0.1,99.8,0,1,468,362,14,14,11,21.42,1.08,10.76,1.56,10.66,17,19,20,1.02,GHz,-N/A-,
6,0.1,0,0.1,99.9,0,1,448,588,15,8,16,21.25,1.01,10.48,1.45,10.76,16,20,19,1.01,GHz,-N/A-,
7,0.1,0,0,99.9,0,1,171,126,0,0,0,18.47,0.71,9.44,1.19,9.03,17,20,20,1,GHz,-N/A-,
8,0,0,0,99.9,0,1,220,263,0,0,2,18.44,0.69,9.31,1.2,9.13,16,19,20,1,GHz,-N/A-,
9,0.1,0,0,99.9,0,2,257,184,1,1,1,19.31,0.88,9.81,1.38,9.5,17,19,24,1.02,GHz,-N/A-,
10,5.6,0,6.6,87.8,0,2,14355,2887,47,0,0,107.58,7.7,49.24,4.9,58.34,19,19,32,2.74,GHz,-N/A-,
11,0.1,0,2.3,97.7,0,3,754,2132,15,15,13,98.64,7.6,44.41,4.58,54.23,19,20,31,1.24,GHz,-N/A-,
12,1.6,0,2.3,96.2,0,2,1748,3086,13,8,16,102.92,7.94,44.41,4.58,58.51,19,20,32,1.22,GHz,-N/A-,
13,0,0,2.1,97.7,0.2,2,513,1416,1,1,0,98.96,7.79,44.39,4.57,54.57,19,20,30,1.13,GHz,-N/A-,
14,0,0,2.2,97.5,0.3,3,658,1220,0,0,0,99.57,8.19,44.36,4.57,55.21,20,20,33,1.12,GHz,-N/A-,
15,0.1,0,2.1,97.8,0,2,686,2122,3,2,4,99.08,7.6,44.45,4.56,54.63,20,19,33,1.11,GHz,-N/A-,
16,0.1,0,2.2,97.7,0,2,651,2509,13,13,10,99.44,7.6,44.46,4.57,54.99,20,20,33,1.13,GHz,-N/A-,
17,1.2,0,2.3,96.5,0,2,1381,2978,17,12,20,102.98,7.92,44.5,4.58,58.48,20,19,33,1.17,GHz,-N/A-,
18,0,0,2.1,97.9,0,2,337,1063,0,0,0,99.24,7.59,44.36,4.56,54.88,20,20,34,1.1,GHz,-N/A-,
19,0,0,2.3,96.4,1.3,3,785,2296,0,0,0,99.86,7.74,44.35,4.56,55.51,20,20,34,1.14,GHz,-N/A-,
20,0,0,2.4,95.7,1.9,3,884,2923,1,0,0,100.02,7.82,44.38,4.56,55.64,20,20,34,1.14,GHz,-N/A-,
21,0,0,2.3,97,0.8,2,671,1642,0,0,0,99.75,7.68,44.36,4.55,55.39,20,19,34,1.14,GHz,-N/A-,
22,0,0,2.1,97.9,0,2,327,885,0,0,0,99.41,7.58,44.38,4.56,55.03,20,19,34,1.1,GHz,-N/A-,
23,0,0,2.1,97.9,0,2,304,702,0,0,0,99.58,7.58,44.35,4.56,55.22,20,20,34,1.11,GHz,-N/A-,
24,0,0,2.1,97.9,0,2,287,639,0,0,0,99.56,7.58,44.3,4.55,55.25,21,20,34,1.11,GHz,-N/A-,
25,0,0,2.1,97.9,0,2,412,811,0,0,0,99.6,7.58,44.37,4.55,55.23,20,20,35,1.11,GHz,-N/A-,
26,0,0,2.1,97.9,0,2,530,980,0,0,0,99.66,7.59,44.41,4.55,55.26,21,20,35,1.11,GHz,-N/A-,
27,1.5,0,2.3,96.2,0,2,1360,2479,6,5,4,103.62,7.96,44.61,4.57,59.01,21,19,35,1.2,GHz,-N/A-,
28,0,0,2.1,97.9,0,2,382,1194,0,0,2,99.66,7.59,44.41,4.56,55.25,21,19,35,1.11,GHz,-N/A-,
29,0,0,2.1,97.9,0,2,479,1378,0,0,0,99.64,7.59,44.44,4.55,55.2,21,20,35,1.11,GHz,-N/A-,
30,0,0,2.1,97.9,0,2,313,663,0,0,0,99.6,7.58,44.36,4.55,55.24,21,20,35,1.11,GHz,-N/A-,
31,0,0,2.1,97.9,0,2,375,818,0,0,0,99.64,7.58,44.39,4.56,55.25,21,19,35,1.11,GHz,-N/A-,
32,0,0,2.1,97.9,0,2,305,713,0,0,0,99.63,7.58,44.35,4.56,55.27,21,20,35,1.11,GHz,-N/A-,
33,0,0,2.1,97.9,0,2,427,845,0,0,0,99.61,7.58,44.39,4.56,55.22,21,19,35,1.12,GHz,-N/A-,
34,0,0,2.1,97.9,0,2,298,622,0,0,0,99.63,7.58,44.32,4.56,55.31,21,20,35,1.11,GHz,-N/A-,
35,0,0,2.1,97.9,0,2,352,832,0,0,0,99.63,7.58,44.36,4.57,55.26,21,20,35,1.11,GHz,-N/A-,
36,0,0,2.1,97.9,0,2,438,698,0,0,0,99.63,7.59,44.37,4.56,55.26,21,20,36,1.11,GHz,-N/A-,
37,0,0,2.1,97.9,0,2,429,924,0,0,0,99.67,7.58,44.41,4.56,55.26,22,19,36,1.11,GHz,-N/A-,
38,0,0,2.1,97.9,0,2,362,891,0,0,0,99.6,7.57,44.41,4.55,55.19,21,19,36,1.11,GHz,-N/A-,
39,0,0,2.1,97.9,0,2,354,958,0,0,0,99.64,7.58,44.39,4.55,55.26,21,20,36,1.11,GHz,-N/A-,
40,0,0,2.1,97.9,0,2,329,804,0,0,0,99.67,7.58,44.41,4.56,55.26,22,19,36,1.11,GHz,-N/A-,
41,0,0,2.1,97.8,0,2,484,883,0,0,0,99.6,7.59,44.39,4.56,55.2,22,20,36,1.11,GHz,-N/A-,
42,0,0,2.1,97.9,0,2,326,813,0,0,0,99.7,7.58,44.41,4.56,55.29,22,20,36,1.11,GHz,-N/A-,
43,0,0,2.1,97.9,0,2,372,907,0,0,0,99.72,7.8,44.37,4.56,55.35,22,20,34,1.11,GHz,-N/A-,
44,0,0,2.1,97.8,0,2,551,1071,0,0,0,100.04,8.53,44.44,4.57,55.6,22,19,33,1.11,GHz,-N/A-,
45,0,0,2.1,97.9,0,2,604,1294,0,0,0,100.1,8.56,44.47,4.57,55.62,22,19,34,1.11,GHz,-N/A-,
46,1,0,2.3,96.7,0,3,1315,1736,4,4,4,103.34,8.76,44.52,4.58,58.82,22,18,34,1.2,GHz,-N/A-,
47,0.2,0,2.1,97.7,0,2,500,1322,0,0,0,100.73,8.67,44.48,4.57,56.25,22,19,34,1.18,GHz,-N/A-,
48,0,0,2.1,97.9,0,2,402,806,0,0,0,99.93,8.59,44.35,4.56,55.58,22,20,34,1.11,GHz,-N/A-,
49,0,0,2.1,97.9,0,3,462,1162,2,1,0,100.16,8.57,44.49,4.56,55.68,22,20,34,1.11,GHz,-N/A-,
50,0.1,0,2.1,97.8,0,2,475,1388,2,1,0,100.25,8.49,44.59,4.56,55.66,22,20,37,1.11,GHz,-N/A-,
51,1.2,0,1.3,97.5,0,5,6351,6490,6,6,57,75,5.95,33.7,3.96,41.3,22,19,33,1.16,GHz,-N/A-,
52,2.4,0,1.4,96.2,0,3,29687,18889,16,16,12,100.62,7.82,45.22,4.56,55.4,22,19,29,1.23,GHz,-N/A-,
53,1.5,0,1.5,97.1,0,4,30462,18746,16,8,18,99.01,6.79,47.66,5.5,51.35,25,19,27,1.2,GHz,-N/A-,
54,1.6,0,1.3,97.1,0,3,30204,18223,0,0,2,99.54,4.21,53.98,8.21,45.57,26,20,27,1.11,GHz,-N/A-,
55,1.5,0,1.4,97.1,0,3,30963,18890,0,0,0,100.27,4.21,54.44,8.35,45.83,27,20,27,1.11,GHz,-N/A-,
56,1.9,0,1.5,96.6,0,2,30715,19018,4,4,4,101.27,4.74,54.11,8.25,47.15,26,19,34,1.16,GHz,-N/A-,
57,2.4,0,1.6,95.4,0.7,3,31984,20254,15,15,12,104.39,5.67,54.69,8.38,49.7,27,19,27,1.2,GHz,-N/A-,
58,1.3,0,1.4,97.3,0,3,29974,18288,15,8,18,98.57,4.2,53.36,8.15,45.21,27,20,27,1.11,GHz,-N/A-,
59,1.5,0,1.4,97.1,0,3,31033,18822,0,0,0,100.13,4.24,54.26,8.36,45.87,27,19,27,1.11,GHz,-N/A-,
60,1.4,0,1.4,97.2,0,2,30995,18909,0,0,0,100.13,4.23,54.27,8.37,45.86,26,20,27,1.11,GHz,-N/A-,
