Time,PkgWatt,RAMWatt
0,53.93,4.68
1,54.07,4.66
2,54,4.66
3,53.89,4.58
4,53.94,4.62
5,54.16,4.69
6,54.07,4.66
7,53.92,4.64
8,53.87,4.62
9,53.92,4.62
10,53.97,4.62
11,54.04,4.6
12,54.11,4.56
13,54.17,4.57
14,54.12,4.62
15,54.2,4.63
16,54.28,4.65
17,54.43,4.61
18,54.42,4.61
19,54.56,4.59
20,54.49,4.58
21,54.27,4.63
22,54.02,4.58
23,53.95,4.58
24,54.06,4.57
25,54,4.61
26,54.2,4.59
27,54,4.59
28,54.07,4.58
29,54.02,4.62
30,54.08,4.63
31,54.13,4.65
32,54.1,4.65
33,54,4.56
34,54.06,4.58
35,54.1,4.57
36,54.18,4.6
37,54.14,4.58
38,54.1,4.58
39,54.1,4.64
40,54.1,4.64
41,54.23,4.66
42,54.32,4.61
43,54.71,4.58
44,54.65,4.62
45,54.62,4.65
46,54.51,4.74
47,54.17,4.72
48,54.18,4.72
49,88.31,8.14
50,102.96,9.72
51,99.04,8.86
52,99.17,8.81
53,99.32,8.84
54,99.02,8.79
55,99.8,8.9
56,98.18,8.66
57,99.81,8.9
58,99.47,8.84
59,97.57,8.67
60,100.04,9.11
61,98.77,8.81
62,100.19,8.94
63,100.11,8.94
64,100.1,8.9
65,100.03,8.88
66,99.94,8.88
67,100.68,8.99
68,100.27,8.97
69,99.41,8.8
70,99.9,8.8
71,98.25,8.63
72,99.22,8.8
73,98.69,8.78
74,104.55,10.29
75,103.98,10.45
76,61.77,4.74
77,20.63,0.27
78,20.66,0.31
79,20.75,0.33
80,20.72,0.31
