,0,1
0,22.75,2.71
1,11.43,1.6
2,11.32,1.11
3,20.69,2.46
4,10.17,1.5
5,10.51,0.96
6,19.93,2.2
7,10.02,1.35
8,9.92,0.85
9,19.67,2.14
10,9.86,1.33
11,9.81,0.81
12,18.74,1.91
13,9.46,1.2
14,9.28,0.71
15,20.29,2.25
16,10.39,1.39
17,9.89,0.86
18,17.54,1.63
19,8.73,1.03
20,8.8,0.6
21,18.75,1.87
22,9.7,1.22
23,9.05,0.66
24,17.83,1.69
25,9.07,1.08
26,8.76,0.6
27,23.71,2.94
28,11.78,1.62
29,11.9,1.31
30,108.65,12.5
31,49.26,4.83
32,59.53,7.69
33,99.73,12.15
34,44.33,4.56
35,55.4,7.6
36,99.61,12.13
37,44.28,4.54
38,55.33,7.59
39,99.63,12.43
40,44.28,4.56
41,55.34,7.88
42,99.99,12.62
43,44.56,4.59
44,55.43,8.03
45,99.62,12.13
46,44.29,4.54
47,55.33,7.59
48,99.75,12.15
49,44.31,4.55
50,55.43,7.6
51,99.67,12.13
52,44.3,4.55
53,55.36,7.59
54,99.56,12.12
55,44.25,4.54
56,55.32,7.58
57,99.9,12.19
58,44.54,4.55
59,55.4,7.64
60,100.46,12.37
61,44.95,4.62
62,55.46,7.74
63,100.25,12.26
64,44.84,4.56
65,55.42,7.71
66,99.69,12.15
67,44.34,4.56
68,55.34,7.59
69,99.64,12.14
70,44.3,4.56
71,55.35,7.58
72,99.59,12.13
73,44.27,4.56
74,55.32,7.58
75,99.63,12.14
76,44.3,4.56
77,55.33,7.58
78,99.69,12.14
79,44.32,4.56
80,55.38,7.59
81,99.66,12.14
82,44.31,4.56
83,55.35,7.58
84,99.66,12.13
85,44.31,4.55
86,55.35,7.57
87,99.69,12.13
88,44.32,4.55
89,55.38,7.58
90,99.79,12.15
91,44.36,4.56
92,55.42,7.59
93,99.73,12.14
94,44.33,4.55
95,55.4,7.58
96,99.75,12.13
97,44.35,4.54
98,55.4,7.58
99,99.75,12.13
100,44.34,4.55
101,55.42,7.59
102,99.71,12.13
103,44.31,4.55
104,55.4,7.58
105,99.8,12.14
106,44.36,4.56
107,55.43,7.58
108,99.76,12.13
109,44.3,4.54
110,55.46,7.59
111,99.82,12.14
112,44.38,4.56
113,55.44,7.58
114,99.77,12.13
115,44.34,4.55
116,55.43,7.58
117,99.77,12.14
118,44.33,4.55
119,55.44,7.58
120,99.84,12.13
121,44.37,4.55
122,55.47,7.58
123,99.76,12.13
124,44.32,4.55
125,55.44,7.58
126,99.8,12.14
127,44.38,4.56
128,55.42,7.58
129,99.85,12.58
130,44.36,4.55
131,55.5,8.03
132,99.91,13.07
133,44.33,4.56
134,55.58,8.51
135,100.03,13.08
136,44.36,4.56
137,55.67,8.52
138,100.02,13.07
139,44.4,4.57
140,55.61,8.5
141,99.96,13.07
142,44.35,4.56
143,55.61,8.51
144,100.04,13.06
145,44.41,4.56
146,55.62,8.5
147,100.01,13.09
148,44.36,4.56
149,55.65,8.53
150,100.57,12.81
151,44.38,4.56
152,56.18,8.26
153,62.82,8.21
154,28.98,3.46
155,33.82,4.74
156,99.95,12.41
157,45.84,4.59
158,54.13,7.82
159,97.59,12.14
160,44.97,4.57
161,52.63,7.57
162,99.2,12.39
163,51.35,7.23
164,47.86,5.16
165,99.1,12.41
166,53.4,8.25
167,45.68,4.16
168,98.39,12.19
169,53.24,8.06
170,45.15,4.13
171,100.51,12.64
172,54.63,8.36
173,45.89,4.28
174,96.77,12.05
175,52.27,7.92
176,44.49,4.13
177,99.54,12.34
178,53.79,8.16
179,45.76,4.18
180,99.36,12.24
181,53.63,8.09
182,45.73,4.14
183,96.86,12.08
184,52.14,7.93
185,44.71,4.15
186,99.63,12.6
187,53.88,8.35
188,45.77,4.25
189,100.11,12.66
190,54.36,8.21
191,45.75,4.45
192,98.49,12.69
193,53.57,8.21
194,44.92,4.48
195,99.82,12.57
196,54.11,8.12
197,45.71,4.45
198,99.81,12.53
199,54.12,8.08
200,45.71,4.46
201,100.58,12.82
202,54.7,8.34
203,45.87,4.48
204,100.89,12.85
205,54.98,8.37
206,45.9,4.48
207,100.45,12.73
208,54.67,8.27
209,45.79,4.46
210,100.64,12.82
211,54.79,8.36
212,45.85,4.45
213,100.39,12.74
214,54.47,8.26
215,45.91,4.49
216,100.79,12.85
217,54.95,8.38
218,45.9,4.48
219,100.37,12.7
220,54.6,8.23
221,45.74,4.46
222,91.66,11.81
223,49.44,7.42
224,42.23,4.39
225,54.91,8.71
226,28.01,4.6
227,26.9,4.11
228,93.5,12.48
229,50.88,7.97
230,42.6,4.51
231,100.51,12.78
232,54.66,8.32
233,45.85,4.46
234,87.33,11.35
235,46.68,7
236,40.67,4.35
237,95.01,12.2
238,42.18,4.57
239,52.81,7.63
240,62.41,7.69
241,28.94,3.36
242,33.48,4.33
243,22.27,2.62
244,10.95,1.54
245,11.32,1.09
246,52.61,7.21
247,24,3.14
248,28.61,4.06
