Timestamp,Sensor,Value
15:33:43,CPU1,|
15:33:43,CPU2,|
15:33:43,PCH,|
15:33:43,System,|
15:33:43,Peripheral,|
15:33:43,VRMCpu1,|
15:33:43,VRMCpu2,|
15:33:43,VRMP1ABC,|
15:33:43,VRMP1DEF,|
15:33:43,VRMP2ABC,|
15:33:43,VRMP2DEF,|
15:33:43,FAN1,7000.000
15:33:43,FAN2,7000.000
15:33:43,FAN3,7000.000
15:33:43,P1-DIMMA1,|
15:33:43,P1-DIMMB1,|
15:33:43,P1-DIMMC1,|
15:33:43,P1-DIMMD1,|
15:33:43,P1-DIMME1,|
15:33:43,P1-DIMMF1,|
15:33:43,P2-DIMMA1,|
15:33:43,P2-DIMMB1,|
15:33:43,P2-DIMMC1,|
15:33:43,P2-DIMMD1,|
15:33:43,P2-DIMME1,|
15:33:43,P2-DIMMF1,|
15:33:43,12V,12.349
15:33:43,5VCC,5.194
15:33:43,3.3VCC,3.413
15:33:43,VBAT,0x4
15:33:43,Vcpu1,1.791
15:33:43,Vcpu2,1.791
15:33:43,VDimmP1ABC,1.200
15:33:43,VDimmP1DEF,1.200
15:33:43,VDimmP2ABC,1.200
15:33:43,VDimmP2DEF,1.200
15:33:43,5VSB,5.144
15:33:43,3.3VSB,3.412
15:33:43,1.8V,|
15:33:43,PVNN,|
15:33:43,1.05V,|
15:33:43,PS1,|
15:33:43,PS2,|
15:33:43,AOC_NIC,|
15:33:43,AOC_NIC,|
15:33:43,NVMe_SSD,|
15:33:45,CPU1,|
15:33:45,CPU2,|
15:33:45,PCH,|
15:33:45,System,|
15:33:45,Peripheral,|
15:33:45,VRMCpu1,|
15:33:45,VRMCpu2,|
15:33:45,VRMP1ABC,|
15:33:45,VRMP1DEF,|
15:33:45,VRMP2ABC,|
15:33:45,VRMP2DEF,|
15:33:45,FAN1,7000.000
15:33:45,FAN2,7000.000
15:33:45,FAN3,7000.000
15:33:45,P1-DIMMA1,|
15:33:45,P1-DIMMB1,|
15:33:45,P1-DIMMC1,|
15:33:45,P1-DIMMD1,|
15:33:45,P1-DIMME1,|
15:33:45,P1-DIMMF1,|
15:33:45,P2-DIMMA1,|
15:33:45,P2-DIMMB1,|
15:33:45,P2-DIMMC1,|
15:33:45,P2-DIMMD1,|
15:33:45,P2-DIMME1,|
15:33:45,P2-DIMMF1,|
15:33:45,12V,12.349
15:33:45,5VCC,5.194
15:33:45,3.3VCC,3.413
15:33:45,VBAT,0x4
15:33:45,Vcpu1,1.791
15:33:45,Vcpu2,1.791
15:33:45,VDimmP1ABC,1.200
15:33:45,VDimmP1DEF,1.200
15:33:45,VDimmP2ABC,1.200
15:33:45,VDimmP2DEF,1.200
15:33:45,5VSB,5.144
15:33:45,3.3VSB,3.412
15:33:45,1.8V,|
15:33:45,PVNN,|
15:33:45,1.05V,|
15:33:45,PS1,|
15:33:45,PS2,|
15:33:45,AOC_NIC,|
15:33:45,AOC_NIC,|
15:33:45,NVMe_SSD,|
15:33:47,CPU1,|
15:33:47,CPU2,|
15:33:47,PCH,|
15:33:47,System,|
15:33:47,Peripheral,|
15:33:47,VRMCpu1,|
15:33:47,VRMCpu2,|
15:33:47,VRMP1ABC,|
15:33:47,VRMP1DEF,|
15:33:47,VRMP2ABC,|
15:33:47,VRMP2DEF,|
15:33:47,FAN1,7000.000
15:33:47,FAN2,7000.000
15:33:47,FAN3,7000.000
15:33:47,P1-DIMMA1,|
15:33:47,P1-DIMMB1,|
15:33:47,P1-DIMMC1,|
15:33:47,P1-DIMMD1,|
15:33:47,P1-DIMME1,|
15:33:47,P1-DIMMF1,|
15:33:47,P2-DIMMA1,|
15:33:47,P2-DIMMB1,|
15:33:47,P2-DIMMC1,|
15:33:47,P2-DIMMD1,|
15:33:47,P2-DIMME1,|
15:33:47,P2-DIMMF1,|
15:33:47,12V,12.349
15:33:47,5VCC,5.194
15:33:47,3.3VCC,3.430
15:33:47,VBAT,0x4
15:33:47,Vcpu1,1.791
15:33:47,Vcpu2,1.791
15:33:47,VDimmP1ABC,1.200
15:33:47,VDimmP1DEF,1.200
15:33:47,VDimmP2ABC,1.200
15:33:47,VDimmP2DEF,1.200
15:33:47,5VSB,5.144
15:33:47,3.3VSB,3.412
15:33:47,1.8V,|
15:33:47,PVNN,|
15:33:47,1.05V,|
15:33:47,PS1,|
15:33:47,PS2,|
15:33:47,AOC_NIC,|
15:33:47,AOC_NIC,|
15:33:47,NVMe_SSD,|
15:33:49,CPU1,|
15:33:49,CPU2,|
15:33:49,PCH,|
15:33:49,System,|
15:33:49,Peripheral,|
15:33:49,VRMCpu1,|
15:33:49,VRMCpu2,|
15:33:49,VRMP1ABC,|
15:33:49,VRMP1DEF,|
15:33:49,VRMP2ABC,|
15:33:49,VRMP2DEF,|
15:33:49,FAN1,7000.000
15:33:49,FAN2,7000.000
15:33:49,FAN3,7000.000
15:33:49,P1-DIMMA1,|
15:33:49,P1-DIMMB1,|
15:33:49,P1-DIMMC1,|
15:33:49,P1-DIMMD1,|
15:33:49,P1-DIMME1,|
15:33:49,P1-DIMMF1,|
15:33:49,P2-DIMMA1,|
15:33:49,P2-DIMMB1,|
15:33:49,P2-DIMMC1,|
15:33:49,P2-DIMMD1,|
15:33:49,P2-DIMME1,|
15:33:49,P2-DIMMF1,|
15:33:49,12V,12.349
15:33:49,5VCC,5.194
15:33:49,3.3VCC,3.447
15:33:49,VBAT,0x4
15:33:49,Vcpu1,1.800
15:33:49,Vcpu2,1.791
15:33:49,VDimmP1ABC,1.200
15:33:49,VDimmP1DEF,1.200
15:33:49,VDimmP2ABC,1.200
15:33:49,VDimmP2DEF,1.200
15:33:49,5VSB,5.144
15:33:49,3.3VSB,3.412
15:33:49,1.8V,|
15:33:49,PVNN,|
15:33:49,1.05V,|
15:33:49,PS1,|
15:33:49,PS2,|
15:33:49,AOC_NIC,|
15:33:49,AOC_NIC,|
15:33:49,NVMe_SSD,|
15:33:51,CPU1,|
15:33:51,CPU2,|
15:33:51,PCH,|
15:33:51,System,|
15:33:51,Peripheral,|
15:33:51,VRMCpu1,|
15:33:51,VRMCpu2,|
15:33:51,VRMP1ABC,|
15:33:51,VRMP1DEF,|
15:33:51,VRMP2ABC,|
15:33:51,VRMP2DEF,|
15:33:51,FAN1,7000.000
15:33:51,FAN2,7000.000
15:33:51,FAN3,7000.000
15:33:51,P1-DIMMA1,|
15:33:51,P1-DIMMB1,|
15:33:51,P1-DIMMC1,|
15:33:51,P1-DIMMD1,|
