Time Elapsed,User,Nice,Sys,Idle,IO,Run,Ctxt/s,IRQ/s,Fork,Exec,Exit,Watts,dram,pkg-0,dram,pkg-1,x86_pk,pch_le,x86_pk,CPU,Freq,GPU,W
0,0.1,0,0.2,99.7,0,3,1032,796,6,6,4,24.91,1.6,12.84,2.28,12.06,15,19,17,1.02,GHz,-N/A-,
1,0.1,0,0.1,99.8,0,1,753,844,10,9,9,22.45,1.3,11.62,1.95,10.84,14,19,17,1.01,GHz,-N/A-,
2,1.4,0,0.2,98.4,0,1,1574,904,17,11,20,63.72,2.83,34.78,5.8,28.94,15,19,17,1.07,GHz,-N/A-,
3,0,0,0,100,0,1,420,288,0,0,0,19.38,0.96,9.73,1.6,9.65,15,19,17,1,GHz,-N/A-,
4,0,0,0,100,0,1,478,281,0,0,0,19.05,0.98,9.79,1.6,9.26,15,19,17,1,GHz,-N/A-,
5,0.1,0,0.1,99.8,0,2,640,371,5,5,4,21.3,1.15,11.03,1.8,10.27,16,19,17,1.02,GHz,-N/A-,
6,0,0,0,99.9,0,1,585,574,9,9,7,21.52,1.16,11.14,1.78,10.39,15,18,17,1.02,GHz,-N/A-,
7,0.1,0,0.1,99.9,0,1,651,497,13,7,16,20.94,1.09,10.82,1.7,10.12,15,19,17,1,GHz,-N/A-,
8,0.1,0,0.1,99.8,0,1,506,513,2,1,0,21.91,1.2,11.25,1.85,10.66,15,18,17,1.01,GHz,-N/A-,
9,0.1,0,0.1,99.9,0,2,634,523,1,1,3,22.52,1.3,11.44,1.9,11.08,15,19,21,1.02,GHz,-N/A-,
10,0.1,0,2.1,97.8,0,2,788,1111,0,0,0,96.01,7.65,43.38,4.53,52.64,17,19,27,1.11,GHz,-N/A-,
11,0.1,0,2.2,97.7,0,2,882,2136,13,13,10,98.43,7.58,44.65,4.56,53.79,17,19,28,1.13,GHz,-N/A-,
12,0.1,0,2.1,97.8,0,2,794,1704,11,6,14,98.26,7.57,44.46,4.53,53.81,17,19,28,1.11,GHz,-N/A-,
13,0,0,2.1,97.9,0,2,748,1106,0,0,0,98.5,8.23,44.42,4.53,54.08,18,19,29,1.11,GHz,-N/A-,
14,0,0,2.1,97.9,0,2,616,1197,0,0,0,98.25,7.58,44.42,4.56,53.83,17,19,29,1.11,GHz,-N/A-,
15,0,0,2.1,97.9,0,2,697,1282,0,0,0,98.08,7.58,44.37,4.53,53.71,18,19,29,1.11,GHz,-N/A-,
16,0.1,0,2.3,97.6,0,2,891,2392,15,14,10,98.53,7.58,44.64,4.6,53.89,18,19,30,1.13,GHz,-N/A-,
17,0,0,2.2,97.8,0,2,912,2528,11,6,16,98.38,7.58,44.55,4.53,53.83,18,18,30,1.11,GHz,-N/A-,
18,0,0,2.1,97.9,0,2,813,1175,0,0,0,98.19,7.58,44.43,4.51,53.76,18,19,29,1.11,GHz,-N/A-,
19,0,0,2.1,97.9,0,2,611,1069,0,0,0,98.24,7.59,44.43,4.51,53.81,18,19,30,1.11,GHz,-N/A-,
20,0.1,0,2.2,97.8,0,2,845,1195,2,2,2,98.35,7.58,44.52,4.55,53.83,18,19,30,1.11,GHz,-N/A-,
21,0,0,2.1,97.9,0,2,721,1250,0,0,0,98.23,7.57,44.41,4.53,53.82,18,18,30,1.12,GHz,-N/A-,
22,0,0,2.1,97.9,0,2,570,1010,0,0,0,98.11,7.58,44.34,4.53,53.77,18,19,30,1.11,GHz,-N/A-,
23,0,0,2.1,97.9,0,2,618,1116,0,0,0,98.26,7.58,44.43,4.54,53.83,19,19,31,1.11,GHz,-N/A-,
24,0.1,0,2.1,97.8,0,2,708,1994,2,1,2,98.37,7.57,44.54,4.54,53.83,19,19,31,1.11,GHz,-N/A-,
25,0,0,2.1,97.9,0,2,738,1217,0,0,0,98.19,7.59,44.4,4.53,53.79,19,19,30,1.11,GHz,-N/A-,
26,0,0,2.1,97.9,0,2,795,1137,0,0,0,98.31,7.58,44.47,4.53,53.83,19,19,31,1.12,GHz,-N/A-,
27,1.9,0,2.3,95.9,0,2,3003,2329,4,4,4,105.5,7.58,51.12,6.95,54.38,19,19,31,1.23,GHz,-N/A-,
28,0,0,2.1,97.9,0,2,862,1153,0,0,0,98.26,7.58,44.46,4.54,53.8,19,19,31,1.14,GHz,-N/A-,
29,0,0,2.1,97.9,0,2,713,1010,0,0,0,98.25,7.58,44.41,4.54,53.84,19,19,31,1.12,GHz,-N/A-,
30,0,0,2.1,97.9,0,2,700,1035,0,0,0,98.28,7.58,44.43,4.53,53.84,19,19,32,1.11,GHz,-N/A-,
31,0.1,0,2.1,97.8,0,2,817,1374,2,1,0,98.32,7.58,44.54,4.55,53.78,20,19,32,1.12,GHz,-N/A-,
32,0,0,2.1,97.8,0,2,721,1698,0,0,2,98.35,7.59,44.48,4.54,53.86,19,19,31,1.11,GHz,-N/A-,
33,0,0,2.1,97.9,0,2,690,986,0,0,0,98.24,7.57,44.4,4.54,53.85,19,18,32,1.11,GHz,-N/A-,
34,0.1,0,2.1,97.9,0,2,637,1046,0,0,0,98.22,7.59,44.42,4.53,53.8,19,18,32,1.11,GHz,-N/A-,
35,0,0,2.1,97.9,0,2,624,901,0,0,0,98.2,7.58,44.36,4.53,53.85,20,19,32,1.11,GHz,-N/A-,
36,0,0,2.1,97.9,0,2,652,1049,0,0,0,98.25,7.58,44.41,4.53,53.85,19,19,32,1.12,GHz,-N/A-,
37,0,0,2.1,97.9,0,2,669,1012,0,0,0,98.19,7.58,44.41,4.54,53.78,20,19,32,1.11,GHz,-N/A-,
38,0,0,2.1,97.9,0,2,604,1117,0,0,0,98.3,7.59,44.43,4.53,53.87,20,18,33,1.11,GHz,-N/A-,
39,0.1,0,2.1,97.8,0,2,700,2058,2,1,2,98.39,7.58,44.54,4.53,53.85,20,18,32,1.11,GHz,-N/A-,
40,0,0,2.1,97.9,0,2,658,1470,0,0,0,98.3,7.57,44.45,4.53,53.85,20,19,33,1.11,GHz,-N/A-,
41,0,0,2.1,97.9,0,2,716,1015,0,0,0,98.23,7.58,44.42,4.53,53.8,20,18,33,1.11,GHz,-N/A-,
42,0,0,2.1,97.9,0,2,544,967,0,0,0,99.37,8.57,44.35,4.54,55.02,20,19,29,1.11,GHz,-N/A-,
43,0,0,2.1,97.9,0,2,606,1129,0,0,0,100.06,9.01,44.46,4.53,55.6,20,19,29,1.11,GHz,-N/A-,
44,0,0,2.1,97.9,0,2,627,1220,0,0,0,100.1,9.02,44.51,4.53,55.59,20,19,29,1.12,GHz,-N/A-,
45,0.1,0,2.1,97.8,0,2,871,1158,0,0,0,100.21,9.02,44.59,4.54,55.62,20,19,29,1.11,GHz,-N/A-,
46,0,0,2.1,97.9,0,2,623,1041,0,0,0,100.04,8.9,44.44,4.54,55.6,21,19,33,1.11,GHz,-N/A-,
47,0.6,0,1.3,98.1,0,3,6815,6221,4,3,3,68.87,5.26,31.79,3.82,37.08,20,19,24,1.11,GHz,-N/A-,
48,1.4,0,1.6,97.1,0,2,28959,18168,15,15,12,99.5,6.34,49.1,6.02,50.4,23,19,25,1.14,GHz,-N/A-,
49,1.5,0,1.7,96.8,0,1,29684,18346,15,8,18,99.89,4.16,54.23,8.27,45.66,24,19,25,1.11,GHz,-N/A-,
