Time Elapsed,User,Nice,Sys,Idle,IO,Run,Ctxt/s,IRQ/s,Fork,Exec,Exit,Watts,dram,pkg-0,dram,pkg-1,x86_pk,pch_le,x86_pk,CPU,Freq,GPU,W
0,1.7,0,5.5,92.8,0,4,10215,6431,643,430,644,101.1,5.35,49.98,8.4,51.12,35,26,35,2.35,GHz,-N/A-,
1,6.4,0,5.6,88,0,2,16121,8437,1275,853,1275,107.83,5.56,52.66,8.46,55.17,35,26,35,2.51,GHz,-N/A-,
2,1.7,0,5.4,93,0,3,14025,5942,1205,802,1205,101.47,5.4,50.01,8.42,51.47,35,26,34,2.34,GHz,-N/A-,
3,1.8,0,5.6,92.7,0,3,13692,6018,1192,799,1189,101.44,5.37,49.59,8.42,51.85,35,26,34,2.36,GHz,-N/A-,
4,1.6,0,5.5,92.9,0,2,13649,6158,1176,782,1181,101.35,5.37,49.89,8.41,51.46,35,25,35,2.33,GHz,-N/A-,
5,1.7,0,5.4,92.9,0,3,13782,6575,1184,790,1182,101.9,5.35,50.33,8.4,51.56,35,26,35,2.4,GHz,-N/A-,
6,1.9,0,5.4,92.7,0,3,13505,6486,1176,782,1176,101.68,5.36,50.08,8.42,51.6,35,26,35,2.37,GHz,-N/A-,
7,1.8,0,5.5,92.8,0,2,13387,6316,1167,780,1167,101.38,5.38,49.9,8.42,51.47,35,26,35,2.34,GHz,-N/A-,
8,1.5,0,5.8,92.8,0,2,13230,6432,1164,776,1166,101.2,5.37,49.78,8.42,51.42,35,26,35,2.3,GHz,-N/A-,
9,1.7,0,5.5,92.8,0,3,13350,6316,1161,774,1159,101.19,5.4,49.98,8.43,51.2,35,27,35,2.31,GHz,-N/A-,
10,1.9,0,5.3,92.9,0,2,13521,6516,1165,776,1167,101.48,5.41,50.33,8.43,51.14,35,26,35,2.3,GHz,-N/A-,
11,1.8,0,5.3,92.9,0,3,13380,6289,1157,772,1155,101.39,5.4,50.27,8.39,51.11,36,26,35,2.32,GHz,-N/A-,
12,1.8,0,5.3,92.9,0,2,13442,6473,1167,778,1169,101.32,5.38,50.13,8.4,51.19,35,26,35,2.31,GHz,-N/A-,
13,1.8,0,5.6,92.7,0,3,13292,6509,1161,773,1159,101.35,5.37,50.1,8.41,51.25,35,26,35,2.3,GHz,-N/A-,
14,1.9,0,5.3,92.7,0,3,13295,6384,1146,765,1146,101.14,5.38,49.96,8.4,51.18,36,26,36,2.26,GHz,-N/A-,
15,1.7,0,5.6,92.7,0,2,13376,6163,1159,772,1161,101.04,5.4,49.71,8.39,51.33,35,25,35,2.28,GHz,-N/A-,
16,1.9,0,5.2,92.9,0,3,13169,6337,1151,766,1149,101.15,5.39,49.86,8.42,51.3,35,26,35,2.25,GHz,-N/A-,
17,1.8,0,5.5,92.7,0,3,13252,6476,1164,778,1164,101.35,5.38,50.07,8.42,51.28,35,25,35,2.28,GHz,-N/A-,
18,1.7,0,5.4,92.9,0,3,13561,6461,1164,774,1164,101.37,5.39,50.13,8.41,51.24,35,25,35,2.29,GHz,-N/A-,
19,1.8,0,5.4,92.8,0,3,13369,6346,1164,778,1164,101.22,5.4,49.92,8.39,51.3,35,25,35,2.31,GHz,-N/A-,
20,2,0,5.3,92.7,0,3,13411,6387,1164,774,1164,101.29,5.4,50.02,8.41,51.27,35,26,35,2.31,GHz,-N/A-,
21,1.8,0,5.5,92.7,0,3,13248,6568,1158,773,1158,101.14,5.41,49.91,8.41,51.24,36,26,35,2.28,GHz,-N/A-,
22,1.4,0,5.9,92.7,0,3,13490,6553,1166,777,1167,101.36,5.39,50.09,8.41,51.27,36,26,35,2.31,GHz,-N/A-,
23,1.8,0,5.5,92.7,0,3,13354,6391,1162,776,1161,101.22,5.4,49.88,8.4,51.34,35,26,35,2.29,GHz,-N/A-,
24,1.9,0,5.1,93,0,2,13304,6443,1146,764,1147,101.3,5.37,50.1,8.4,51.2,35,25,35,2.28,GHz,-N/A-,
25,1.6,0,6,92.4,0,3,13418,6606,1166,776,1166,101.31,5.38,50.08,8.41,51.24,35,26,35,2.29,GHz,-N/A-,
26,1.7,0,5.4,92.9,0,3,13543,6570,1162,776,1161,101.29,5.38,50.14,8.41,51.15,35,26,35,2.31,GHz,-N/A-,
27,1.5,0,5.6,92.9,0,4,13587,6500,1178,784,1179,101.71,5.37,50.19,8.4,51.52,35,25,35,2.33,GHz,-N/A-,
28,1.5,0,5.4,93.1,0,3,13575,6087,1171,780,1170,101.27,5.38,49.73,8.4,51.55,36,26,35,2.26,GHz,-N/A-,
29,1.7,0,5.4,92.9,0,3,13379,6329,1164,776,1164,101.55,5.4,50.07,8.39,51.48,36,27,35,2.32,GHz,-N/A-,
30,2.1,0,5.1,92.8,0,3,13815,6537,1193,796,1191,101.9,5.39,50.27,8.41,51.64,36,26,35,2.38,GHz,-N/A-,
31,1.8,0,5.1,93.1,0,2,13580,6425,1183,789,1187,101.67,5.39,50.12,8.42,51.56,36,26,35,2.37,GHz,-N/A-,
32,1.7,0,5.1,93.2,0,3,13358,6451,1167,778,1167,101.65,5.38,50.18,8.41,51.47,36,26,35,2.35,GHz,-N/A-,
33,1.5,0,5.8,92.7,0,2,13292,6480,1166,778,1166,101.46,5.4,49.86,8.43,51.6,36,26,35,2.31,GHz,-N/A-,
34,1.5,0,5.5,93,0,3,13402,6576,1173,780,1171,101.64,5.39,50.22,8.43,51.42,35,24,35,2.35,GHz,-N/A-,
35,2.1,0,5.1,92.8,0,3,13513,6514,1179,786,1179,101.74,5.39,50.2,8.42,51.53,36,26,35,2.35,GHz,-N/A-,
36,1.7,0,5.4,92.9,0,3,13251,6398,1164,776,1164,101.58,5.4,50.16,8.4,51.42,36,26,35,2.31,GHz,-N/A-,
37,2.2,0,5.2,92.5,0,2,13431,6464,1171,782,1173,101.62,5.41,50.14,8.4,51.48,36,26,35,2.33,GHz,-N/A-,
38,1.6,0,5.5,92.9,0,3,13457,6605,1169,778,1167,101.65,5.39,50.21,8.4,51.43,36,26,35,2.32,GHz,-N/A-,
