Time Elapsed,Time (seconds_,Sensor,Value,Timestamp
0,40,Current,107,15:50:40
0,40,Minimum,3,15:50:40
0,40,Maximum,504,15:50:40
0,40,Average,57,15:50:40
0,40,Current,107,15:50:40
0,40,Minimum,3,15:50:40
0,40,Maximum,504,15:50:40
0,40,Average,57,15:50:40
0,40,Current,109,15:50:40
0,40,Minimum,3,15:50:40
0,40,Maximum,504,15:50:40
0,40,Average,57,15:50:40
1,41,Current,109,15:50:41
1,41,Minimum,3,15:50:41
1,41,Maximum,504,15:50:41
1,41,Average,57,15:50:41
1,41,Current,124,15:50:41
1,41,Minimum,3,15:50:41
1,41,Maximum,504,15:50:41
1,41,Average,57,15:50:41
1,41,Current,124,15:50:41
1,41,Minimum,3,15:50:41
1,41,Maximum,504,15:50:41
1,41,Average,57,15:50:41
2,42,Current,134,15:50:42
2,42,Minimum,3,15:50:42
2,42,Maximum,504,15:50:42
2,42,Average,57,15:50:42
2,42,Current,131,15:50:42
2,42,Minimum,3,15:50:42
2,42,Maximum,504,15:50:42
2,42,Average,57,15:50:42
2,42,Current,131,15:50:42
2,42,Minimum,3,15:50:42
2,42,Maximum,504,15:50:42
2,42,Average,57,15:50:42
3,43,Current,131,15:50:43
3,43,Minimum,3,15:50:43
3,43,Maximum,504,15:50:43
3,43,Average,57,15:50:43
3,43,Current,131,15:50:43
3,43,Minimum,3,15:50:43
3,43,Maximum,504,15:50:43
3,43,Average,57,15:50:43
3,43,Current,129,15:50:43
3,43,Minimum,3,15:50:43
3,43,Maximum,504,15:50:43
3,43,Average,57,15:50:43
3,43,Current,129,15:50:43
3,43,Minimum,3,15:50:43
3,43,Maximum,504,15:50:43
3,43,Average,57,15:50:43
4,44,Current,130,15:50:44
4,44,Minimum,3,15:50:44
4,44,Maximum,504,15:50:44
4,44,Average,57,15:50:44
4,44,Current,128,15:50:44
4,44,Minimum,3,15:50:44
4,44,Maximum,504,15:50:44
4,44,Average,57,15:50:44
4,44,Current,128,15:50:44
4,44,Minimum,3,15:50:44
4,44,Maximum,504,15:50:44
4,44,Average,57,15:50:44
5,45,Current,123,15:50:45
5,45,Minimum,3,15:50:45
5,45,Maximum,504,15:50:45
5,45,Average,57,15:50:45
5,45,Current,123,15:50:45
5,45,Minimum,3,15:50:45
5,45,Maximum,504,15:50:45
5,45,Average,57,15:50:45
5,45,Current,125,15:50:45
5,45,Minimum,3,15:50:45
5,45,Maximum,504,15:50:45
5,45,Average,57,15:50:45
5,45,Current,125,15:50:45
5,45,Minimum,3,15:50:45
5,45,Maximum,504,15:50:45
5,45,Average,57,15:50:45
6,46,Current,129,15:50:46
6,46,Minimum,3,15:50:46
6,46,Maximum,504,15:50:46
6,46,Average,57,15:50:46
6,46,Current,129,15:50:46
6,46,Minimum,3,15:50:46
6,46,Maximum,504,15:50:46
6,46,Average,57,15:50:46
6,46,Current,131,15:50:46
6,46,Minimum,3,15:50:46
6,46,Maximum,504,15:50:46
6,46,Average,57,15:50:46
7,47,Current,127,15:50:47
7,47,Minimum,3,15:50:47
7,47,Maximum,504,15:50:47
7,47,Average,57,15:50:47
7,47,Current,127,15:50:47
7,47,Minimum,3,15:50:47
7,47,Maximum,504,15:50:47
7,47,Average,57,15:50:47
7,47,Current,131,15:50:47
7,47,Minimum,3,15:50:47
7,47,Maximum,504,15:50:47
7,47,Average,57,15:50:47
7,47,Current,131,15:50:47
7,47,Minimum,3,15:50:47
7,47,Maximum,504,15:50:47
7,47,Average,57,15:50:47
8,48,Current,135,15:50:48
8,48,Minimum,3,15:50:48
8,48,Maximum,504,15:50:48
8,48,Average,57,15:50:48
8,48,Current,135,15:50:48
8,48,Minimum,3,15:50:48
8,48,Maximum,504,15:50:48
8,48,Average,57,15:50:48
8,48,Current,135,15:50:48
8,48,Minimum,3,15:50:48
8,48,Maximum,504,15:50:48
8,48,Average,57,15:50:48
9,49,Current,130,15:50:49
9,49,Minimum,3,15:50:49
9,49,Maximum,504,15:50:49
9,49,Average,57,15:50:49
9,49,Current,130,15:50:49
9,49,Minimum,3,15:50:49
9,49,Maximum,504,15:50:49
9,49,Average,57,15:50:49
9,49,Current,124,15:50:49
9,49,Minimum,3,15:50:49
9,49,Maximum,504,15:50:49
9,49,Average,57,15:50:49
10,50,Current,152,15:50:50
10,50,Minimum,3,15:50:50
10,50,Maximum,504,15:50:50
10,50,Average,57,15:50:50
10,50,Current,152,15:50:50
10,50,Minimum,3,15:50:50
10,50,Maximum,504,15:50:50
10,50,Average,57,15:50:50
10,50,Current,160,15:50:50
10,50,Minimum,3,15:50:50
10,50,Maximum,504,15:50:50
10,50,Average,57,15:50:50
11,51,Current,160,15:50:51
11,51,Minimum,3,15:50:51
11,51,Maximum,504,15:50:51
11,51,Average,57,15:50:51
11,51,Current,144,15:50:51
11,51,Minimum,3,15:50:51
11,51,Maximum,504,15:50:51
11,51,Average,57,15:50:51
11,51,Current,144,15:50:51
11,51,Minimum,3,15:50:51
11,51,Maximum,504,15:50:51
11,51,Average,57,15:50:51
11,51,Current,134,15:50:51
11,51,Minimum,3,15:50:51
11,51,Maximum,504,15:50:51
11,51,Average,57,15:50:51
12,52,Current,134,15:50:52
12,52,Minimum,3,15:50:52
12,52,Maximum,504,15:50:52
12,52,Average,57,15:50:52
12,52,Current,133,15:50:52
12,52,Minimum,3,15:50:52
12,52,Maximum,504,15:50:52
12,52,Average,57,15:50:52
12,52,Current,132,15:50:52
12,52,Minimum,3,15:50:52
12,52,Maximum,504,15:50:52
12,52,Average,57,15:50:52
13,53,Current,132,15:50:53
13,53,Minimum,3,15:50:53
13,53,Maximum,504,15:50:53
13,53,Average,57,15:50:53
13,53,Current,128,15:50:53
13,53,Minimum,3,15:50:53
13,53,Maximum,504,15:50:53
13,53,Average,57,15:50:53
13,53,Current,128,15:50:53
13,53,Minimum,3,15:50:53
13,53,Maximum,504,15:50:53
13,53,Average,57,15:50:53
13,53,Current,128,15:50:53
13,53,Minimum,3,15:50:53
13,53,Maximum,504,15:50:53
13,53,Average,57,15:50:53
14,54,Current,128,15:50:54
14,54,Minimum,3,15:50:54
14,54,Maximum,504,15:50:54
14,54,Average,57,15:50:54
14,54,Current,127,15:50:54
14,54,Minimum,3,15:50:54
14,54,Maximum,504,15:50:54
14,54,Average,57,15:50:54
14,54,Current,133,15:50:54
14,54,Minimum,3,15:50:54
14,54,Maximum,504,15:50:54
14,54,Average,57,15:50:54
15,55,Current,133,15:50:55
15,55,Minimum,3,15:50:55
15,55,Maximum,504,15:50:55
15,55,Average,57,15:50:55
15,55,Current,133,15:50:55
15,55,Minimum,3,15:50:55
15,55,Maximum,504,15:50:55
15,55,Average,57,15:50:55
15,55,Current,133,15:50:55
15,55,Minimum,3,15:50:55
15,55,Maximum,504,15:50:55
15,55,Average,57,15:50:55
16,56,Current,130,15:50:56
16,56,Minimum,3,15:50:56
16,56,Maximum,504,15:50:56
16,56,Average,57,15:50:56
16,56,Current,130,15:50:56
16,56,Minimum,3,15:50:56
16,56,Maximum,504,15:50:56
16,56,Average,57,15:50:56
16,56,Current,131,15:50:56
16,56,Minimum,3,15:50:56
16,56,Maximum,504,15:50:56
16,56,Average,57,15:50:56
16,56,Current,130,15:50:56
16,56,Minimum,3,15:50:56
16,56,Maximum,504,15:50:56
16,56,Average,57,15:50:56
17,57,Current,130,15:50:57
17,57,Minimum,3,15:50:57
17,57,Maximum,504,15:50:57
17,57,Average,57,15:50:57
17,57,Current,133,15:50:57
17,57,Minimum,3,15:50:57
17,57,Maximum,504,15:50:57
17,57,Average,57,15:50:57
17,57,Current,133,15:50:57
17,57,Minimum,3,15:50:57
17,57,Maximum,504,15:50:57
17,57,Average,57,15:50:57
