Time Elapsed,Time (seconds),Sensor,Value,Timestamp
0,47,Current,102,0.656099537
0,47,Minimum,3,0.656099537
0,47,Maximum,504,0.656099537
0,47,Average,57,0.656099537
1,48,Current,102,0.656111111
1,48,Minimum,3,0.656111111
1,48,Maximum,504,0.656111111
1,48,Average,57,0.656111111
1,48,Current,116,0.656111111
1,48,Minimum,3,0.656111111
1,48,Maximum,504,0.656111111
1,48,Average,57,0.656111111
1,48,Current,116,0.656111111
1,48,Minimum,3,0.656111111
1,48,Maximum,504,0.656111111
1,48,Average,57,0.656111111
2,49,Current,132,0.656122685
2,49,Minimum,3,0.656122685
2,49,Maximum,504,0.656122685
2,49,Average,57,0.656122685
2,49,Current,132,0.656122685
2,49,Minimum,3,0.656122685
2,49,Maximum,504,0.656122685
2,49,Average,57,0.656122685
2,49,Current,130,0.656122685
2,49,Minimum,3,0.656122685
2,49,Maximum,504,0.656122685
2,49,Average,57,0.656122685
2,49,Current,130,0.656122685
2,49,Minimum,3,0.656122685
2,49,Maximum,504,0.656122685
2,49,Average,57,0.656122685
3,50,Current,127,0.656134259
3,50,Minimum,3,0.656134259
3,50,Maximum,504,0.656134259
3,50,Average,57,0.656134259
3,50,Current,127,0.656134259
3,50,Minimum,3,0.656134259
3,50,Maximum,504,0.656134259
3,50,Average,57,0.656134259
3,50,Current,127,0.656134259
3,50,Minimum,3,0.656134259
3,50,Maximum,504,0.656134259
3,50,Average,57,0.656134259
4,51,Current,133,0.656145833
4,51,Minimum,3,0.656145833
4,51,Maximum,504,0.656145833
4,51,Average,57,0.656145833
4,51,Current,133,0.656145833
4,51,Minimum,3,0.656145833
4,51,Maximum,504,0.656145833
4,51,Average,57,0.656145833
4,51,Current,130,0.656145833
4,51,Minimum,3,0.656145833
4,51,Maximum,504,0.656145833
4,51,Average,57,0.656145833
4,51,Current,130,0.656145833
4,51,Minimum,3,0.656145833
4,51,Maximum,504,0.656145833
4,51,Average,57,0.656145833
5,52,Current,129,0.656157407
5,52,Minimum,3,0.656157407
5,52,Maximum,504,0.656157407
5,52,Average,57,0.656157407
5,52,Current,129,0.656157407
5,52,Minimum,3,0.656157407
5,52,Maximum,504,0.656157407
5,52,Average,57,0.656157407
5,52,Current,131,0.656157407
5,52,Minimum,3,0.656157407
5,52,Maximum,504,0.656157407
5,52,Average,57,0.656157407
6,53,Current,131,0.656168981
6,53,Minimum,3,0.656168981
6,53,Maximum,504,0.656168981
6,53,Average,57,0.656168981
6,53,Current,127,0.656168981
6,53,Minimum,3,0.656168981
6,53,Maximum,504,0.656168981
6,53,Average,57,0.656168981
6,53,Current,127,0.656168981
6,53,Minimum,3,0.656168981
6,53,Maximum,504,0.656168981
6,53,Average,57,0.656168981
7,54,Current,127,0.656180556
7,54,Minimum,3,0.656180556
7,54,Maximum,504,0.656180556
7,54,Average,57,0.656180556
7,54,Current,131,0.656180556
7,54,Minimum,3,0.656180556
7,54,Maximum,504,0.656180556
7,54,Average,57,0.656180556
7,54,Current,131,0.656180556
7,54,Minimum,3,0.656180556
7,54,Maximum,504,0.656180556
7,54,Average,57,0.656180556
7,54,Current,131,0.656180556
7,54,Minimum,3,0.656180556
7,54,Maximum,504,0.656180556
7,54,Average,57,0.656180556
8,55,Current,132,0.65619213
8,55,Minimum,3,0.65619213
8,55,Maximum,504,0.65619213
8,55,Average,57,0.65619213
8,55,Current,132,0.65619213
8,55,Minimum,3,0.65619213
8,55,Maximum,504,0.65619213
8,55,Average,57,0.65619213
8,55,Current,127,0.65619213
8,55,Minimum,3,0.65619213
8,55,Maximum,504,0.65619213
8,55,Average,57,0.65619213
9,56,Current,127,0.656203704
9,56,Minimum,3,0.656203704
9,56,Maximum,504,0.656203704
9,56,Average,57,0.656203704
9,56,Current,126,0.656203704
9,56,Minimum,3,0.656203704
9,56,Maximum,504,0.656203704
9,56,Average,57,0.656203704
9,56,Current,126,0.656203704
9,56,Minimum,3,0.656203704
9,56,Maximum,504,0.656203704
9,56,Average,57,0.656203704
9,56,Current,128,0.656203704
9,56,Minimum,3,0.656203704
9,56,Maximum,504,0.656203704
9,56,Average,57,0.656203704
10,57,Current,128,0.656215278
10,57,Minimum,3,0.656215278
10,57,Maximum,504,0.656215278
10,57,Average,57,0.656215278
10,57,Current,127,0.656215278
10,57,Minimum,3,0.656215278
10,57,Maximum,504,0.656215278
10,57,Average,57,0.656215278
10,57,Current,129,0.656215278
10,57,Minimum,3,0.656215278
10,57,Maximum,504,0.656215278
10,57,Average,57,0.656215278
11,58,Current,129,0.656226852
11,58,Minimum,3,0.656226852
11,58,Maximum,504,0.656226852
11,58,Average,57,0.656226852
11,58,Current,127,0.656226852
11,58,Minimum,3,0.656226852
11,58,Maximum,504,0.656226852
11,58,Average,57,0.656226852
11,58,Current,127,0.656226852
11,58,Minimum,3,0.656226852
11,58,Maximum,504,0.656226852
11,58,Average,57,0.656226852
12,59,Current,126,0.656238426
12,59,Minimum,3,0.656238426
12,59,Maximum,504,0.656238426
12,59,Average,57,0.656238426
12,59,Current,126,0.656238426
12,59,Minimum,3,0.656238426
12,59,Maximum,504,0.656238426
12,59,Average,57,0.656238426
12,59,Current,127,0.656238426
12,59,Minimum,3,0.656238426
12,59,Maximum,504,0.656238426
12,59,Average,57,0.656238426
12,59,Current,127,0.656238426
12,59,Minimum,3,0.656238426
12,59,Maximum,504,0.656238426
12,59,Average,57,0.656238426
13,60,Current,130,0.65625
13,60,Minimum,3,0.65625
13,60,Maximum,504,0.65625
13,60,Average,57,0.65625
13,60,Current,131,0.65625
13,60,Minimum,3,0.65625
13,60,Maximum,504,0.65625
13,60,Average,57,0.65625
13,60,Current,131,0.65625
13,60,Minimum,3,0.65625
13,60,Maximum,504,0.65625
13,60,Average,57,0.65625
14,61,Current,127,0.656261574
14,61,Minimum,3,0.656261574
14,61,Maximum,504,0.656261574
14,61,Average,57,0.656261574
14,61,Current,127,0.656261574
14,61,Minimum,3,0.656261574
14,61,Maximum,504,0.656261574
14,61,Average,57,0.656261574
14,61,Current,133,0.656261574
14,61,Minimum,3,0.656261574
14,61,Maximum,504,0.656261574
14,61,Average,57,0.656261574
15,62,Current,141,0.656273148
15,62,Minimum,3,0.656273148
15,62,Maximum,504,0.656273148
15,62,Average,57,0.656273148
15,62,Current,179,0.656273148
15,62,Minimum,3,0.656273148
15,62,Maximum,504,0.656273148
15,62,Average,57,0.656273148
16,63,Current,198,0.656284722
16,63,Minimum,3,0.656284722
16,63,Maximum,504,0.656284722
16,63,Average,57,0.656284722
16,63,Current,198,0.656284722
16,63,Minimum,3,0.656284722
16,63,Maximum,504,0.656284722
16,63,Average,57,0.656284722
17,64,Current,198,0.656296296
17,64,Minimum,3,0.656296296
17,64,Maximum,504,0.656296296
17,64,Average,57,0.656296296
17,64,Current,198,0.656296296
17,64,Minimum,3,0.656296296
17,64,Maximum,504,0.656296296
17,64,Average,57,0.656296296
18,65,Current,199,0.65630787
18,65,Minimum,3,0.65630787
18,65,Maximum,504,0.65630787
18,65,Average,57,0.65630787
18,65,Current,199,0.65630787
18,65,Minimum,3,0.65630787
18,65,Maximum,504,0.65630787
18,65,Average,57,0.65630787
18,65,Current,178,0.65630787
18,65,Minimum,3,0.65630787
18,65,Maximum,504,0.65630787
18,65,Average,57,0.65630787
19,66,Current,178,0.656319444
19,66,Minimum,3,0.656319444
19,66,Maximum,504,0.656319444
19,66,Average,57,0.656319444
19,66,Current,171,0.656319444
19,66,Minimum,3,0.656319444
19,66,Maximum,504,0.656319444
19,66,Average,57,0.656319444
19,66,Current,193,0.656319444
19,66,Minimum,3,0.656319444
19,66,Maximum,504,0.656319444
19,66,Average,57,0.656319444
20,67,Current,193,0.656331019
20,67,Minimum,3,0.656331019
20,67,Maximum,504,0.656331019
20,67,Average,57,0.656331019
20,67,Current,199,0.656331019
20,67,Minimum,3,0.656331019
20,67,Maximum,504,0.656331019
20,67,Average,57,0.656331019
20,67,Current,199,0.656331019
20,67,Minimum,3,0.656331019
20,67,Maximum,504,0.656331019
20,67,Average,57,0.656331019
20,67,Current,197,0.656331019
20,67,Minimum,3,0.656331019
20,67,Maximum,504,0.656331019
20,67,Average,57,0.656331019
21,68,Current,197,0.656342593
21,68,Minimum,3,0.656342593
21,68,Maximum,504,0.656342593
21,68,Average,57,0.656342593
21,68,Current,163,0.656342593
21,68,Minimum,3,0.656342593
21,68,Maximum,504,0.656342593
21,68,Average,57,0.656342593
21,68,Current,128,0.656342593
21,68,Minimum,3,0.656342593
21,68,Maximum,504,0.656342593
21,68,Average,57,0.656342593
22,69,Current,128,0.656354167
22,69,Minimum,3,0.656354167
22,69,Maximum,504,0.656354167
22,69,Average,57,0.656354167
22,69,Current,129,0.656354167
22,69,Minimum,3,0.656354167
22,69,Maximum,504,0.656354167
22,69,Average,57,0.656354167
22,69,Current,129,0.656354167
22,69,Minimum,3,0.656354167
22,69,Maximum,504,0.656354167
22,69,Average,57,0.656354167
22,69,Current,127,0.656354167
22,69,Minimum,3,0.656354167
22,69,Maximum,504,0.656354167
22,69,Average,57,0.656354167
23,70,Current,127,0.656365741
23,70,Minimum,3,0.656365741
23,70,Maximum,504,0.656365741
23,70,Average,57,0.656365741
23,70,Current,128,0.656365741
23,70,Minimum,3,0.656365741
23,70,Maximum,504,0.656365741
23,70,Average,57,0.656365741
23,70,Current,133,0.656365741
23,70,Minimum,3,0.656365741
23,70,Maximum,504,0.656365741
23,70,Average,57,0.656365741
24,71,Current,133,0.656377315
24,71,Minimum,3,0.656377315
24,71,Maximum,504,0.656377315
24,71,Average,57,0.656377315
24,71,Current,136,0.656377315
24,71,Minimum,3,0.656377315
24,71,Maximum,504,0.656377315
24,71,Average,57,0.656377315
24,71,Current,136,0.656377315
24,71,Minimum,3,0.656377315
24,71,Maximum,504,0.656377315
24,71,Average,57,0.656377315
24,71,Current,129,0.656377315
24,71,Minimum,3,0.656377315
24,71,Maximum,504,0.656377315
24,71,Average,57,0.656377315
25,72,Current,129,0.656388889
25,72,Minimum,3,0.656388889
25,72,Maximum,504,0.656388889
25,72,Average,57,0.656388889
25,72,Current,125,0.656388889
25,72,Minimum,3,0.656388889
25,72,Maximum,504,0.656388889
25,72,Average,57,0.656388889
25,72,Current,125,0.656388889
25,72,Minimum,3,0.656388889
25,72,Maximum,504,0.656388889
25,72,Average,57,0.656388889
26,73,Current,129,0.656400463
26,73,Minimum,3,0.656400463
26,73,Maximum,504,0.656400463
26,73,Average,57,0.656400463
26,73,Current,127,0.656400463
26,73,Minimum,3,0.656400463
26,73,Maximum,504,0.656400463
26,73,Average,57,0.656400463
26,73,Current,127,0.656400463
26,73,Minimum,3,0.656400463
26,73,Maximum,504,0.656400463
26,73,Average,57,0.656400463
26,73,Current,132,0.656400463
26,73,Minimum,3,0.656400463
26,73,Maximum,504,0.656400463
26,73,Average,57,0.656400463
27,74,Current,132,0.656412037
27,74,Minimum,3,0.656412037
27,74,Maximum,504,0.656412037
27,74,Average,57,0.656412037
27,74,Current,130,0.656412037
27,74,Minimum,3,0.656412037
27,74,Maximum,504,0.656412037
27,74,Average,57,0.656412037
27,74,Current,130,0.656412037
27,74,Minimum,3,0.656412037
27,74,Maximum,504,0.656412037
27,74,Average,57,0.656412037
