Time (elapsed),Total Power,CPU Power,Difference
0,103,24.91,78.09
1,129,22.45,106.55
2,129,63.72,65.28
3,128,19.38,108.62
4,126,19.05,106.95
5,123,21.3,101.7
6,129,21.52,107.48
7,131,20.94,110.06
8,145,21.91,123.09
9,145,22.52,122.48
10,145,96.01,48.99
11,144,98.43,45.57
12,143,98.26,44.74
13,143,98.5,44.5
14,143,98.25,44.75
15,142,98.08,43.92
16,143,98.53,44.47
17,142,98.38,43.62
18,141,98.19,42.81
19,141,98.24,42.76
20,140,98.35,41.65
21,140,98.23,41.77
22,139,98.11,40.89
23,139,98.26,40.74
24,139,98.37,40.63
25,139,98.19,40.81
26,139,98.31,40.69
27,140,105.5,34.5
28,139,98.26,40.74
29,141,98.25,42.75
30,140,98.28,41.72
31,140,98.32,41.68
32,140,98.35,41.65
33,141,98.24,42.76
34,141,98.22,42.78
35,140,98.2,41.8
36,140,98.25,41.75
37,140,98.19,41.81
38,140,98.3,41.7
39,141,98.39,42.61
40,140,98.3,41.7
41,141,98.23,42.77
42,140,99.37,40.63
43,140,100.06,39.94
44,140,100.1,39.9
45,141,100.21,40.79
46,141,100.04,40.96
47,140,68.87,71.13
48,141,99.5,41.5
49,140,99.89,40.11
50,140,98.64,41.36
51,141,99.96,41.04
52,140,99.55,40.45
53,140,105.59,34.41
54,140,100.13,39.87
55,140,99.77,40.23
56,141,99.55,41.45
57,141,99.31,41.69
58,141,100.5,40.5
59,140,99.17,40.83
60,141,100.24,40.76
61,141,99.02,41.98
62,141,99.76,41.24
63,141,100.21,40.79
64,141,98.75,42.25
65,141,100.14,40.86
66,140,99.88,40.12
67,140,100.11,39.89
68,140,100.02,39.98
69,140,99.26,40.74
70,139,100.53,38.47
71,140,99.97,40.03
72,141,99.13,41.87
73,141,69.06,71.94
74,141,20.57,120.43
75,140,23.59,116.41
76,140,22.92,117.08
77,140,20.09,119.91
78,141,21.99,119.01
79,141,21.65,119.35
80,140,71.62,68.38
81,141,21.08,119.92
82,141,19.09,121.91
83,141,19.1,121.9
84,141,21.01,119.99
85,140,19.28,120.72
86,141,20.08,120.92
87,142,19.14,122.86
88,140,20.72,119.28
89,140,23.74,116.26
90,141,22.09,118.91
91,141,19.61,121.39
92,141,20.08,120.92
93,141,19.39,121.61
94,141,19.24,121.76
95,141,21.99,119.01
96,140,21.1,118.9
97,141,19.48,121.52
98,140,19.04,120.96
99,184,19.24,164.76
100,128,19.32,108.68
101,133,20.1,112.9
102,121,22.01,98.99
103,132,20.57,111.43
