Time Elapsed,Timestamp,Sensor,Value,Timestamp
0,10,Current,108,0.642476852
0,10,Minimum,3,0.642476852
0,10,Maximum,504,0.642476852
0,10,Average,57,0.642476852
0,10,Current,108,0.642476852
0,10,Minimum,3,0.642476852
0,10,Maximum,504,0.642476852
0,10,Average,57,0.642476852
0,10,Current,119,0.642476852
0,10,Minimum,3,0.642476852
0,10,Maximum,504,0.642476852
0,10,Average,57,0.642476852
1,11,Current,124,0.642488426
1,11,Minimum,3,0.642488426
1,11,Maximum,504,0.642488426
1,11,Average,57,0.642488426
1,11,Current,124,0.642488426
1,11,Minimum,3,0.642488426
1,11,Maximum,504,0.642488426
1,11,Average,57,0.642488426
1,11,Current,128,0.642488426
1,11,Minimum,3,0.642488426
1,11,Maximum,504,0.642488426
1,11,Average,57,0.642488426
1,11,Current,128,0.642488426
1,11,Minimum,3,0.642488426
1,11,Maximum,504,0.642488426
1,11,Average,57,0.642488426
2,12,Current,125,0.6425
2,12,Minimum,3,0.6425
2,12,Maximum,504,0.6425
2,12,Average,57,0.6425
2,12,Current,125,0.6425
2,12,Minimum,3,0.6425
2,12,Maximum,504,0.6425
2,12,Average,57,0.6425
2,12,Current,127,0.6425
2,12,Minimum,3,0.6425
2,12,Maximum,504,0.6425
2,12,Average,57,0.6425
3,13,Current,127,0.642511574
3,13,Minimum,3,0.642511574
3,13,Maximum,504,0.642511574
3,13,Average,57,0.642511574
3,13,Current,135,0.642511574
3,13,Minimum,3,0.642511574
3,13,Maximum,504,0.642511574
3,13,Average,57,0.642511574
3,13,Current,130,0.642511574
3,13,Minimum,3,0.642511574
3,13,Maximum,504,0.642511574
3,13,Average,57,0.642511574
3,13,Current,130,0.642511574
3,13,Minimum,3,0.642511574
3,13,Maximum,504,0.642511574
3,13,Average,57,0.642511574
4,14,Current,134,0.642523148
4,14,Minimum,3,0.642523148
4,14,Maximum,504,0.642523148
4,14,Average,57,0.642523148
4,14,Current,134,0.642523148
4,14,Minimum,3,0.642523148
4,14,Maximum,504,0.642523148
4,14,Average,57,0.642523148
4,14,Current,133,0.642523148
4,14,Minimum,3,0.642523148
4,14,Maximum,504,0.642523148
4,14,Average,57,0.642523148
5,15,Current,133,0.642534722
5,15,Minimum,3,0.642534722
5,15,Maximum,504,0.642534722
5,15,Average,57,0.642534722
5,15,Current,131,0.642534722
5,15,Minimum,3,0.642534722
5,15,Maximum,504,0.642534722
5,15,Average,57,0.642534722
5,15,Current,131,0.642534722
5,15,Minimum,3,0.642534722
5,15,Maximum,504,0.642534722
5,15,Average,57,0.642534722
5,15,Current,131,0.642534722
5,15,Minimum,3,0.642534722
5,15,Maximum,504,0.642534722
5,15,Average,57,0.642534722
6,16,Current,133,0.642546296
6,16,Minimum,3,0.642546296
6,16,Maximum,504,0.642546296
6,16,Average,57,0.642546296
6,16,Current,133,0.642546296
6,16,Minimum,3,0.642546296
6,16,Maximum,504,0.642546296
6,16,Average,57,0.642546296
6,16,Current,132,0.642546296
6,16,Minimum,3,0.642546296
6,16,Maximum,504,0.642546296
6,16,Average,57,0.642546296
7,17,Current,132,0.64255787
7,17,Minimum,3,0.64255787
7,17,Maximum,504,0.64255787
7,17,Average,57,0.64255787
7,17,Current,127,0.64255787
7,17,Minimum,3,0.64255787
7,17,Maximum,504,0.64255787
7,17,Average,57,0.64255787
7,17,Current,150,0.64255787
7,17,Minimum,3,0.64255787
7,17,Maximum,504,0.64255787
