Time Elapsed,Time (seconds),Sensor ,Value,Time 
0,57.00,Current,100,4:34:57
0,57.00,Minimum,2,4:34:57
0,57.00,Maximum,549,4:34:57
0,57.00,Average,99,4:34:57
0,57.00,Current,104,4:34:57
0,57.00,Minimum,2,4:34:57
0,57.00,Maximum,549,4:34:57
0,57.00,Average,99,4:34:57
0,57.00,Current,104,4:34:57
0,57.00,Minimum,2,4:34:57
0,57.00,Maximum,549,4:34:57
0,57.00,Average,99,4:34:57
1,58.00,Current,119,4:34:58
1,58.00,Minimum,2,4:34:58
1,58.00,Maximum,549,4:34:58
1,58.00,Average,99,4:34:58
1,58.00,Current,119,4:34:58
1,58.00,Minimum,2,4:34:58
1,58.00,Maximum,549,4:34:58
1,58.00,Average,99,4:34:58
1,58.00,Current,130,4:34:58
1,58.00,Minimum,2,4:34:58
1,58.00,Maximum,549,4:34:58
1,58.00,Average,99,4:34:58
1,58.00,Current,130,4:34:58
1,58.00,Minimum,2,4:34:58
1,58.00,Maximum,549,4:34:58
1,58.00,Average,99,4:34:58
2,59.00,Current,129,4:34:59
2,59.00,Minimum,2,4:34:59
2,59.00,Maximum,549,4:34:59
2,59.00,Average,99,4:34:59
2,59.00,Current,129,4:34:59
2,59.00,Minimum,2,4:34:59
2,59.00,Maximum,549,4:34:59
2,59.00,Average,99,4:34:59
2,59.00,Current,129,4:34:59
2,59.00,Minimum,2,4:34:59
2,59.00,Maximum,549,4:34:59
2,59.00,Average,99,4:34:59
3,60.00,Current,128,4:35:00
3,60.00,Minimum,2,4:35:00
3,60.00,Maximum,549,4:35:00
3,60.00,Average,99,4:35:00
3,60.00,Current,128,4:35:00
3,60.00,Minimum,2,4:35:00
3,60.00,Maximum,549,4:35:00
3,60.00,Average,99,4:35:00
3,60.00,Current,118,4:35:00
3,60.00,Minimum,2,4:35:00
3,60.00,Maximum,549,4:35:00
3,60.00,Average,99,4:35:00
3,60.00,Current,118,4:35:00
3,60.00,Minimum,2,4:35:00
3,60.00,Maximum,549,4:35:00
3,60.00,Average,99,4:35:00
4,61.00,Current,124,4:35:01
4,61.00,Minimum,2,4:35:01
4,61.00,Maximum,549,4:35:01
4,61.00,Average,99,4:35:01
4,61.00,Current,128,4:35:01
4,61.00,Minimum,2,4:35:01
4,61.00,Maximum,549,4:35:01
4,61.00,Average,99,4:35:01
4,61.00,Current,128,4:35:01
