Time Elapsed,Time (secs),Sensor,Value,Timestamp
0.00,50.00,Current,103,14:09:50
0.00,50.00,Minimum,2,14:09:50
0.00,50.00,Maximum,549,14:09:50
0.00,50.00,Average,100,14:09:50
1.00,51.00,Current,103,14:09:51
1.00,51.00,Minimum,2,14:09:51
1.00,51.00,Maximum,549,14:09:51
1.00,51.00,Average,100,14:09:51
1.00,51.00,Current,117,14:09:51
1.00,51.00,Minimum,2,14:09:51
1.00,51.00,Maximum,549,14:09:51
1.00,51.00,Average,100,14:09:51
1.00,51.00,Current,117,14:09:51
1.00,51.00,Minimum,2,14:09:51
1.00,51.00,Maximum,549,14:09:51
1.00,51.00,Average,100,14:09:51
1.00,51.00,Current,129,14:09:51
1.00,51.00,Minimum,2,14:09:51
1.00,51.00,Maximum,549,14:09:51
1.00,51.00,Average,100,14:09:51
2.00,52.00,Current,129,14:09:52
2.00,52.00,Minimum,2,14:09:52
2.00,52.00,Maximum,549,14:09:52
2.00,52.00,Average,100,14:09:52
2.00,52.00,Current,128,14:09:52
2.00,52.00,Minimum,2,14:09:52
2.00,52.00,Maximum,549,14:09:52
2.00,52.00,Average,100,14:09:52
2.00,52.00,Current,128,14:09:52
2.00,52.00,Minimum,2,14:09:52
2.00,52.00,Maximum,549,14:09:52
2.00,52.00,Average,100,14:09:52
3.00,53.00,Current,128,14:09:53
3.00,53.00,Minimum,2,14:09:53
3.00,53.00,Maximum,549,14:09:53
3.00,53.00,Average,100,14:09:53
3.00,53.00,Current,128,14:09:53
3.00,53.00,Minimum,2,14:09:53
3.00,53.00,Maximum,549,14:09:53
3.00,53.00,Average,100,14:09:53
3.00,53.00,Current,128,14:09:53
3.00,53.00,Minimum,2,14:09:53
3.00,53.00,Maximum,549,14:09:53
3.00,53.00,Average,100,14:09:53
4.00,54.00,Current,126,14:09:54
4.00,54.00,Minimum,2,14:09:54
4.00,54.00,Maximum,549,14:09:54
4.00,54.00,Average,100,14:09:54
4.00,54.00,Current,126,14:09:54
4.00,54.00,Minimum,2,14:09:54
4.00,54.00,Maximum,549,14:09:54
4.00,54.00,Average,100,14:09:54
4.00,54.00,Current,125,14:09:54
4.00,54.00,Minimum,2,14:09:54
4.00,54.00,Maximum,549,14:09:54
4.00,54.00,Average,100,14:09:54
4.00,54.00,Current,125,14:09:54
4.00,54.00,Minimum,2,14:09:54
4.00,54.00,Maximum,549,14:09:54
4.00,54.00,Average,100,14:09:54
5.00,55.00,Current,123,14:09:55
5.00,55.00,Minimum,2,14:09:55
5.00,55.00,Maximum,549,14:09:55
5.00,55.00,Average,100,14:09:55
5.00,55.00,Current,131,14:09:55
5.00,55.00,Minimum,2,14:09:55
5.00,55.00,Maximum,549,14:09:55
5.00,55.00,Average,100,14:09:55
5.00,55.00,Current,131,14:09:55
5.00,55.00,Minimum,2,14:09:55
5.00,55.00,Maximum,549,14:09:55
5.00,55.00,Average,100,14:09:55
6.00,56.00,Current,129,14:09:56
6.00,56.00,Minimum,2,14:09:56
6.00,56.00,Maximum,549,14:09:56
6.00,56.00,Average,100,14:09:56
6.00,56.00,Current,129,14:09:56
6.00,56.00,Minimum,2,14:09:56
6.00,56.00,Maximum,549,14:09:56
6.00,56.00,Average,100,14:09:56
6.00,56.00,Current,129,14:09:56
6.00,56.00,Minimum,2,14:09:56
6.00,56.00,Maximum,549,14:09:56
6.00,56.00,Average,100,14:09:56
6.00,56.00,Current,129,14:09:56
6.00,56.00,Minimum,2,14:09:56
6.00,56.00,Maximum,549,14:09:56
6.00,56.00,Average,100,14:09:56
7.00,57.00,Current,131,14:09:57
7.00,57.00,Minimum,2,14:09:57
7.00,57.00,Maximum,549,14:09:57
7.00,57.00,Average,100,14:09:57
7.00,57.00,Current,132,14:09:57
7.00,57.00,Minimum,2,14:09:57
7.00,57.00,Maximum,549,14:09:57
7.00,57.00,Average,100,14:09:57
7.00,57.00,Current,132,14:09:57
7.00,57.00,Minimum,2,14:09:57
7.00,57.00,Maximum,549,14:09:57
7.00,57.00,Average,100,14:09:57
8.00,58.00,Current,145,14:09:58
8.00,58.00,Minimum,2,14:09:58
8.00,58.00,Maximum,549,14:09:58
8.00,58.00,Average,100,14:09:58
8.00,58.00,Current,145,14:09:58
8.00,58.00,Minimum,2,14:09:58
8.00,58.00,Maximum,549,14:09:58
8.00,58.00,Average,100,14:09:58
8.00,58.00,Current,145,14:09:58
8.00,58.00,Minimum,2,14:09:58
8.00,58.00,Maximum,549,14:09:58
8.00,58.00,Average,100,14:09:58
9.00,59.00,Current,145,14:09:59
9.00,59.00,Minimum,2,14:09:59
9.00,59.00,Maximum,549,14:09:59
9.00,59.00,Average,100,14:09:59
9.00,59.00,Current,145,14:09:59
9.00,59.00,Minimum,2,14:09:59
9.00,59.00,Maximum,549,14:09:59
9.00,59.00,Average,100,14:09:59
9.00,59.00,Current,145,14:09:59
9.00,59.00,Minimum,2,14:09:59
9.00,59.00,Maximum,549,14:09:59
9.00,59.00,Average,100,14:09:59
10.00,60.00,Current,145,14:10:00
10.00,60.00,Minimum,2,14:10:00
10.00,60.00,Maximum,549,14:10:00
10.00,60.00,Average,100,14:10:00
10.00,60.00,Current,144,14:10:00
10.00,60.00,Minimum,2,14:10:00
10.00,60.00,Maximum,549,14:10:00
10.00,60.00,Average,100,14:10:00
10.00,60.00,Current,144,14:10:00
10.00,60.00,Minimum,2,14:10:00
10.00,60.00,Maximum,549,14:10:00
10.00,60.00,Average,100,14:10:00
10.00,60.00,Current,144,14:10:00
10.00,60.00,Minimum,2,14:10:00
10.00,60.00,Maximum,549,14:10:00
10.00,60.00,Average,100,14:10:00
11.00,61.00,Current,144,14:10:01
11.00,61.00,Minimum,2,14:10:01
11.00,61.00,Maximum,549,14:10:01
11.00,61.00,Average,100,14:10:01
11.00,61.00,Current,144,14:10:01
11.00,61.00,Minimum,2,14:10:01
11.00,61.00,Maximum,549,14:10:01
11.00,61.00,Average,100,14:10:01
11.00,61.00,Current,143,14:10:01
11.00,61.00,Minimum,2,14:10:01
11.00,61.00,Maximum,549,14:10:01
11.00,61.00,Average,100,14:10:01
12.00,62.00,Current,143,14:10:02
12.00,62.00,Minimum,2,14:10:02
12.00,62.00,Maximum,549,14:10:02
12.00,62.00,Average,100,14:10:02
12.00,62.00,Current,143,14:10:02
12.00,62.00,Minimum,2,14:10:02
12.00,62.00,Maximum,549,14:10:02
12.00,62.00,Average,100,14:10:02
12.00,62.00,Current,143,14:10:02
12.00,62.00,Minimum,2,14:10:02
12.00,62.00,Maximum,549,14:10:02
12.00,62.00,Average,100,14:10:02
13.00,63.00,Current,143,14:10:03
13.00,63.00,Minimum,2,14:10:03
13.00,63.00,Maximum,549,14:10:03
13.00,63.00,Average,100,14:10:03
13.00,63.00,Current,143,14:10:03
13.00,63.00,Minimum,2,14:10:03
13.00,63.00,Maximum,549,14:10:03
13.00,63.00,Average,100,14:10:03
13.00,63.00,Current,143,14:10:03
13.00,63.00,Minimum,2,14:10:03
13.00,63.00,Maximum,549,14:10:03
13.00,63.00,Average,100,14:10:03
14.00,64.00,Current,143,14:10:04
14.00,64.00,Minimum,2,14:10:04
14.00,64.00,Maximum,549,14:10:04
14.00,64.00,Average,100,14:10:04
14.00,64.00,Current,143,14:10:04
14.00,64.00,Minimum,2,14:10:04
14.00,64.00,Maximum,549,14:10:04
14.00,64.00,Average,100,14:10:04
14.00,64.00,Current,143,14:10:04
14.00,64.00,Minimum,2,14:10:04
14.00,64.00,Maximum,549,14:10:04
14.00,64.00,Average,100,14:10:04
15.00,65.00,Current,142,14:10:05
15.00,65.00,Minimum,2,14:10:05
15.00,65.00,Maximum,549,14:10:05
15.00,65.00,Average,100,14:10:05
15.00,65.00,Current,143,14:10:05
15.00,65.00,Minimum,2,14:10:05
15.00,65.00,Maximum,549,14:10:05
15.00,65.00,Average,100,14:10:05
15.00,65.00,Current,143,14:10:05
15.00,65.00,Minimum,2,14:10:05
15.00,65.00,Maximum,549,14:10:05
15.00,65.00,Average,100,14:10:05
16.00,66.00,Current,143,14:10:06
