Timestamp,Sensor,Value
2024-07-08 18:30:50,Current,106
2024-07-08 18:30:51,Current,130
2024-07-08 18:30:52,Current,128
2024-07-08 18:30:54,Current,123
2024-07-08 18:30:55,Current,130
2024-07-08 18:30:56,Current,134
2024-07-08 18:30:57,Current,216
2024-07-08 18:30:58,Current,214
2024-07-08 18:30:59,Current,213
2024-07-08 18:31:00,Current,214
2024-07-08 18:31:01,Current,214
2024-07-08 18:31:02,Current,215
2024-07-08 18:31:03,Current,215
2024-07-08 18:31:04,Current,216
2024-07-08 18:31:05,Current,214
2024-07-08 18:31:06,Current,216
2024-07-08 18:31:08,Current,214
2024-07-08 18:31:09,Current,230
2024-07-08 18:31:10,Current,231
2024-07-08 18:31:11,Current,239
2024-07-08 18:31:13,Current,229
2024-07-08 18:31:14,Current,211
2024-07-08 18:31:15,Current,184
2024-07-08 18:31:16,Current,214
2024-07-08 18:31:17,Current,215
2024-07-08 18:31:18,Current,215
2024-07-08 18:31:19,Current,214
2024-07-08 18:31:20,Current,211
2024-07-08 18:31:21,Current,183
2024-07-08 18:31:22,Current,221
2024-07-08 18:31:23,Current,242
2024-07-08 18:31:25,Current,243
2024-07-08 18:31:26,Current,231
2024-07-08 18:31:27,Current,201
2024-07-08 18:31:28,Current,202
2024-07-08 18:31:29,Current,215
2024-07-08 18:31:30,Current,216
2024-07-08 18:31:31,Current,215
2024-07-08 18:31:32,Current,213
2024-07-08 18:31:34,Current,213
2024-07-08 18:31:35,Current,217
2024-07-08 18:31:36,Current,226
2024-07-08 18:31:37,Current,241
2024-07-08 18:31:38,Current,244
2024-07-08 18:31:39,Current,221
2024-07-08 18:31:41,Current,213
2024-07-08 18:31:42,Current,214
2024-07-08 18:31:43,Current,211
2024-07-08 18:31:44,Current,212
2024-07-08 18:31:45,Current,210
