Timestamp,Sensor,Value
2024-07-04 22:00:31,Current,216
2024-07-04 22:00:32,Current,216
2024-07-04 22:00:33,Current,214
2024-07-04 22:00:34,Current,213
2024-07-04 22:00:35,Current,139
2024-07-04 22:00:37,Current,206
2024-07-04 22:00:38,Current,216
2024-07-04 22:00:39,Current,213
2024-07-04 22:00:40,Current,201
2024-07-04 22:00:41,Current,127
2024-07-04 22:00:42,Current,222
2024-07-04 22:00:43,Current,241
2024-07-04 22:00:44,Current,241
2024-07-04 22:00:45,Current,241
2024-07-04 22:00:46,Current,189
2024-07-04 22:00:47,Current,216
2024-07-04 22:00:48,Current,216
2024-07-04 22:00:49,Current,215
2024-07-04 22:00:50,Current,213
2024-07-04 22:00:51,Current,157
2024-07-04 22:00:52,Current,215
2024-07-04 22:00:53,Current,213
2024-07-04 22:00:54,Current,214
2024-07-04 22:00:55,Current,217
2024-07-04 22:00:56,Current,220
2024-07-04 22:00:57,Current,241
2024-07-04 22:00:58,Current,238
2024-07-04 22:00:59,Current,229
2024-07-04 22:01:00,Current,203
2024-07-04 22:01:02,Current,217
2024-07-04 22:01:03,Current,217
2024-07-04 22:01:04,Current,214
2024-07-04 22:01:05,Current,184
2024-07-04 22:01:06,Current,213
2024-07-04 22:01:07,Current,217
2024-07-04 22:01:08,Current,214
2024-07-04 22:01:09,Current,221
2024-07-04 22:01:10,Current,239
2024-07-04 22:01:11,Current,240
2024-07-04 22:01:12,Current,240
2024-07-04 22:01:13,Current,227
2024-07-04 22:01:14,Current,212
2024-07-04 22:01:15,Current,208
2024-07-04 22:01:16,Current,217
2024-07-04 22:01:17,Current,214
2024-07-04 22:01:18,Current,214
2024-07-04 22:01:19,Current,208
2024-07-04 22:01:20,Current,215
2024-07-04 22:01:21,Current,215
2024-07-04 22:01:23,Current,214
2024-07-04 22:01:24,Current,216
2024-07-04 22:01:25,Current,213
