, Time,RAMWatt,Time Elapsed
0,1720419542.698591,2.27,0.0
1,1720419543.700929,2.24,1.0
2,1720419544.703802,2.81,2.0
3,1720419545.706211,1.57,3.0
4,1720419546.707819,2.51,4.0
5,1720419547.708968,9.84,5.0
6,1720419548.710564,10.24,6.0
7,1720419549.71207,10.05,7.0
8,1720419550.714127,10.11,8.0
9,1720419551.716298,7.12,9.0
10,1720419552.718213,8.57,10.0
11,1720419553.720279,10.59,11.0
12,1720419554.722726,10.34,12.0
13,1720419555.725143,8.69,13.0
14,1720419556.727492,9.02,14.0
15,1720419557.728805,9.71,15.0
16,1720419558.731126,11.08,16.0
17,1720419559.733121,10.8,17.0
18,1720419560.735195,9.27,18.0
19,1720419561.737422,8.6,19.0
20,1720419562.739012,9.06,20.0
21,1720419563.740927,11.73,21.0
22,1720419564.743279,11.16,22.0
23,1720419565.745192,10.49,23.0
24,1720419566.747615,10.9,24.0
25,1720419567.749753,10.18,25.0
26,1720419568.751989,11.29,26.0
27,1720419569.754249,11.69,27.0
28,1720419570.756675,10.66,28.0
29,1720419571.758598,10.34,29.0
30,1720419572.760588,10.96,30.0
31,1720419573.762483,11.07,31.0
32,1720419574.764738,11.68,32.0
33,1720419575.766929,10.3,33.0
34,1720419576.769032,10.17,34.0
35,1720419577.771192,9.84,35.0
36,1720419578.773545,10.96,36.0
37,1720419579.775425,11.27,37.0
38,1720419580.777755,10.63,38.0
39,1720419581.779813,10.2,39.0
40,1720419582.782049,10.82,40.0
41,1720419583.784034,11.2,41.0
42,1720419584.786377,10.84,42.0
43,1720419585.788551,10.74,43.0
44,1720419586.791148,11.16,44.0
45,1720419587.793164,10.58,45.0
46,1720419588.79545,11.52,46.0
47,1720419589.797378,11.64,47.0
48,1720419590.799645,11.68,48.0
49,1720419591.801564,10.17,49.0
50,1720419592.803886,10.74,50.0
51,1720419593.805864,10.43,51.0
52,1720419594.808038,11.74,52.0
53,1720419595.80999,11.75,53.0
54,1720419596.812387,11.05,54.0
55,1720419597.81481,10.55,55.0
56,1720419598.81677,10.65,56.0
57,1720419599.818855,11.25,57.0
58,1720419600.821119,11.3,58.0
59,1720419601.823288,10.42,59.0
60,1720419602.825726,11.23,60.0
61,1720419603.827631,10.25,61.0
62,1720419604.829878,11.54,62.0
63,1720419605.831926,10.5,63.0
64,1720419606.833661,11.64,64.0
65,1720419607.835045,12.92,65.0
66,1720419608.836641,12.88,66.0
67,1720419609.83854,12.85,67.0
68,1720419610.840618,12.56,68.0
69,1720419611.843036,10.15,69.0
70,1720419612.845326,8.1,70.0
71,1720419613.847662,7.54,71.0
72,1720419614.850478,6.73,72.0
73,1720419615.852596,6.18,73.0
74,1720419616.855379,6.44,74.0
75,1720419617.857907,6.36,75.0
76,1720419618.859886,6.37,76.0
77,1720419619.862418,6.86,77.0
78,1720419620.864921,6.55,78.0
79,1720419621.867788,6.56,79.0
80,1720419622.870651,6.88,80.0
81,1720419623.873227,6.41,81.0
82,1720419624.87569,7.21,82.0
83,1720419625.878149,6.72,83.0
84,1720419626.880877,6.78,84.0
85,1720419627.883323,6.3,85.0
86,1720419628.885478,6.44,86.0
87,1720419629.887208,6.86,87.0
88,1720419630.889869,6.65,88.0
89,1720419631.892064,6.76,89.0
90,1720419632.894375,6.48,90.0
91,1720419633.896347,6.43,91.0
92,1720419634.898659,6.44,92.0
93,1720419635.900856,6.41,93.0
94,1720419636.90346,6.27,94.0
95,1720419637.905642,6.36,95.0
96,1720419638.90829,6.34,96.0
97,1720419639.910529,6.7,97.0
98,1720419640.912992,5.98,98.0
99,1720419641.915756,5.76,99.0
100,1720419642.918384,6.06,100.0
101,1720419643.920671,6.5,101.0
102,1720419644.923652,6.41,102.0
103,1720419645.925772,6.57,103.0
104,1720419646.928147,5.97,104.0
105,1720419647.930435,5.25,105.0
106,1720419648.932768,5.35,106.0
107,1720419649.93492,6.02,107.0
108,1720419650.937827,5.64,108.0
109,1720419651.940492,6.14,109.0
110,1720419652.943366,6.05,110.0
111,1720419653.945757,5.94,111.0
112,1720419654.947352,4.22,112.0
113,1720419655.949601,10.98,113.0
114,1720419656.951798,10.97,114.0
115,1720419657.953867,10.8,115.0
116,1720419658.95581,11.72,116.0
117,1720419659.958165,10.96,117.0
118,1720419660.960086,12.3,118.0
119,1720419661.96203,11.72,119.0
120,1720419662.96429,11.05,120.0
121,1720419663.966424,10.73,121.0
122,1720419664.968469,11.27,122.0
123,1720419665.970514,11.12,123.0
124,1720419666.972927,11.39,124.0
125,1720419667.975029,11.14,125.0
126,1720419668.977336,10.76,126.0
127,1720419669.97963,11.38,127.0
128,1720419670.981656,10.87,128.0
129,1720419671.983845,10.92,129.0
130,1720419672.98617,10.69,130.0
131,1720419673.988385,10.88,131.0
132,1720419674.99079,11.48,132.0
133,1720419675.992761,10.43,133.0
134,1720419676.99494,10.95,134.0
135,1720419677.997221,11.15,135.0
136,1720419678.999284,11.08,136.0
137,1720419680.00157,11.43,137.0
138,1720419681.003891,11.35,138.0
139,1720419682.005617,11.25,139.0
140,1720419683.007594,11.37,140.0
141,1720419684.009448,10.9,141.0
142,1720419685.011703,11.5,142.0
143,1720419686.014048,10.66,143.0
144,1720419687.016473,11.36,144.0
145,1720419688.018626,10.36,145.0
146,1720419689.021098,11.3,146.0
147,1720419690.023092,11.44,147.0
148,1720419691.025496,10.87,148.0
149,1720419692.027633,10.6,149.0
150,1720419693.029574,11.16,150.0
151,1720419694.03181,11.15,151.0
152,1720419695.03407,11.74,152.0
153,1720419696.036073,11.18,153.0
154,1720419697.038149,11.16,154.0
155,1720419698.040431,9.93,155.0
156,1720419699.04265,11.22,156.0
157,1720419700.044777,10.87,157.0
158,1720419701.046809,10.8,158.0
159,1720419702.048797,10.58,159.0
160,1720419703.050976,10.88,160.0
161,1720419704.053113,10.36,161.0
162,1720419705.055327,11.52,162.0
163,1720419706.057755,10.84,163.0
164,1720419707.060197,10.84,164.0
165,1720419708.062271,10.93,165.0
166,1720419709.064526,11.15,166.0
167,1720419710.066069,12.11,167.0
168,1720419711.067791,12.88,168.0
169,1720419712.069404,12.93,169.0
170,1720419713.071595,12.82,170.0
171,1720419714.073527,11.54,171.0
172,1720419715.076,9.5,172.0
173,1720419716.078331,8.33,173.0
174,1720419717.080866,7.04,174.0
175,1720419718.082823,6.12,175.0
176,1720419719.085012,6.66,176.0
177,1720419720.08744,7.37,177.0
178,1720419721.089456,6.82,178.0
179,1720419722.09178,6.97,179.0
180,1720419723.094236,7.12,180.0
181,1720419724.096462,7.25,181.0
182,1720419725.098831,7.44,182.0
183,1720419726.100779,7.09,183.0
184,1720419727.10291,7.01,184.0
185,1720419728.104873,7.07,185.0
186,1720419729.107739,7.1,186.0
187,1720419730.109967,7.48,187.0
188,1720419731.111927,7.14,188.0
189,1720419732.114342,7.29,189.0
190,1720419733.116749,7.08,190.0
191,1720419734.119509,7.26,191.0
192,1720419735.122069,7.44,192.0
193,1720419736.124391,7.25,193.0
194,1720419737.126254,7.34,194.0
195,1720419738.128891,7.23,195.0
196,1720419739.131905,7.23,196.0
197,1720419740.134219,7.44,197.0
198,1720419741.136859,7.29,198.0
199,1720419742.139239,7.16,199.0
200,1720419743.14186,7.32,200.0
201,1720419744.143543,7.07,201.0
202,1720419745.146612,7.55,202.0
203,1720419746.148962,6.87,203.0
204,1720419747.151398,7.37,204.0
205,1720419748.153707,5.94,205.0
206,1720419749.156359,5.62,206.0
207,1720419750.158919,6.56,207.0
208,1720419751.161154,6.29,208.0
209,1720419752.163391,6.86,209.0
210,1720419753.166128,6.58,210.0
211,1720419754.168157,6.64,211.0
212,1720419755.17092,3.18,212.0
213,1720419756.172992,8.82,213.0
214,1720419757.175178,11.74,214.0
215,1720419758.177201,11.6,215.0
216,1720419759.179686,11.66,216.0
217,1720419760.18179,10.69,217.0
218,1720419761.183361,12.07,218.0
219,1720419762.185615,12.24,219.0
220,1720419763.187912,11.28,220.0
221,1720419764.190136,11.55,221.0
222,1720419765.192554,11.69,222.0
223,1720419766.194859,10.9,223.0
224,1720419767.197244,11.21,224.0
225,1720419768.199159,11.54,225.0
226,1720419769.201523,11.4,226.0
227,1720419770.203759,11.2,227.0
228,1720419771.206119,11.25,228.0
229,1720419772.208394,10.81,229.0
230,1720419773.21086,11.21,230.0
231,1720419774.21318,11.03,231.0
232,1720419775.215282,11.75,232.0
233,1720419776.217383,11.62,233.0
234,1720419777.219483,10.97,234.0
235,1720419778.221701,10.76,235.0
236,1720419779.224021,10.96,236.0
237,1720419780.225977,11.49,237.0
238,1720419781.228286,11.15,238.0
239,1720419782.230492,10.96,239.0
240,1720419783.23291,11.33,240.0
241,1720419784.234923,11.05,241.0
242,1720419785.237261,11.59,242.0
243,1720419786.23949,11.32,243.0
244,1720419787.241652,11.54,244.0
245,1720419788.24354,10.58,245.0
246,1720419789.246128,11.16,246.0
247,1720419790.248398,10.85,247.0
248,1720419791.250599,11.34,248.0
249,1720419792.252626,11.2,249.0
250,1720419793.254757,10.77,250.0
251,1720419794.256958,11.13,251.0
252,1720419795.259205,11.21,252.0
253,1720419796.26143,11.46,253.0
254,1720419797.26386,10.99,254.0
255,1720419798.265669,11.48,255.0
