Timestamp,Sensor,Value
2024-07-09 12:51:53,Current,182
2024-07-09 12:51:54,Current,167
2024-07-09 12:51:55,Current,214
2024-07-09 12:51:56,Current,212
2024-07-09 12:51:57,Current,213
2024-07-09 12:51:59,Current,211
2024-07-09 12:52:00,Current,212
2024-07-09 12:52:01,Current,210
2024-07-09 12:52:02,Current,209
2024-07-09 12:52:03,Current,209
2024-07-09 12:52:04,Current,209
2024-07-09 12:52:05,Current,210
2024-07-09 12:52:06,Current,206
2024-07-09 12:52:07,Current,205
2024-07-09 12:52:08,Current,204
2024-07-09 12:52:09,Current,206
2024-07-09 12:52:10,Current,204
2024-07-09 12:52:11,Current,204
2024-07-09 12:52:13,Current,204
2024-07-09 12:52:14,Current,203
2024-07-09 12:52:15,Current,205
2024-07-09 12:52:16,Current,170
2024-07-09 12:52:17,Current,214
2024-07-09 12:52:18,Current,211
2024-07-09 12:52:19,Current,212
2024-07-09 12:52:20,Current,212
2024-07-09 12:52:21,Current,211
2024-07-09 12:52:22,Current,212
2024-07-09 12:52:23,Current,210
2024-07-09 12:52:24,Current,209
2024-07-09 12:52:25,Current,209
2024-07-09 12:52:26,Current,210
2024-07-09 12:52:28,Current,209
2024-07-09 12:52:29,Current,206
2024-07-09 12:52:30,Current,205
2024-07-09 12:52:31,Current,206
2024-07-09 12:52:32,Current,204
2024-07-09 12:52:33,Current,205
2024-07-09 12:52:34,Current,202
2024-07-09 12:52:35,Current,204
2024-07-09 12:52:36,Current,204
2024-07-09 12:52:37,Current,188
2024-07-09 12:52:38,Current,214
2024-07-09 12:52:39,Current,210
2024-07-09 12:52:41,Current,213
2024-07-09 12:52:42,Current,212
2024-07-09 12:52:43,Current,212
2024-07-09 12:52:44,Current,211
2024-07-09 12:52:45,Current,208
2024-07-09 12:52:46,Current,209
2024-07-09 12:52:47,Current,208
2024-07-09 12:52:48,Current,208
2024-07-09 12:52:49,Current,207
2024-07-09 12:52:50,Current,207
2024-07-09 12:52:51,Current,207
2024-07-09 12:52:52,Current,205
2024-07-09 12:52:53,Current,204
2024-07-09 12:52:55,Current,204
2024-07-09 12:52:56,Current,203
2024-07-09 12:52:57,Current,204
