Timestamp,Sensor,Value
2024-07-04 22:00:31,Current,133
2024-07-04 22:00:32,Current,125
2024-07-04 22:00:33,Current,213
2024-07-04 22:00:34,Current,211
2024-07-04 22:00:35,Current,212
2024-07-04 22:00:36,Current,209
2024-07-04 22:00:37,Current,209
2024-07-04 22:00:38,Current,209
2024-07-04 22:00:39,Current,208
2024-07-04 22:00:40,Current,209
2024-07-04 22:00:41,Current,206
2024-07-04 22:00:43,Current,207
2024-07-04 22:00:44,Current,207
2024-07-04 22:00:45,Current,205
2024-07-04 22:00:46,Current,207
2024-07-04 22:00:47,Current,204
2024-07-04 22:00:48,Current,203
2024-07-04 22:00:49,Current,204
2024-07-04 22:00:50,Current,203
2024-07-04 22:00:51,Current,204
2024-07-04 22:00:52,Current,178
2024-07-04 22:00:53,Current,211
2024-07-04 22:00:54,Current,211
2024-07-04 22:00:55,Current,211
2024-07-04 22:00:57,Current,211
2024-07-04 22:00:58,Current,210
2024-07-04 22:00:59,Current,208
2024-07-04 22:01:00,Current,210
2024-07-04 22:01:01,Current,209
2024-07-04 22:01:02,Current,209
2024-07-04 22:01:03,Current,205
2024-07-04 22:01:04,Current,206
2024-07-04 22:01:05,Current,207
2024-07-04 22:01:06,Current,206
2024-07-04 22:01:07,Current,205
2024-07-04 22:01:08,Current,204
2024-07-04 22:01:09,Current,202
2024-07-04 22:01:11,Current,203
2024-07-04 22:01:12,Current,203
2024-07-04 22:01:13,Current,163
2024-07-04 22:01:14,Current,213
2024-07-04 22:01:15,Current,212
2024-07-04 22:01:16,Current,210
2024-07-04 22:01:17,Current,212
2024-07-04 22:01:18,Current,209
2024-07-04 22:01:19,Current,209
2024-07-04 22:01:20,Current,207
2024-07-04 22:01:21,Current,208
2024-07-04 22:01:22,Current,208
2024-07-04 22:01:23,Current,205
2024-07-04 22:01:25,Current,206
2024-07-04 22:01:26,Current,205
2024-07-04 22:01:27,Current,207
2024-07-04 22:01:28,Current,207
2024-07-04 22:01:29,Current,205
2024-07-04 22:01:30,Current,205
2024-07-04 22:01:31,Current,202
