,0,1,2,3
0,2024-07-04 22:00:31,Current,133,0.0
1,2024-07-04 22:00:32,Current,125,1.0
2,2024-07-04 22:00:33,Current,213,2.0
3,2024-07-04 22:00:34,Current,211,3.0
4,2024-07-04 22:00:35,Current,212,4.0
5,2024-07-04 22:00:36,Current,209,5.0
6,2024-07-04 22:00:37,Current,209,6.0
7,2024-07-04 22:00:38,Current,209,7.0
8,2024-07-04 22:00:39,Current,208,8.0
9,2024-07-04 22:00:40,Current,209,9.0
10,2024-07-04 22:00:41,Current,206,10.0
11,2024-07-04 22:00:43,Current,207,12.0
12,2024-07-04 22:00:44,Current,207,13.0
13,2024-07-04 22:00:45,Current,205,14.0
14,2024-07-04 22:00:46,Current,207,15.0
15,2024-07-04 22:00:47,Current,204,16.0
16,2024-07-04 22:00:48,Current,203,17.0
17,2024-07-04 22:00:49,Current,204,18.0
18,2024-07-04 22:00:50,Current,203,19.0
19,2024-07-04 22:00:51,Current,204,20.0
20,2024-07-04 22:00:52,Current,178,21.0
21,2024-07-04 22:00:53,Current,211,22.0
22,2024-07-04 22:00:54,Current,211,23.0
23,2024-07-04 22:00:55,Current,211,24.0
24,2024-07-04 22:00:57,Current,211,26.0
25,2024-07-04 22:00:58,Current,210,27.0
26,2024-07-04 22:00:59,Current,208,28.0
27,2024-07-04 22:01:00,Current,210,29.0
28,2024-07-04 22:01:01,Current,209,30.0
29,2024-07-04 22:01:02,Current,209,31.0
30,2024-07-04 22:01:03,Current,205,32.0
31,2024-07-04 22:01:04,Current,206,33.0
32,2024-07-04 22:01:05,Current,207,34.0
33,2024-07-04 22:01:06,Current,206,35.0
34,2024-07-04 22:01:07,Current,205,36.0
35,2024-07-04 22:01:08,Current,204,37.0
36,2024-07-04 22:01:09,Current,202,38.0
37,2024-07-04 22:01:11,Current,203,40.0
38,2024-07-04 22:01:12,Current,203,41.0
39,2024-07-04 22:01:13,Current,163,42.0
40,2024-07-04 22:01:14,Current,213,43.0
41,2024-07-04 22:01:15,Current,212,44.0
42,2024-07-04 22:01:16,Current,210,45.0
43,2024-07-04 22:01:17,Current,212,46.0
44,2024-07-04 22:01:18,Current,209,47.0
45,2024-07-04 22:01:19,Current,209,48.0
46,2024-07-04 22:01:20,Current,207,49.0
47,2024-07-04 22:01:21,Current,208,50.0
48,2024-07-04 22:01:22,Current,208,51.0
49,2024-07-04 22:01:23,Current,205,52.0
50,2024-07-04 22:01:25,Current,206,54.0
51,2024-07-04 22:01:26,Current,205,55.0
52,2024-07-04 22:01:27,Current,207,56.0
53,2024-07-04 22:01:28,Current,207,57.0
54,2024-07-04 22:01:29,Current,205,58.0
55,2024-07-04 22:01:30,Current,205,59.0
56,2024-07-04 22:01:31,Current,202,60.0
