,0,1,2,3
0,2024-07-09 16:02:40,Current,113,0.0
1,2024-07-09 16:02:41,Current,129,1.0
2,2024-07-09 16:02:42,Current,131,2.0
3,2024-07-09 16:02:43,Current,132,3.0
4,2024-07-09 16:02:44,Current,133,4.0
5,2024-07-09 16:02:45,Current,126,5.0
6,2024-07-09 16:02:46,Current,192,6.0
7,2024-07-09 16:02:47,Current,214,7.0
8,2024-07-09 16:02:48,Current,212,8.0
9,2024-07-09 16:02:49,Current,211,9.0
10,2024-07-09 16:02:50,Current,213,10.0
11,2024-07-09 16:02:52,Current,213,12.0
12,2024-07-09 16:02:53,Current,213,13.0
13,2024-07-09 16:02:54,Current,209,14.0
14,2024-07-09 16:02:55,Current,177,15.0
15,2024-07-09 16:02:56,Current,210,16.0
16,2024-07-09 16:02:57,Current,215,17.0
17,2024-07-09 16:02:58,Current,215,18.0
18,2024-07-09 16:02:59,Current,236,19.0
19,2024-07-09 16:03:01,Current,234,21.0
20,2024-07-09 16:03:02,Current,234,22.0
21,2024-07-09 16:03:03,Current,230,23.0
22,2024-07-09 16:03:05,Current,225,25.0
23,2024-07-09 16:03:06,Current,231,26.0
24,2024-07-09 16:03:07,Current,231,27.0
25,2024-07-09 16:03:08,Current,230,28.0
26,2024-07-09 16:03:10,Current,226,30.0
27,2024-07-09 16:03:11,Current,227,31.0
28,2024-07-09 16:03:12,Current,225,32.0
29,2024-07-09 16:03:13,Current,222,33.0
30,2024-07-09 16:03:15,Current,224,35.0
31,2024-07-09 16:03:16,Current,227,36.0
32,2024-07-09 16:03:17,Current,227,37.0
33,2024-07-09 16:03:19,Current,227,39.0
34,2024-07-09 16:03:20,Current,228,40.0
35,2024-07-09 16:03:21,Current,226,41.0
36,2024-07-09 16:03:23,Current,227,43.0
37,2024-07-09 16:03:24,Current,216,44.0
38,2024-07-09 16:03:25,Current,227,45.0
39,2024-07-09 16:03:27,Current,226,47.0
40,2024-07-09 16:03:28,Current,229,48.0
41,2024-07-09 16:03:29,Current,227,49.0
42,2024-07-09 16:03:31,Current,228,51.0
43,2024-07-09 16:03:32,Current,227,52.0
44,2024-07-09 16:03:33,Current,223,53.0
45,2024-07-09 16:03:35,Current,227,55.0
46,2024-07-09 16:03:36,Current,228,56.0
47,2024-07-09 16:03:37,Current,228,57.0
48,2024-07-09 16:03:39,Current,230,59.0
49,2024-07-09 16:03:40,Current,226,60.0
50,2024-07-09 16:03:41,Current,227,61.0
51,2024-07-09 16:03:43,Current,226,63.0
52,2024-07-09 16:03:44,Current,226,64.0
53,2024-07-09 16:03:45,Current,229,65.0
54,2024-07-09 16:03:46,Current,230,66.0
55,2024-07-09 16:03:48,Current,228,68.0
56,2024-07-09 16:03:49,Current,226,69.0
57,2024-07-09 16:03:50,Current,230,70.0
58,2024-07-09 16:03:52,Current,228,72.0
59,2024-07-09 16:03:53,Current,230,73.0
60,2024-07-09 16:03:54,Current,228,74.0
61,2024-07-09 16:03:56,Current,229,76.0
62,2024-07-09 16:03:57,Current,236,77.0
63,2024-07-09 16:03:58,Current,234,78.0
64,2024-07-09 16:03:59,Current,233,79.0
65,2024-07-09 16:04:01,Current,210,81.0
66,2024-07-09 16:04:02,Current,208,82.0
67,2024-07-09 16:04:03,Current,207,83.0
68,2024-07-09 16:04:04,Current,211,84.0
69,2024-07-09 16:04:05,Current,208,85.0
70,2024-07-09 16:04:06,Current,209,86.0
71,2024-07-09 16:04:07,Current,209,87.0
72,2024-07-09 16:04:08,Current,208,88.0
73,2024-07-09 16:04:09,Current,208,89.0
74,2024-07-09 16:04:10,Current,213,90.0
75,2024-07-09 16:04:12,Current,232,92.0
76,2024-07-09 16:04:13,Current,230,93.0
77,2024-07-09 16:04:14,Current,232,94.0
78,2024-07-09 16:04:15,Current,229,95.0
79,2024-07-09 16:04:17,Current,232,97.0
80,2024-07-09 16:04:18,Current,229,98.0
81,2024-07-09 16:04:19,Current,229,99.0
82,2024-07-09 16:04:21,Current,231,101.0
83,2024-07-09 16:04:22,Current,230,102.0
84,2024-07-09 16:04:23,Current,232,103.0
85,2024-07-09 16:04:24,Current,229,104.0
86,2024-07-09 16:04:26,Current,228,106.0
87,2024-07-09 16:04:27,Current,231,107.0
88,2024-07-09 16:04:28,Current,230,108.0
89,2024-07-09 16:04:30,Current,214,110.0
90,2024-07-09 16:04:31,Current,229,111.0
91,2024-07-09 16:04:32,Current,228,112.0
92,2024-07-09 16:04:34,Current,232,114.0
93,2024-07-09 16:04:35,Current,231,115.0
94,2024-07-09 16:04:36,Current,230,116.0
95,2024-07-09 16:04:38,Current,230,118.0
96,2024-07-09 16:04:39,Current,231,119.0
97,2024-07-09 16:04:40,Current,231,120.0
98,2024-07-09 16:04:41,Current,229,121.0
99,2024-07-09 16:04:43,Current,232,123.0
100,2024-07-09 16:04:44,Current,231,124.0
101,2024-07-09 16:04:45,Current,232,125.0
102,2024-07-09 16:04:47,Current,231,127.0
103,2024-07-09 16:04:48,Current,230,128.0
104,2024-07-09 16:04:49,Current,230,129.0
105,2024-07-09 16:04:51,Current,231,131.0
106,2024-07-09 16:04:52,Current,232,132.0
107,2024-07-09 16:04:53,Current,229,133.0
108,2024-07-09 16:04:54,Current,228,134.0
109,2024-07-09 16:04:56,Current,229,136.0
110,2024-07-09 16:04:57,Current,234,137.0
111,2024-07-09 16:04:58,Current,230,138.0
112,2024-07-09 16:05:00,Current,231,140.0
113,2024-07-09 16:05:01,Current,233,141.0
114,2024-07-09 16:05:02,Current,231,142.0
115,2024-07-09 16:05:04,Current,229,144.0
116,2024-07-09 16:05:05,Current,232,145.0
117,2024-07-09 16:05:06,Current,231,146.0
118,2024-07-09 16:05:08,Current,222,148.0
119,2024-07-09 16:05:09,Current,231,149.0
120,2024-07-09 16:05:10,Current,235,150.0
121,2024-07-09 16:05:11,Current,236,151.0
122,2024-07-09 16:05:13,Current,237,153.0
123,2024-07-09 16:05:14,Current,214,154.0
124,2024-07-09 16:05:15,Current,210,155.0
125,2024-07-09 16:05:16,Current,209,156.0
126,2024-07-09 16:05:17,Current,211,157.0
127,2024-07-09 16:05:18,Current,211,158.0
128,2024-07-09 16:05:19,Current,211,159.0
129,2024-07-09 16:05:20,Current,211,160.0
130,2024-07-09 16:05:21,Current,209,161.0
131,2024-07-09 16:05:23,Current,210,163.0
132,2024-07-09 16:05:24,Current,227,164.0
133,2024-07-09 16:05:25,Current,229,165.0
134,2024-07-09 16:05:26,Current,229,166.0
135,2024-07-09 16:05:28,Current,230,168.0
136,2024-07-09 16:05:29,Current,228,169.0
137,2024-07-09 16:05:30,Current,234,170.0
138,2024-07-09 16:05:31,Current,231,171.0
139,2024-07-09 16:05:33,Current,233,173.0
140,2024-07-09 16:05:34,Current,231,174.0
141,2024-07-09 16:05:35,Current,231,175.0
142,2024-07-09 16:05:37,Current,229,177.0
143,2024-07-09 16:05:38,Current,231,178.0
144,2024-07-09 16:05:39,Current,233,179.0
145,2024-07-09 16:05:41,Current,231,181.0
146,2024-07-09 16:05:42,Current,231,182.0
147,2024-07-09 16:05:43,Current,232,183.0
148,2024-07-09 16:05:44,Current,232,184.0
149,2024-07-09 16:05:46,Current,230,186.0
150,2024-07-09 16:05:47,Current,231,187.0
151,2024-07-09 16:05:48,Current,230,188.0
152,2024-07-09 16:05:50,Current,233,190.0
153,2024-07-09 16:05:51,Current,228,191.0
154,2024-07-09 16:05:52,Current,234,192.0
155,2024-07-09 16:05:53,Current,232,193.0
156,2024-07-09 16:05:55,Current,233,195.0
157,2024-07-09 16:05:56,Current,233,196.0
158,2024-07-09 16:05:57,Current,232,197.0
159,2024-07-09 16:05:59,Current,234,199.0
160,2024-07-09 16:06:00,Current,231,200.0
161,2024-07-09 16:06:01,Current,234,201.0
162,2024-07-09 16:06:03,Current,229,203.0
163,2024-07-09 16:06:04,Current,235,204.0
164,2024-07-09 16:06:05,Current,226,205.0
165,2024-07-09 16:06:07,Current,233,207.0
166,2024-07-09 16:06:08,Current,231,208.0
167,2024-07-09 16:06:09,Current,231,209.0
168,2024-07-09 16:06:11,Current,233,211.0
169,2024-07-09 16:06:12,Current,228,212.0
170,2024-07-09 16:06:13,Current,230,213.0
171,2024-07-09 16:06:14,Current,230,214.0
172,2024-07-09 16:06:16,Current,230,216.0
173,2024-07-09 16:06:17,Current,234,217.0
174,2024-07-09 16:06:18,Current,234,218.0
175,2024-07-09 16:06:20,Current,234,220.0
176,2024-07-09 16:06:21,Current,231,221.0
177,2024-07-09 16:06:22,Current,240,222.0
178,2024-07-09 16:06:24,Current,236,224.0
179,2024-07-09 16:06:25,Current,229,225.0
180,2024-07-09 16:06:26,Current,212,226.0
181,2024-07-09 16:06:27,Current,213,227.0
182,2024-07-09 16:06:28,Current,210,228.0
183,2024-07-09 16:06:29,Current,211,229.0
184,2024-07-09 16:06:30,Current,209,230.0
185,2024-07-09 16:06:31,Current,215,231.0
