, Time,RAMWatt,Time Elapsed
0,1720410814.09465,3.17,0.0
1,1720410815.09783,3.23,1.0
2,1720410816.101454,2.33,2.0
3,1720410817.104933,2.6,3.0
4,1720410818.108098,2.28,4.0
5,1720410819.11011,12.04,5.0
6,1720410820.111856,11.92,6.0
7,1720410821.114336,11.12,7.0
8,1720410822.117275,11.24,8.0
9,1720410823.119594,10.78,9.0
10,1720410824.122274,10.53,10.0
11,1720410825.125099,11.62,11.0
12,1720410826.128148,12.03,12.0
13,1720410827.13113,11.86,13.0
14,1720410828.13381,12.07,14.0
15,1720410829.13658,12.09,15.0
16,1720410830.13911,11.88,16.0
17,1720410831.141458,11.92,17.0
18,1720410832.144575,12.27,18.0
19,1720410833.147172,11.03,19.0
20,1720410834.148909,11.05,20.0
21,1720410835.151795,12.01,21.0
22,1720410836.154141,12.37,22.0
23,1720410837.156084,11.74,23.0
24,1720410838.159769,9.52,24.0
25,1720410839.163189,2.17,25.0
26,1720410840.166826,2.87,26.0
27,1720410841.170392,2.04,27.0
28,1720410842.174083,2.81,28.0
29,1720410843.177636,2.07,29.0
30,1720410844.181017,2.18,30.0
31,1720410845.184346,2.2,31.0
32,1720410846.187742,2.22,32.0
33,1720410847.191446,2.15,33.0
34,1720410848.195296,2.75,34.0
35,1720410849.198765,2.1,35.0
36,1720410850.202345,2.66,36.0
37,1720410851.205848,2.07,37.0
38,1720410852.209193,2.53,38.0
