,0,1,2,3
0,2024-07-04 22:00:31,Current,103,0.0
1,2024-07-04 22:00:32,Current,104,1.0
2,2024-07-04 22:00:33,Current,103,2.0
3,2024-07-04 22:00:34,Current,111,3.0
4,2024-07-04 22:00:36,Current,113,5.0
5,2024-07-04 22:00:37,Current,113,6.0
6,2024-07-04 22:00:38,Current,113,7.0
7,2024-07-04 22:00:39,Current,112,8.0
8,2024-07-04 22:00:40,Current,113,9.0
9,2024-07-04 22:00:41,Current,113,10.0
10,2024-07-04 22:00:42,Current,113,11.0
11,2024-07-04 22:00:43,Current,113,12.0
12,2024-07-04 22:00:44,Current,111,13.0
13,2024-07-04 22:00:45,Current,113,14.0
14,2024-07-04 22:00:46,Current,112,15.0
15,2024-07-04 22:00:47,Current,113,16.0
16,2024-07-04 22:00:48,Current,112,17.0
17,2024-07-04 22:00:50,Current,113,19.0
18,2024-07-04 22:00:51,Current,113,20.0
19,2024-07-04 22:00:52,Current,113,21.0
20,2024-07-04 22:00:53,Current,108,22.0
21,2024-07-04 22:00:54,Current,113,23.0
22,2024-07-04 22:00:55,Current,113,24.0
23,2024-07-04 22:00:56,Current,112,25.0
24,2024-07-04 22:00:57,Current,113,26.0
25,2024-07-04 22:00:58,Current,113,27.0
26,2024-07-04 22:00:59,Current,113,28.0
27,2024-07-04 22:01:00,Current,113,29.0
28,2024-07-04 22:01:01,Current,113,30.0
29,2024-07-04 22:01:02,Current,109,31.0
30,2024-07-04 22:01:04,Current,112,33.0
31,2024-07-04 22:01:05,Current,113,34.0
32,2024-07-04 22:01:06,Current,113,35.0
33,2024-07-04 22:01:07,Current,112,36.0
34,2024-07-04 22:01:08,Current,112,37.0
35,2024-07-04 22:01:09,Current,113,38.0
36,2024-07-04 22:01:10,Current,113,39.0
37,2024-07-04 22:01:11,Current,113,40.0
38,2024-07-04 22:01:12,Current,108,41.0
39,2024-07-04 22:01:13,Current,112,42.0
40,2024-07-04 22:01:14,Current,113,43.0
41,2024-07-04 22:01:15,Current,113,44.0
42,2024-07-04 22:01:16,Current,113,45.0
43,2024-07-04 22:01:18,Current,113,47.0
44,2024-07-04 22:01:19,Current,113,48.0
45,2024-07-04 22:01:20,Current,113,49.0
46,2024-07-04 22:01:21,Current,113,50.0
47,2024-07-04 22:01:22,Current,108,51.0
48,2024-07-04 22:01:23,Current,113,52.0
49,2024-07-04 22:01:24,Current,112,53.0
50,2024-07-04 22:01:25,Current,113,54.0
51,2024-07-04 22:01:26,Current,113,55.0
52,2024-07-04 22:01:27,Current,113,56.0
53,2024-07-04 22:01:28,Current,113,57.0
54,2024-07-04 22:01:29,Current,113,58.0
