Timestamp,Sensor,Value
2024-07-04 17:14:27,Current,103
2024-07-04 17:14:28,Current,111
2024-07-04 17:14:29,Current,112
2024-07-04 17:14:31,Current,113
2024-07-04 17:14:32,Current,112
2024-07-04 17:14:33,Current,113
2024-07-04 17:14:34,Current,112
2024-07-04 17:14:35,Current,112
2024-07-04 17:14:36,Current,109
2024-07-04 17:14:37,Current,113
2024-07-04 17:14:38,Current,113
2024-07-04 17:14:39,Current,113
2024-07-04 17:14:40,Current,113
2024-07-04 17:14:41,Current,113
2024-07-04 17:14:42,Current,114
2024-07-04 17:14:43,Current,113
2024-07-04 17:14:45,Current,112
2024-07-04 17:14:46,Current,113
2024-07-04 17:14:47,Current,113
2024-07-04 17:14:48,Current,113
2024-07-04 17:14:49,Current,125
2024-07-04 17:14:50,Current,114
2024-07-04 17:14:51,Current,113
2024-07-04 17:14:52,Current,113
2024-07-04 17:14:53,Current,113
2024-07-04 17:14:54,Current,113
2024-07-04 17:14:55,Current,114
2024-07-04 17:14:56,Current,113
2024-07-04 17:14:58,Current,113
2024-07-04 17:14:59,Current,112
2024-07-04 17:15:00,Current,113
2024-07-04 17:15:01,Current,113
2024-07-04 17:15:02,Current,110
2024-07-04 17:15:03,Current,112
2024-07-04 17:15:04,Current,112
2024-07-04 17:15:05,Current,113
2024-07-04 17:15:06,Current,113
2024-07-04 17:15:07,Current,113
2024-07-04 17:15:08,Current,112
2024-07-04 17:15:09,Current,113
2024-07-04 17:15:10,Current,110
2024-07-04 17:15:12,Current,113
2024-07-04 17:15:13,Current,112
2024-07-04 17:15:14,Current,113
2024-07-04 17:15:15,Current,113
2024-07-04 17:15:16,Current,113
2024-07-04 17:15:17,Current,113
2024-07-04 17:15:18,Current,113
2024-07-04 17:15:19,Current,113
2024-07-04 17:15:20,Current,112
2024-07-04 17:15:21,Current,113
2024-07-04 17:15:22,Current,113
2024-07-04 17:15:23,Current,112
2024-07-04 17:15:24,Current,112
2024-07-04 17:15:26,Current,113
2024-07-04 17:15:27,Current,113
