, Time,RAMWatt,Time Elapsed
0,1720410814.38899,20.85,0.0
1,1720410815.391167,20.89,1.0
2,1720410816.394043,20.84,2.0
3,1720410817.396319,20.89,3.0
4,1720410818.398737,20.83,4.0
5,1720410819.400864,20.85,5.0
6,1720410820.403315,20.88,6.0
7,1720410821.405493,20.93,7.0
8,1720410822.40789,20.87,8.0
9,1720410823.409977,20.86,9.0
10,1720410824.412328,20.89,10.0
11,1720410825.414601,20.91,11.0
12,1720410826.416746,20.88,12.0
13,1720410827.418834,20.88,13.0
14,1720410828.421105,20.87,14.0
15,1720410829.423313,20.9,15.0
16,1720410830.425555,20.85,16.0
17,1720410831.427634,20.88,17.0
18,1720410832.429892,20.88,18.0
19,1720410833.432123,20.88,19.0
20,1720410834.434309,20.88,20.0
21,1720410835.436463,20.85,21.0
22,1720410836.438563,20.88,22.0
23,1720410837.44079,20.88,23.0
24,1720410838.442994,20.85,24.0
25,1720410839.445209,20.88,25.0
26,1720410840.447345,20.89,26.0
27,1720410841.449538,20.84,27.0
28,1720410842.451835,20.89,28.0
29,1720410843.453835,20.89,29.0
30,1720410844.456135,20.84,30.0
31,1720410845.45841,20.86,31.0
32,1720410846.460616,20.87,32.0
33,1720410847.46294,20.88,33.0
34,1720410848.465176,20.85,34.0
35,1720410849.467174,20.85,35.0
36,1720410850.469423,20.83,36.0
37,1720410851.471616,20.86,37.0
38,1720410852.474089,20.84,38.0
