,0,1,2,3
0,2024-07-09 19:46:45,Current,109,0.0
1,2024-07-09 19:46:46,Current,128,1.0
2,2024-07-09 19:46:47,Current,115,2.0
3,2024-07-09 19:46:48,Current,133,3.0
4,2024-07-09 19:46:49,Current,133,4.0
5,2024-07-09 19:46:51,Current,123,6.0
6,2024-07-09 19:46:52,Current,202,7.0
7,2024-07-09 19:46:53,Current,213,8.0
8,2024-07-09 19:46:54,Current,213,9.0
9,2024-07-09 19:46:55,Current,212,10.0
10,2024-07-09 19:46:56,Current,214,11.0
11,2024-07-09 19:46:57,Current,212,12.0
12,2024-07-09 19:46:58,Current,212,13.0
13,2024-07-09 19:46:59,Current,212,14.0
14,2024-07-09 19:47:00,Current,211,15.0
15,2024-07-09 19:47:01,Current,235,16.0
16,2024-07-09 19:47:03,Current,231,18.0
17,2024-07-09 19:47:04,Current,226,19.0
18,2024-07-09 19:47:05,Current,205,20.0
19,2024-07-09 19:47:06,Current,209,21.0
20,2024-07-09 19:47:07,Current,206,22.0
21,2024-07-09 19:47:08,Current,207,23.0
22,2024-07-09 19:47:10,Current,207,25.0
23,2024-07-09 19:47:11,Current,164,26.0
24,2024-07-09 19:47:12,Current,217,27.0
25,2024-07-09 19:47:13,Current,214,28.0
26,2024-07-09 19:47:14,Current,215,29.0
27,2024-07-09 19:47:15,Current,239,30.0
28,2024-07-09 19:47:16,Current,237,31.0
29,2024-07-09 19:47:18,Current,237,33.0
30,2024-07-09 19:47:19,Current,218,34.0
31,2024-07-09 19:47:20,Current,210,35.0
32,2024-07-09 19:47:21,Current,206,36.0
33,2024-07-09 19:47:22,Current,215,37.0
34,2024-07-09 19:47:23,Current,213,38.0
35,2024-07-09 19:47:24,Current,213,39.0
36,2024-07-09 19:47:25,Current,211,40.0
37,2024-07-09 19:47:26,Current,211,41.0
38,2024-07-09 19:47:27,Current,212,42.0
39,2024-07-09 19:47:29,Current,226,44.0
40,2024-07-09 19:47:30,Current,237,45.0
41,2024-07-09 19:47:31,Current,236,46.0
42,2024-07-09 19:47:32,Current,230,47.0
43,2024-07-09 19:47:33,Current,211,48.0
