Timestamp,Sensor,Value
2024-07-09 16:02:40,Current,113
2024-07-09 16:02:41,Current,129
2024-07-09 16:02:42,Current,131
2024-07-09 16:02:43,Current,132
2024-07-09 16:02:44,Current,133
2024-07-09 16:02:45,Current,126
2024-07-09 16:02:46,Current,192
2024-07-09 16:02:47,Current,214
2024-07-09 16:02:48,Current,212
2024-07-09 16:02:49,Current,211
2024-07-09 16:02:50,Current,213
2024-07-09 16:02:52,Current,213
2024-07-09 16:02:53,Current,213
2024-07-09 16:02:54,Current,209
2024-07-09 16:02:55,Current,177
2024-07-09 16:02:56,Current,210
2024-07-09 16:02:57,Current,215
2024-07-09 16:02:58,Current,215
2024-07-09 16:02:59,Current,236
2024-07-09 16:03:01,Current,234
2024-07-09 16:03:02,Current,234
2024-07-09 16:03:03,Current,230
2024-07-09 16:03:05,Current,225
2024-07-09 16:03:06,Current,231
2024-07-09 16:03:07,Current,231
2024-07-09 16:03:08,Current,230
2024-07-09 16:03:10,Current,226
2024-07-09 16:03:11,Current,227
2024-07-09 16:03:12,Current,225
2024-07-09 16:03:13,Current,222
2024-07-09 16:03:15,Current,224
2024-07-09 16:03:16,Current,227
2024-07-09 16:03:17,Current,227
2024-07-09 16:03:19,Current,227
2024-07-09 16:03:20,Current,228
2024-07-09 16:03:21,Current,226
2024-07-09 16:03:23,Current,227
2024-07-09 16:03:24,Current,216
2024-07-09 16:03:25,Current,227
2024-07-09 16:03:27,Current,226
2024-07-09 16:03:28,Current,229
2024-07-09 16:03:29,Current,227
2024-07-09 16:03:31,Current,228
2024-07-09 16:03:32,Current,227
2024-07-09 16:03:33,Current,223
2024-07-09 16:03:35,Current,227
2024-07-09 16:03:36,Current,228
2024-07-09 16:03:37,Current,228
2024-07-09 16:03:39,Current,230
2024-07-09 16:03:40,Current,226
2024-07-09 16:03:41,Current,227
2024-07-09 16:03:43,Current,226
2024-07-09 16:03:44,Current,226
2024-07-09 16:03:45,Current,229
2024-07-09 16:03:46,Current,230
2024-07-09 16:03:48,Current,228
2024-07-09 16:03:49,Current,226
2024-07-09 16:03:50,Current,230
2024-07-09 16:03:52,Current,228
2024-07-09 16:03:53,Current,230
2024-07-09 16:03:54,Current,228
2024-07-09 16:03:56,Current,229
2024-07-09 16:03:57,Current,236
2024-07-09 16:03:58,Current,234
2024-07-09 16:03:59,Current,233
2024-07-09 16:04:01,Current,210
2024-07-09 16:04:02,Current,208
2024-07-09 16:04:03,Current,207
2024-07-09 16:04:04,Current,211
2024-07-09 16:04:05,Current,208
2024-07-09 16:04:06,Current,209
2024-07-09 16:04:07,Current,209
2024-07-09 16:04:08,Current,208
2024-07-09 16:04:09,Current,208
2024-07-09 16:04:10,Current,213
2024-07-09 16:04:12,Current,232
2024-07-09 16:04:13,Current,230
2024-07-09 16:04:14,Current,232
2024-07-09 16:04:15,Current,229
2024-07-09 16:04:17,Current,232
2024-07-09 16:04:18,Current,229
