, Time,RAMWatt,Time Elapsed
0,1720554174.421712,2.4,0.0
1,1720554175.424105,1.96,1.0
2,1720554176.426845,2.31,2.0
3,1720554177.429579,2.22,3.0
4,1720554178.431468,2.26,4.0
5,1720554179.433003,9.96,5.0
6,1720554180.43497,10.12,6.0
7,1720554181.437051,9.2,7.0
8,1720554182.438822,10.15,8.0
9,1720554183.440334,9.19,9.0
10,1720554184.441314,13.24,10.0
11,1720554185.442248,13.07,11.0
12,1720554186.443265,13.09,12.0
13,1720554187.444295,13.17,13.0
14,1720554188.447311,8.28,14.0
15,1720554189.449505,1.96,15.0
16,1720554190.452317,2.21,16.0
17,1720554191.454675,1.82,17.0
18,1720554192.457238,2.1,18.0
19,1720554193.459713,1.47,19.0
20,1720554194.462292,1.6,20.0
21,1720554195.465052,1.64,21.0
22,1720554196.467915,1.91,22.0
23,1720554197.470293,1.83,23.0
24,1720554198.472585,7.7,24.0
25,1720554199.474634,12.52,25.0
26,1720554200.47694,12.82,26.0
27,1720554201.478983,12.57,27.0
28,1720554202.481809,5.62,28.0
29,1720554203.484481,1.71,29.0
30,1720554204.487179,2.43,30.0
31,1720554205.490047,1.91,31.0
32,1720554206.493054,1.74,32.0
33,1720554207.495415,2.01,33.0
34,1720554208.498089,1.68,34.0
35,1720554209.500568,1.51,35.0
36,1720554210.503254,1.67,36.0
37,1720554211.505432,1.66,37.0
38,1720554212.507526,9.07,38.0
39,1720554213.50953,12.45,39.0
40,1720554214.512166,12.68,40.0
41,1720554215.514459,10.01,41.0
42,1720554216.517222,7.38,42.0
43,1720554217.519752,2.34,43.0
44,1720554218.522381,1.99,44.0
45,1720554219.524736,2.48,45.0
46,1720554220.526948,2.23,46.0
47,1720554221.52926,2.31,47.0
48,1720554222.531367,2.83,48.0
49,1720554223.533627,2.57,49.0
50,1720554224.5362,2.63,50.0
51,1720554225.538617,2.21,51.0
52,1720554226.541044,2.12,52.0
53,1720554227.543882,2.91,53.0
