Timestamp,Sensor,Value
2024-07-04 17:14:24,Current,107
2024-07-04 17:14:25,Current,127
2024-07-04 17:14:26,Current,127
2024-07-04 17:14:27,Current,130
2024-07-04 17:14:28,Current,130
2024-07-04 17:14:29,Current,122
2024-07-04 17:14:30,Current,217
2024-07-04 17:14:31,Current,212
2024-07-04 17:14:32,Current,214
2024-07-04 17:14:33,Current,149
2024-07-04 17:14:34,Current,217
2024-07-04 17:14:35,Current,215
2024-07-04 17:14:37,Current,214
2024-07-04 17:14:38,Current,191
2024-07-04 17:14:39,Current,216
2024-07-04 17:14:40,Current,216
2024-07-04 17:14:41,Current,213
2024-07-04 17:14:42,Current,192
2024-07-04 17:14:43,Current,223
2024-07-04 17:14:44,Current,234
2024-07-04 17:14:46,Current,233
2024-07-04 17:14:47,Current,233
2024-07-04 17:14:48,Current,242
2024-07-04 17:14:50,Current,229
2024-07-04 17:14:51,Current,233
2024-07-04 17:14:52,Current,230
2024-07-04 17:14:54,Current,219
2024-07-04 17:14:55,Current,229
2024-07-04 17:14:56,Current,227
2024-07-04 17:14:58,Current,223
2024-07-04 17:14:59,Current,226
2024-07-04 17:15:00,Current,228
2024-07-04 17:15:02,Current,222
2024-07-04 17:15:03,Current,227
2024-07-04 17:15:04,Current,228
2024-07-04 17:15:05,Current,223
2024-07-04 17:15:07,Current,228
2024-07-04 17:15:08,Current,227
2024-07-04 17:15:09,Current,226
2024-07-04 17:15:11,Current,228
2024-07-04 17:15:12,Current,229
2024-07-04 17:15:13,Current,228
2024-07-04 17:15:15,Current,226
2024-07-04 17:15:16,Current,227
2024-07-04 17:15:17,Current,221
2024-07-04 17:15:18,Current,229
2024-07-04 17:15:20,Current,229
2024-07-04 17:15:21,Current,228
2024-07-04 17:15:22,Current,231
2024-07-04 17:15:24,Current,229
2024-07-04 17:15:25,Current,224
2024-07-04 17:15:26,Current,226
2024-07-04 17:15:28,Current,224
2024-07-04 17:15:29,Current,226
2024-07-04 17:15:30,Current,231
2024-07-04 17:15:32,Current,232
2024-07-04 17:15:33,Current,224
2024-07-04 17:15:34,Current,229
2024-07-04 17:15:36,Current,231
2024-07-04 17:15:37,Current,227
2024-07-04 17:15:38,Current,232
2024-07-04 17:15:40,Current,231
2024-07-04 17:15:41,Current,239
2024-07-04 17:15:42,Current,241
2024-07-04 17:15:43,Current,243
2024-07-04 17:15:45,Current,228
2024-07-04 17:15:46,Current,222
2024-07-04 17:15:47,Current,225
2024-07-04 17:15:48,Current,222
2024-07-04 17:15:49,Current,208
2024-07-04 17:15:50,Current,224
2024-07-04 17:15:51,Current,223
2024-07-04 17:15:52,Current,223
2024-07-04 17:15:53,Current,220
2024-07-04 17:15:54,Current,224
2024-07-04 17:15:55,Current,223
2024-07-04 17:15:56,Current,223
2024-07-04 17:15:57,Current,222
2024-07-04 17:15:59,Current,222
2024-07-04 17:16:00,Current,221
2024-07-04 17:16:01,Current,225
2024-07-04 17:16:02,Current,223
2024-07-04 17:16:03,Current,223
2024-07-04 17:16:04,Current,222
2024-07-04 17:16:05,Current,215
2024-07-04 17:16:06,Current,225
2024-07-04 17:16:07,Current,223
2024-07-04 17:16:08,Current,221
2024-07-04 17:16:09,Current,223
2024-07-04 17:16:10,Current,225
2024-07-04 17:16:12,Current,223
2024-07-04 17:16:13,Current,215
2024-07-04 17:16:14,Current,224
2024-07-04 17:16:15,Current,222
2024-07-04 17:16:16,Current,223
2024-07-04 17:16:17,Current,214
2024-07-04 17:16:18,Current,222
2024-07-04 17:16:19,Current,222
2024-07-04 17:16:20,Current,219
2024-07-04 17:16:21,Current,220
2024-07-04 17:16:22,Current,218
2024-07-04 17:16:23,Current,218
2024-07-04 17:16:24,Current,211
