Timestamp,Sensor,Value
2024-07-08 20:23:53,Current,215
2024-07-08 20:23:54,Current,216
2024-07-08 20:23:55,Current,216
2024-07-08 20:23:56,Current,213
2024-07-08 20:23:57,Current,193
2024-07-08 20:23:58,Current,217
2024-07-08 20:23:59,Current,218
2024-07-08 20:24:00,Current,219
2024-07-08 20:24:02,Current,215
2024-07-08 20:24:03,Current,213
2024-07-08 20:24:04,Current,203
2024-07-08 20:24:05,Current,218
2024-07-08 20:24:06,Current,217
2024-07-08 20:24:07,Current,218
2024-07-08 20:24:08,Current,215
2024-07-08 20:24:09,Current,214
2024-07-08 20:24:10,Current,207
2024-07-08 20:24:11,Current,218
2024-07-08 20:24:12,Current,217
2024-07-08 20:24:13,Current,213
2024-07-08 20:24:14,Current,216
2024-07-08 20:24:16,Current,217
2024-07-08 20:24:17,Current,214
2024-07-08 20:24:18,Current,218
2024-07-08 20:24:19,Current,216
2024-07-08 20:24:20,Current,217
2024-07-08 20:24:21,Current,216
2024-07-08 20:24:22,Current,214
2024-07-08 20:24:23,Current,213
2024-07-08 20:24:24,Current,219
2024-07-08 20:24:25,Current,219
2024-07-08 20:24:26,Current,216
2024-07-08 20:24:27,Current,219
2024-07-08 20:24:28,Current,215
2024-07-08 20:24:30,Current,209
2024-07-08 20:24:31,Current,219
2024-07-08 20:24:32,Current,218
2024-07-08 20:24:33,Current,217
2024-07-08 20:24:34,Current,215
2024-07-08 20:24:35,Current,217
2024-07-08 20:24:36,Current,213
2024-07-08 20:24:37,Current,219
2024-07-08 20:24:38,Current,215
2024-07-08 20:24:39,Current,218
2024-07-08 20:24:40,Current,218
2024-07-08 20:24:41,Current,216
2024-07-08 20:24:42,Current,202
2024-07-08 20:24:43,Current,217
2024-07-08 20:24:45,Current,220
2024-07-08 20:24:46,Current,219
2024-07-08 20:24:47,Current,215
2024-07-08 20:24:48,Current,216
2024-07-08 20:24:49,Current,215
2024-07-08 20:24:50,Current,216
2024-07-08 20:24:51,Current,214
2024-07-08 20:24:52,Current,212
2024-07-08 20:24:53,Current,212
2024-07-08 20:24:54,Current,213
2024-07-08 20:24:55,Current,213
2024-07-08 20:24:56,Current,186
2024-07-08 20:24:57,Current,216
2024-07-08 20:24:59,Current,219
2024-07-08 20:25:00,Current,217
2024-07-08 20:25:01,Current,216
2024-07-08 20:25:02,Current,218
2024-07-08 20:25:03,Current,207
2024-07-08 20:25:04,Current,216
2024-07-08 20:25:05,Current,218
2024-07-08 20:25:06,Current,217
2024-07-08 20:25:07,Current,215
2024-07-08 20:25:08,Current,217
2024-07-08 20:25:09,Current,207
2024-07-08 20:25:10,Current,218
2024-07-08 20:25:11,Current,219
2024-07-08 20:25:13,Current,216
2024-07-08 20:25:14,Current,215
2024-07-08 20:25:15,Current,215
2024-07-08 20:25:16,Current,212
2024-07-08 20:25:17,Current,215
2024-07-08 20:25:18,Current,216
2024-07-08 20:25:19,Current,214
2024-07-08 20:25:20,Current,214
2024-07-08 20:25:21,Current,209
2024-07-08 20:25:22,Current,200
2024-07-08 20:25:23,Current,197
2024-07-08 20:25:24,Current,219
2024-07-08 20:25:25,Current,218
2024-07-08 20:25:26,Current,215
2024-07-08 20:25:28,Current,218
2024-07-08 20:25:29,Current,217
2024-07-08 20:25:30,Current,205
2024-07-08 20:25:31,Current,215
2024-07-08 20:25:32,Current,216
2024-07-08 20:25:33,Current,213
2024-07-08 20:25:34,Current,215
2024-07-08 20:25:35,Current,217
2024-07-08 20:25:36,Current,217
2024-07-08 20:25:37,Current,217
2024-07-08 20:25:38,Current,216
2024-07-08 20:25:39,Current,215
2024-07-08 20:25:40,Current,217
2024-07-08 20:25:42,Current,217
2024-07-08 20:25:43,Current,217
2024-07-08 20:25:44,Current,187
2024-07-08 20:25:45,Current,220
2024-07-08 20:25:46,Current,218
2024-07-08 20:25:47,Current,217
2024-07-08 20:25:48,Current,216
2024-07-08 20:25:49,Current,216
2024-07-08 20:25:50,Current,216
2024-07-08 20:25:51,Current,215
2024-07-08 20:25:52,Current,217
2024-07-08 20:25:53,Current,216
2024-07-08 20:25:54,Current,218
2024-07-08 20:25:56,Current,213
2024-07-08 20:25:57,Current,216
2024-07-08 20:25:58,Current,212
2024-07-08 20:25:59,Current,215
2024-07-08 20:26:00,Current,212
2024-07-08 20:26:01,Current,214
2024-07-08 20:26:02,Current,212
2024-07-08 20:26:03,Current,210
2024-07-08 20:26:04,Current,195
2024-07-08 20:26:05,Current,220
2024-07-08 20:26:06,Current,218
2024-07-08 20:26:07,Current,215
2024-07-08 20:26:08,Current,216
2024-07-08 20:26:10,Current,214
2024-07-08 20:26:11,Current,214
2024-07-08 20:26:12,Current,215
2024-07-08 20:26:13,Current,215
2024-07-08 20:26:14,Current,214
2024-07-08 20:26:15,Current,214
2024-07-08 20:26:16,Current,212
2024-07-08 20:26:17,Current,211
2024-07-08 20:26:18,Current,215
2024-07-08 20:26:19,Current,214
2024-07-08 20:26:20,Current,217
2024-07-08 20:26:21,Current,215
2024-07-08 20:26:22,Current,217
2024-07-08 20:26:24,Current,215
2024-07-08 20:26:25,Current,201
2024-07-08 20:26:26,Current,219
2024-07-08 20:26:27,Current,217
2024-07-08 20:26:28,Current,214
2024-07-08 20:26:29,Current,217
2024-07-08 20:26:30,Current,212
2024-07-08 20:26:31,Current,213
2024-07-08 20:26:32,Current,220
2024-07-08 20:26:33,Current,218
2024-07-08 20:26:34,Current,217
2024-07-08 20:26:35,Current,215
2024-07-08 20:26:36,Current,217
2024-07-08 20:26:38,Current,215
2024-07-08 20:26:39,Current,209
2024-07-08 20:26:40,Current,219
2024-07-08 20:26:41,Current,216
2024-07-08 20:26:42,Current,216
2024-07-08 20:26:43,Current,216
2024-07-08 20:26:44,Current,217
2024-07-08 20:26:45,Current,197
2024-07-08 20:26:46,Current,222
2024-07-08 20:26:47,Current,218
2024-07-08 20:26:48,Current,218
2024-07-08 20:26:49,Current,216
2024-07-08 20:26:50,Current,216
2024-07-08 20:26:51,Current,214
2024-07-08 20:26:53,Current,193
2024-07-08 20:26:54,Current,219
2024-07-08 20:26:55,Current,220
2024-07-08 20:26:56,Current,214
2024-07-08 20:26:57,Current,214
2024-07-08 20:26:58,Current,213
2024-07-08 20:26:59,Current,213
2024-07-08 20:27:00,Current,178
2024-07-08 20:27:01,Current,219
2024-07-08 20:27:02,Current,217
2024-07-08 20:27:03,Current,216
2024-07-08 20:27:04,Current,218
2024-07-08 20:27:05,Current,215
2024-07-08 20:27:07,Current,215
2024-07-08 20:27:08,Current,211
2024-07-08 20:27:09,Current,217
2024-07-08 20:27:10,Current,220
2024-07-08 20:27:11,Current,217
2024-07-08 20:27:12,Current,215
2024-07-08 20:27:13,Current,215
2024-07-08 20:27:14,Current,196
2024-07-08 20:27:15,Current,216
2024-07-08 20:27:16,Current,219
2024-07-08 20:27:17,Current,217
2024-07-08 20:27:18,Current,213
2024-07-08 20:27:19,Current,215
2024-07-08 20:27:21,Current,215
2024-07-08 20:27:22,Current,216
2024-07-08 20:27:23,Current,215
2024-07-08 20:27:24,Current,212
2024-07-08 20:27:25,Current,214
2024-07-08 20:27:26,Current,210
2024-07-08 20:27:27,Current,211
2024-07-08 20:27:28,Current,204
2024-07-08 20:27:29,Current,218
2024-07-08 20:27:30,Current,217
2024-07-08 20:27:31,Current,217
2024-07-08 20:27:32,Current,218
2024-07-08 20:27:33,Current,217
2024-07-08 20:27:34,Current,214
2024-07-08 20:27:36,Current,220
2024-07-08 20:27:37,Current,221
2024-07-08 20:27:38,Current,218
2024-07-08 20:27:39,Current,216
2024-07-08 20:27:40,Current,217
2024-07-08 20:27:41,Current,215
2024-07-08 20:27:42,Current,212
2024-07-08 20:27:43,Current,221
2024-07-08 20:27:44,Current,217
2024-07-08 20:27:45,Current,215
2024-07-08 20:27:46,Current,219
2024-07-08 20:27:47,Current,219
2024-07-08 20:27:48,Current,208
2024-07-08 20:27:50,Current,198
2024-07-08 20:27:51,Current,217
2024-07-08 20:27:52,Current,222
2024-07-08 20:27:53,Current,219
2024-07-08 20:27:54,Current,217
2024-07-08 20:27:55,Current,219
2024-07-08 20:27:56,Current,216
2024-07-08 20:27:57,Current,214
2024-07-08 20:27:58,Current,215
2024-07-08 20:27:59,Current,214
2024-07-08 20:28:00,Current,216
2024-07-08 20:28:01,Current,216
2024-07-08 20:28:02,Current,216
2024-07-08 20:28:04,Current,218
2024-07-08 20:28:05,Current,221
2024-07-08 20:28:06,Current,217
2024-07-08 20:28:07,Current,216
2024-07-08 20:28:08,Current,215
2024-07-08 20:28:09,Current,217
2024-07-08 20:28:10,Current,218
2024-07-08 20:28:11,Current,217
2024-07-08 20:28:12,Current,219
2024-07-08 20:28:13,Current,214
2024-07-08 20:28:14,Current,214
2024-07-08 20:28:15,Current,214
2024-07-08 20:28:16,Current,215
2024-07-08 20:28:18,Current,218
2024-07-08 20:28:19,Current,219
2024-07-08 20:28:20,Current,219
2024-07-08 20:28:21,Current,217
2024-07-08 20:28:22,Current,220
2024-07-08 20:28:23,Current,216
2024-07-08 20:28:24,Current,218
2024-07-08 20:28:25,Current,197
2024-07-08 20:28:26,Current,219
2024-07-08 20:28:27,Current,221
2024-07-08 20:28:28,Current,218
2024-07-08 20:28:29,Current,216
2024-07-08 20:28:31,Current,217
2024-07-08 20:28:32,Current,205
2024-07-08 20:28:33,Current,199
