Timestamp,Sensor,Value
2024-07-09 12:53:47,Current,213
2024-07-09 12:53:48,Current,216
2024-07-09 12:53:49,Current,217
2024-07-09 12:53:50,Current,216
2024-07-09 12:53:51,Current,211
2024-07-09 12:53:52,Current,204
2024-07-09 12:53:54,Current,200
2024-07-09 12:53:55,Current,219
2024-07-09 12:53:56,Current,216
2024-07-09 12:53:57,Current,215
2024-07-09 12:53:58,Current,219
2024-07-09 12:53:59,Current,217
2024-07-09 12:54:00,Current,215
2024-07-09 12:54:01,Current,215
2024-07-09 12:54:02,Current,187
2024-07-09 12:54:03,Current,219
2024-07-09 12:54:04,Current,216
2024-07-09 12:54:05,Current,219
2024-07-09 12:54:06,Current,214
2024-07-09 12:54:08,Current,236
2024-07-09 12:54:09,Current,237
2024-07-09 12:54:10,Current,233
2024-07-09 12:54:12,Current,234
2024-07-09 12:54:13,Current,235
2024-07-09 12:54:14,Current,234
2024-07-09 12:54:16,Current,231
2024-07-09 12:54:17,Current,232
2024-07-09 12:54:18,Current,230
2024-07-09 12:54:20,Current,224
2024-07-09 12:54:21,Current,229
2024-07-09 12:54:22,Current,231
2024-07-09 12:54:23,Current,228
2024-07-09 12:54:25,Current,228
2024-07-09 12:54:26,Current,232
2024-07-09 12:54:27,Current,229
2024-07-09 12:54:29,Current,230
2024-07-09 12:54:30,Current,228
2024-07-09 12:54:31,Current,228
2024-07-09 12:54:33,Current,230
2024-07-09 12:54:34,Current,229
2024-07-09 12:54:35,Current,229
2024-07-09 12:54:37,Current,227
2024-07-09 12:54:38,Current,230
2024-07-09 12:54:39,Current,228
2024-07-09 12:54:41,Current,232
2024-07-09 12:54:42,Current,227
2024-07-09 12:54:43,Current,230
2024-07-09 12:54:45,Current,229
2024-07-09 12:54:46,Current,228
2024-07-09 12:54:47,Current,230
2024-07-09 12:54:48,Current,227
2024-07-09 12:54:50,Current,231
2024-07-09 12:54:51,Current,231
2024-07-09 12:54:52,Current,231
2024-07-09 12:54:54,Current,229
2024-07-09 12:54:55,Current,228
2024-07-09 12:54:56,Current,230
2024-07-09 12:54:58,Current,229
2024-07-09 12:54:59,Current,228
2024-07-09 12:55:00,Current,242
2024-07-09 12:55:02,Current,242
2024-07-09 12:55:03,Current,242
2024-07-09 12:55:04,Current,239
2024-07-09 12:55:06,Current,242
2024-07-09 12:55:07,Current,242
2024-07-09 12:55:08,Current,243
2024-07-09 12:55:09,Current,213
2024-07-09 12:55:10,Current,209
2024-07-09 12:55:11,Current,207
2024-07-09 12:55:13,Current,181
2024-07-09 12:55:14,Current,219
2024-07-09 12:55:15,Current,219
2024-07-09 12:55:16,Current,221
2024-07-09 12:55:17,Current,219
2024-07-09 12:55:18,Current,218
2024-07-09 12:55:19,Current,235
2024-07-09 12:55:20,Current,238
2024-07-09 12:55:22,Current,232
2024-07-09 12:55:23,Current,235
2024-07-09 12:55:24,Current,235
2024-07-09 12:55:26,Current,229
2024-07-09 12:55:27,Current,234
2024-07-09 12:55:28,Current,233
2024-07-09 12:55:30,Current,232
2024-07-09 12:55:31,Current,231
2024-07-09 12:55:32,Current,231
2024-07-09 12:55:34,Current,233
2024-07-09 12:55:35,Current,233
2024-07-09 12:55:36,Current,228
2024-07-09 12:55:37,Current,230
2024-07-09 12:55:39,Current,232
2024-07-09 12:55:40,Current,230
2024-07-09 12:55:41,Current,233
2024-07-09 12:55:43,Current,232
2024-07-09 12:55:44,Current,228
2024-07-09 12:55:45,Current,232
2024-07-09 12:55:47,Current,229
2024-07-09 12:55:48,Current,233
2024-07-09 12:55:49,Current,228
2024-07-09 12:55:51,Current,231
2024-07-09 12:55:52,Current,231
2024-07-09 12:55:53,Current,232
2024-07-09 12:55:55,Current,231
2024-07-09 12:55:56,Current,231
2024-07-09 12:55:57,Current,230
2024-07-09 12:55:59,Current,228
2024-07-09 12:56:00,Current,233
2024-07-09 12:56:01,Current,229
2024-07-09 12:56:03,Current,232
2024-07-09 12:56:04,Current,231
2024-07-09 12:56:05,Current,232
2024-07-09 12:56:07,Current,231
2024-07-09 12:56:08,Current,232
2024-07-09 12:56:09,Current,232
2024-07-09 12:56:11,Current,233
2024-07-09 12:56:12,Current,241
2024-07-09 12:56:13,Current,243
2024-07-09 12:56:15,Current,244
2024-07-09 12:56:16,Current,242
2024-07-09 12:56:17,Current,243
2024-07-09 12:56:19,Current,243
2024-07-09 12:56:20,Current,243
2024-07-09 12:56:21,Current,218
2024-07-09 12:56:22,Current,209
2024-07-09 12:56:23,Current,211
2024-07-09 12:56:24,Current,211
2024-07-09 12:56:25,Current,202
2024-07-09 12:56:26,Current,220
2024-07-09 12:56:28,Current,220
2024-07-09 12:56:29,Current,220
2024-07-09 12:56:30,Current,217
2024-07-09 12:56:31,Current,240
2024-07-09 12:56:32,Current,239
2024-07-09 12:56:33,Current,237
2024-07-09 12:56:35,Current,233
2024-07-09 12:56:36,Current,238
2024-07-09 12:56:37,Current,234
2024-07-09 12:56:39,Current,234
2024-07-09 12:56:40,Current,231
2024-07-09 12:56:41,Current,234
2024-07-09 12:56:43,Current,231
2024-07-09 12:56:44,Current,230
2024-07-09 12:56:45,Current,233
2024-07-09 12:56:47,Current,235
2024-07-09 12:56:48,Current,230
2024-07-09 12:56:49,Current,231
2024-07-09 12:56:51,Current,233
2024-07-09 12:56:52,Current,231
2024-07-09 12:56:53,Current,228
2024-07-09 12:56:55,Current,234
2024-07-09 12:56:56,Current,232
2024-07-09 12:56:57,Current,231
2024-07-09 12:56:58,Current,227
2024-07-09 12:57:00,Current,235
2024-07-09 12:57:01,Current,234
2024-07-09 12:57:03,Current,227
2024-07-09 12:57:04,Current,233
2024-07-09 12:57:05,Current,229
2024-07-09 12:57:07,Current,228
