Timestamp,Sensor,Value
2024-10-04 06:30:22,Current,218
2024-10-04 06:30:23,Current,182
2024-10-04 06:30:24,Current,221
2024-10-04 06:30:25,Current,220
2024-10-04 06:30:26,Current,226
2024-10-04 06:30:27,Current,219
2024-10-04 06:30:28,Current,216
2024-10-04 06:30:29,Current,227
2024-10-04 06:30:31,Current,209
2024-10-04 06:30:32,Current,219
2024-10-04 06:30:33,Current,220
2024-10-04 06:30:34,Current,215
2024-10-04 06:30:35,Current,239
2024-10-04 06:30:36,Current,223
2024-10-04 06:30:37,Current,221
2024-10-04 06:30:38,Current,217
2024-10-04 06:30:39,Current,222
2024-10-04 06:30:40,Current,211
2024-10-04 06:30:41,Current,222
2024-10-04 06:30:42,Current,214
2024-10-04 06:30:43,Current,216
2024-10-04 06:30:45,Current,217
2024-10-04 06:30:46,Current,222
2024-10-04 06:30:47,Current,226
2024-10-04 06:30:48,Current,222
2024-10-04 06:30:49,Current,212
2024-10-04 06:30:50,Current,223
2024-10-04 06:30:51,Current,222
2024-10-04 06:30:52,Current,221
2024-10-04 06:30:53,Current,216
2024-10-04 06:30:54,Current,240
2024-10-04 06:30:55,Current,217
2024-10-04 06:30:56,Current,224
2024-10-04 06:30:57,Current,219
2024-10-04 06:30:59,Current,220
2024-10-04 06:31:00,Current,222
2024-10-04 06:31:01,Current,205
2024-10-04 06:31:02,Current,218
2024-10-04 06:31:03,Current,226
2024-10-04 06:31:04,Current,213
2024-10-04 06:31:05,Current,212
2024-10-04 06:31:06,Current,213
2024-10-04 06:31:07,Current,218
2024-10-04 06:31:08,Current,218
2024-10-04 06:31:09,Current,223
2024-10-04 06:31:10,Current,219
2024-10-04 06:31:11,Current,208
2024-10-04 06:31:13,Current,224
2024-10-04 06:31:14,Current,199
2024-10-04 06:31:15,Current,219
2024-10-04 06:31:16,Current,215
2024-10-04 06:31:17,Current,218
2024-10-04 06:31:18,Current,243
2024-10-04 06:31:19,Current,212
2024-10-04 06:31:20,Current,221
2024-10-04 06:31:21,Current,219
2024-10-04 06:31:22,Current,225
2024-10-04 06:31:23,Current,216
2024-10-04 06:31:24,Current,220
2024-10-04 06:31:25,Current,220
2024-10-04 06:31:27,Current,221
2024-10-04 06:31:28,Current,219
2024-10-04 06:31:29,Current,216
2024-10-04 06:31:30,Current,209
2024-10-04 06:31:31,Current,223
2024-10-04 06:31:32,Current,221
2024-10-04 06:31:33,Current,219
2024-10-04 06:31:34,Current,219
2024-10-04 06:31:35,Current,219
2024-10-04 06:31:36,Current,211
2024-10-04 06:31:37,Current,207
2024-10-04 06:31:38,Current,222
2024-10-04 06:31:39,Current,218
2024-10-04 06:31:41,Current,222
2024-10-04 06:31:42,Current,220
