Timestamp,Sensor,Value
2024-10-04 06:20:59,Current,215
2024-10-04 06:21:00,Current,222
2024-10-04 06:21:01,Current,216
2024-10-04 06:21:02,Current,224
2024-10-04 06:21:03,Current,213
2024-10-04 06:21:04,Current,222
2024-10-04 06:21:05,Current,226
2024-10-04 06:21:06,Current,202
2024-10-04 06:21:07,Current,227
2024-10-04 06:21:09,Current,209
2024-10-04 06:21:10,Current,236
2024-10-04 06:21:11,Current,225
2024-10-04 06:21:12,Current,221
2024-10-04 06:21:13,Current,220
2024-10-04 06:21:14,Current,212
2024-10-04 06:21:15,Current,220
2024-10-04 06:21:16,Current,217
2024-10-04 06:21:17,Current,222
2024-10-04 06:21:18,Current,222
2024-10-04 06:21:19,Current,210
2024-10-04 06:21:20,Current,223
2024-10-04 06:21:21,Current,217
2024-10-04 06:21:23,Current,206
2024-10-04 06:21:24,Current,225
2024-10-04 06:21:25,Current,215
2024-10-04 06:21:26,Current,219
2024-10-04 06:21:27,Current,219
2024-10-04 06:21:28,Current,214
2024-10-04 06:21:29,Current,222
2024-10-04 06:21:30,Current,217
2024-10-04 06:21:31,Current,220
2024-10-04 06:21:32,Current,218
2024-10-04 06:21:33,Current,208
2024-10-04 06:21:34,Current,224
2024-10-04 06:21:35,Current,226
2024-10-04 06:21:37,Current,221
2024-10-04 06:21:38,Current,235
2024-10-04 06:21:39,Current,216
2024-10-04 06:21:40,Current,216
2024-10-04 06:21:41,Current,234
2024-10-04 06:21:42,Current,219
2024-10-04 06:21:43,Current,219
2024-10-04 06:21:44,Current,229
2024-10-04 06:21:45,Current,222
2024-10-04 06:21:46,Current,217
2024-10-04 06:21:47,Current,217
2024-10-04 06:21:48,Current,221
2024-10-04 06:21:49,Current,236
2024-10-04 06:21:51,Current,227
2024-10-04 06:21:52,Current,204
2024-10-04 06:21:53,Current,230
2024-10-04 06:21:54,Current,220
2024-10-04 06:21:55,Current,220

