Timestamp,Sensor,Value
2024-10-04 06:12:30,Current,217
2024-10-04 06:12:31,Current,197
2024-10-04 06:12:32,Current,224
2024-10-04 06:12:33,Current,214
2024-10-04 06:12:34,Current,225
2024-10-04 06:12:35,Current,218
2024-10-04 06:12:36,Current,237
2024-10-04 06:12:37,Current,215
2024-10-04 06:12:38,Current,218
2024-10-04 06:12:39,Current,217
2024-10-04 06:12:40,Current,214
2024-10-04 06:12:42,Current,222
2024-10-04 06:12:43,Current,215
2024-10-04 06:12:44,Current,218
2024-10-04 06:12:45,Current,203
2024-10-04 06:12:46,Current,222
2024-10-04 06:12:47,Current,213
2024-10-04 06:12:48,Current,219
2024-10-04 06:12:49,Current,221
2024-10-04 06:12:50,Current,169
2024-10-04 06:12:51,Current,205
2024-10-04 06:12:52,Current,213
2024-10-04 06:12:53,Current,220
2024-10-04 06:12:54,Current,219
2024-10-04 06:12:56,Current,184
2024-10-04 06:12:57,Current,235
2024-10-04 06:12:58,Current,208
2024-10-04 06:12:59,Current,234
2024-10-04 06:13:00,Current,223
2024-10-04 06:13:01,Current,198
2024-10-04 06:13:02,Current,232
2024-10-04 06:13:03,Current,207
2024-10-04 06:13:04,Current,217
2024-10-04 06:13:05,Current,219
2024-10-04 06:13:06,Current,221
2024-10-04 06:13:07,Current,216
2024-10-04 06:13:08,Current,217
2024-10-04 06:13:10,Current,220
2024-10-04 06:13:11,Current,161
2024-10-04 06:13:12,Current,225
2024-10-04 06:13:13,Current,209
2024-10-04 06:13:14,Current,246
2024-10-04 06:13:15,Current,225
2024-10-04 06:13:16,Current,218
2024-10-04 06:13:17,Current,228
2024-10-04 06:13:18,Current,214
2024-10-04 06:13:19,Current,216
2024-10-04 06:13:20,Current,222
2024-10-04 06:13:21,Current,222
2024-10-04 06:13:22,Current,221
2024-10-04 06:13:24,Current,220
2024-10-04 06:13:25,Current,220
2024-10-04 06:13:26,Current,168
