Timestamp,Sensor,Value
2024-10-04 06:38:36,Current,220
2024-10-04 06:38:37,Current,233
2024-10-04 06:38:38,Current,220
2024-10-04 06:38:39,Current,218
2024-10-04 06:38:41,Current,226
2024-10-04 06:38:42,Current,220
2024-10-04 06:38:43,Current,228
2024-10-04 06:38:44,Current,233
2024-10-04 06:38:45,Current,226
2024-10-04 06:38:46,Current,219
2024-10-04 06:38:47,Current,218
2024-10-04 06:38:48,Current,216
2024-10-04 06:38:49,Current,215
2024-10-04 06:38:50,Current,217
2024-10-04 06:38:51,Current,211
2024-10-04 06:38:52,Current,201
2024-10-04 06:38:53,Current,219
2024-10-04 06:38:55,Current,223
2024-10-04 06:38:56,Current,223
2024-10-04 06:38:57,Current,217
2024-10-04 06:38:58,Current,222
2024-10-04 06:38:59,Current,223
2024-10-04 06:39:00,Current,209
2024-10-04 06:39:01,Current,228
2024-10-04 06:39:02,Current,233
2024-10-04 06:39:03,Current,221
2024-10-04 06:39:04,Current,223
2024-10-04 06:39:05,Current,218
2024-10-04 06:39:06,Current,214
2024-10-04 06:39:08,Current,224
2024-10-04 06:39:09,Current,219
2024-10-04 06:39:10,Current,224
2024-10-04 06:39:11,Current,220
2024-10-04 06:39:12,Current,225
2024-10-04 06:39:13,Current,220
2024-10-04 06:39:14,Current,217
2024-10-04 06:39:15,Current,217
2024-10-04 06:39:16,Current,218
2024-10-04 06:39:17,Current,216
2024-10-04 06:39:18,Current,216
2024-10-04 06:39:19,Current,222
2024-10-04 06:39:20,Current,217
2024-10-04 06:39:22,Current,220
2024-10-04 06:39:23,Current,220
2024-10-04 06:39:24,Current,219
2024-10-04 06:39:25,Current,219
2024-10-04 06:39:26,Current,197
2024-10-04 06:39:27,Current,222
2024-10-04 06:39:28,Current,216
2024-10-04 06:39:29,Current,221
2024-10-04 06:39:30,Current,222
2024-10-04 06:39:31,Current,220
2024-10-04 06:39:32,Current,221
2024-10-04 06:39:33,Current,222
2024-10-04 06:39:34,Current,221
2024-10-04 06:39:36,Current,219
2024-10-04 06:39:37,Current,217
2024-10-04 06:39:38,Current,219
2024-10-04 06:39:39,Current,216
2024-10-04 06:39:40,Current,225
2024-10-04 06:39:41,Current,211
2024-10-04 06:39:42,Current,221
2024-10-04 06:39:43,Current,222
2024-10-04 06:39:44,Current,217
2024-10-04 06:39:45,Current,222
2024-10-04 06:39:46,Current,233
2024-10-04 06:39:47,Current,222
2024-10-04 06:39:48,Current,215
2024-10-04 06:39:50,Current,218
2024-10-04 06:39:51,Current,218
2024-10-04 06:39:52,Current,220
2024-10-04 06:39:53,Current,223
2024-10-04 06:39:54,Current,213
