Filesystem,Mag of 10,File Size (MB),Area (J) (Read),NoWrite,Area CPU (J), Active Storage Power,Bandwidth,Filesize/Bandwidth * Active Power,
Disk,10,10000,1370.503593,377.301135,10301.39333,2.4,353,314.4475921,18.91294958
Disk,10,10000,1465.090464,424.1893925,11025.43333,2.4,353,314.4475921,20.2182484
Disk,10,10000,1443.152051,362.5606047,11014.51667,2.4,353,314.4475921,19.9154983
Memory,10,10000,1520.853512,267.3928551,9207.685033,2.3796,1900,58.31368421,30.72124094
Memory,10,10000,1317.591276,111.023808,9271.111971,2.3796,1900,58.31368421,26.61534378
Memory,10,10000,1293.79152,121.1269825,9137.768366,2.3796,1900,58.31368421,26.1345887
DAOS,10,10000,299.1468332,310.6388886,11283.59245,2.3796,1200,92.33,42.40428113
DAOS,10,10000,322.6965896,309.7499997,10655.39844,2.3796,1200,92.33,39.62790164
DAOS,10,10000,322.6965896,387.4924238,9944.944882,2.3796,1200,92.33,42.84979296
Disk,9,1000,165.1808161,63.67708333,1812.877,2.4,353,31.44475921,22.79495262
Disk,9,1000,157.2807349,68.95833333,1842.960333,2.4,353,31.44475921,21.70474142
Disk,9,1000,132.4928475,87.20833333,1850.710333,2.4,353,31.44475921,18.28401296
Memory,9,1000,179.5315469,53,1352.846667,2.3796,1900,5.831368421,36.26537247
Memory,9,1000,94.31512387,115.5,1316.763333,2.3796,1900,5.831368421,19.05165502
Memory,9,1000,145.1986196,89.16666667,1264.513333,2.3796,1900,5.831368421,29.33012116
DAOS,9,1000,105.1916024,75.58333333,2212.302667,2.3796,1200,9.233,53.49010629
DAOS,9,1000,139.7127691,68.58333333,2369.358,2.3796,1200,9.233,34.88773872
DAOS,9,1000,118.5854785,103.75,2435.858,2.3796,1200,9.233,37.53504106
Disk,8,100,7.7748782,7.25,167.0725,2.4,353,3.144475921,10.72933192
Disk,8,100,22.249594,20.66666667,341.145,2.4,353,3.144475921,30.70443972
Disk,8,100,8.2748782,7.75,167.5725,2.4,353,3.144475921,11.41933192
Memory,8,100,7.5497564,0.9,163.708,2.3796,1900,0.583136842,15.25050793
Memory,8,100,3.7748782,2.9,158.208,2.3796,1900,0.583136842,7.625253964
Memory,8,100,2.0497564,6.4,159.708,2.3796,1900,0.583136842,4.140507928
DAOS,8,100,10.5497564,3.444444467,162.7675,2.3796,1200,0.9233,87.6434447
DAOS,8,100,14.5497564,18.77777783,331.8683333,2.3796,1200,0.9233,145.382471
DAOS,8,100,21.0995128,6.1666667,316.2016667,2.3796,1200,0.9233,76.47178307
