Filesystem,Mag of 10,File Size (MB),Area (CPU) (J),NoWrite,Area (CPU) (J),Active Storage Power,Bandwidth,Filesize/Bandwidth * Active Storage Power,CPU TDP
Disk,10,10000,3043.90977,235.0984828,7130.351908,2.2,325,107.6923077,250
Disk,10,10000,2855.956322,247.0719676,7199.618257,2.2,325,107.6923077,250
Disk,10,10000,3134.335441,243.9053009,7106.57413,2.2,325,107.6923077,250
Memory,10,10000,752.7152381,162.1097541,6546.023449,1.7724,1600,19.2025,250
Memory,10,10000,760.2707936,148.9186975,6721.023449,1.7724,1600,19.2025,250
Memory,10,10000,763.2707936,303.262193,6453.680002,1.7724,1600,19.2025,250
Client,10,10000,346.6006293,381.470933,11065.21059,1.7724,1000,30.724,250
Client,10,10000,331.983154,463.7945763,10241.99792,1.7724,1000,30.724,250
Client,10,10000,338.1006293,368.8507758,10476.99063,1.7724,1000,30.724,250
Disk,9,1000,672.21,94.59090933,1231.992424,2.2,325,10.76923077,250
Disk,9,1000,670.21,95.37878817,1101.534848,2.2,325,10.76923077,250
Disk,9,1000,830.2186667,102.44697,1103.868182,2.2,325,10.76923077,250
Memory,9,1000,520.3355556,73.52777793,1051.903611,1.7724,1600,1.92025,250
Memory,9,1000,386.5016667,59.25000011,1060.181389,1.7724,1600,1.92025,250
Memory,9,1000,384.2516667,55.14814824,1072.070278,1.7724,1600,1.92025,250
Client,9,1000,26.50404317,94,2008.654103,1.7724,1000,3.0724,250
Client,9,1000,26.50404317,93.25,1838.60359,1.7724,1000,3.0724,250
Client,9,1000,21.6898024,63.83333333,1475.902821,1.7724,1000,3.0724,250
Disk,8,100,270.8333333,6.1666667,159.6325,2.2,325,1.076923077,250
Disk,8,100,139.25,17.00000007,323.9316667,2.2,325,1.076923077,250
Disk,8,100,271.5,6.1666667,159.6325,2.2,325,1.076923077,250
Memory,8,100,293.1266667,6.75,501.048,1.7724,1600,0.192025,250
Memory,8,100,292.46,0.333333333,326.8653333,1.7724,1600,0.192025,250
Memory,8,100,298.46,5.333333333,332.8653333,1.7724,1600,0.192025,250
Client,8,100,7.136567867,11.25,500.46,1.7724,1000,0.30724,250
Client,8,100,2.55121295,1,316.4733333,1.7724,1000,0.30724,250
Client,8,100,0.401617267,15.75,504.21,1.7724,1000,0.30724,250
