Timestamp,Sensor,Value
2024-07-27 22:47:31,Current,230
2024-07-27 22:47:32,Current,233
2024-07-27 22:47:33,Current,232
2024-07-27 22:47:34,Current,231
2024-07-27 22:47:35,Current,232
2024-07-27 22:47:36,Current,233
2024-07-27 22:47:37,Current,254
2024-07-27 22:47:38,Current,256
2024-07-27 22:47:39,Current,257
2024-07-27 22:47:40,Current,257
2024-07-27 22:47:41,Current,265
2024-07-27 22:47:42,Current,288
2024-07-27 22:47:44,Current,265
2024-07-27 22:47:45,Current,255
2024-07-27 22:47:46,Current,257
2024-07-27 22:47:47,Current,257
2024-07-27 22:47:48,Current,258
2024-07-27 22:47:49,Current,255
2024-07-27 22:47:50,Current,254
2024-07-27 22:47:51,Current,254
2024-07-27 22:47:52,Current,255
2024-07-27 22:47:53,Current,255
2024-07-27 22:47:54,Current,277
2024-07-27 22:47:55,Current,279
2024-07-27 22:47:56,Current,278
2024-07-27 22:47:57,Current,279
2024-07-27 22:47:58,Current,280
2024-07-27 22:47:59,Current,278
2024-07-27 22:48:01,Current,279
2024-07-27 22:48:02,Current,278
2024-07-27 22:48:03,Current,279
2024-07-27 22:48:04,Current,278
2024-07-27 22:48:05,Current,278
2024-07-27 22:48:06,Current,279
2024-07-27 22:48:07,Current,278
2024-07-27 22:48:08,Current,278
2024-07-27 22:48:09,Current,278
2024-07-27 22:48:10,Current,278
2024-07-27 22:48:11,Current,280
2024-07-27 22:48:12,Current,279
2024-07-27 22:48:13,Current,280
2024-07-27 22:48:14,Current,278
2024-07-27 22:48:15,Current,279
2024-07-27 22:48:16,Current,281
2024-07-27 22:48:17,Current,280
2024-07-27 22:48:19,Current,279
2024-07-27 22:48:20,Current,281
2024-07-27 22:48:21,Current,279
2024-07-27 22:48:22,Current,281
2024-07-27 22:48:23,Current,283
2024-07-27 22:48:24,Current,281
2024-07-27 22:48:25,Current,256
2024-07-27 22:48:26,Current,255
2024-07-27 22:48:27,Current,257
2024-07-27 22:48:28,Current,257
2024-07-27 22:48:29,Current,256
2024-07-27 22:48:30,Current,256
2024-07-27 22:48:31,Current,256
2024-07-27 22:48:32,Current,256
2024-07-27 22:48:33,Current,255
2024-07-27 22:48:35,Current,269
2024-07-27 22:48:36,Current,279
2024-07-27 22:48:37,Current,279
2024-07-27 22:48:38,Current,282
2024-07-27 22:48:39,Current,281
2024-07-27 22:48:40,Current,282
2024-07-27 22:48:41,Current,280
2024-07-27 22:48:42,Current,281
2024-07-27 22:48:43,Current,281
2024-07-27 22:48:44,Current,281
2024-07-27 22:48:45,Current,280
2024-07-27 22:48:46,Current,282
2024-07-27 22:48:47,Current,281
2024-07-27 22:48:48,Current,280
2024-07-27 22:48:49,Current,280
2024-07-27 22:48:50,Current,282
2024-07-27 22:48:52,Current,280
2024-07-27 22:48:53,Current,282
2024-07-27 22:48:54,Current,281
2024-07-27 22:48:55,Current,281
2024-07-27 22:48:56,Current,282
2024-07-27 22:48:57,Current,283
2024-07-27 22:48:58,Current,282
2024-07-27 22:48:59,Current,282
2024-07-27 22:49:00,Current,284
2024-07-27 22:49:01,Current,281
2024-07-27 22:49:02,Current,283
2024-07-27 22:49:03,Current,283
2024-07-27 22:49:04,Current,265
2024-07-27 22:49:05,Current,259
2024-07-27 22:49:06,Current,258
2024-07-27 22:49:08,Current,257
2024-07-27 22:49:09,Current,258
2024-07-27 22:49:10,Current,258
2024-07-27 22:49:11,Current,256
2024-07-27 22:49:12,Current,256
2024-07-27 22:49:13,Current,258
2024-07-27 22:49:14,Current,260
2024-07-27 22:49:15,Current,281
2024-07-27 22:49:16,Current,282
2024-07-27 22:49:17,Current,280
2024-07-27 22:49:18,Current,281
2024-07-27 22:49:19,Current,281
2024-07-27 22:49:20,Current,284
2024-07-27 22:49:21,Current,280
2024-07-27 22:49:22,Current,281
2024-07-27 22:49:23,Current,282
2024-07-27 22:49:24,Current,282
2024-07-27 22:49:26,Current,281
2024-07-27 22:49:27,Current,281
2024-07-27 22:49:28,Current,282
2024-07-27 22:49:29,Current,281
2024-07-27 22:49:30,Current,281
2024-07-27 22:49:31,Current,283
2024-07-27 22:49:32,Current,280
2024-07-27 22:49:33,Current,282
2024-07-27 22:49:34,Current,282
2024-07-27 22:49:35,Current,281
2024-07-27 22:49:36,Current,282
2024-07-27 22:49:37,Current,283
2024-07-27 22:49:38,Current,281
2024-07-27 22:49:39,Current,280
2024-07-27 22:49:40,Current,282
2024-07-27 22:49:41,Current,283
2024-07-27 22:49:42,Current,284
2024-07-27 22:49:44,Current,257
2024-07-27 22:49:45,Current,259
2024-07-27 22:49:46,Current,258
2024-07-27 22:49:47,Current,257
2024-07-27 22:49:48,Current,258
2024-07-27 22:49:49,Current,259
