Timestamp,Sensor,Value
2024-07-22 04:46:08,Current,255
2024-07-22 04:46:09,Current,257
2024-07-22 04:46:10,Current,256
2024-07-22 04:46:11,Current,258
2024-07-22 04:46:12,Current,257
2024-07-22 04:46:13,Current,256
2024-07-22 04:46:14,Current,256
2024-07-22 04:46:15,Current,256
2024-07-22 04:46:16,Current,259
2024-07-22 04:46:18,Current,257
2024-07-22 04:46:19,Current,257
2024-07-22 04:46:20,Current,258
2024-07-22 04:46:21,Current,258
2024-07-22 04:46:22,Current,257
2024-07-22 04:46:23,Current,256
2024-07-22 04:46:24,Current,279
2024-07-22 04:46:26,Current,284
2024-07-22 04:46:27,Current,282
2024-07-22 04:46:28,Current,282
2024-07-22 04:46:29,Current,297
2024-07-22 04:46:30,Current,283
2024-07-22 04:46:32,Current,285
2024-07-22 04:46:33,Current,284
2024-07-22 04:46:34,Current,281
2024-07-22 04:46:35,Current,285
2024-07-22 04:46:37,Current,288
2024-07-22 04:46:38,Current,285
2024-07-22 04:46:39,Current,283
2024-07-22 04:46:41,Current,281
2024-07-22 04:46:42,Current,277
2024-07-22 04:46:43,Current,284
2024-07-22 04:46:45,Current,279
2024-07-22 04:46:46,Current,287
2024-07-22 04:46:47,Current,280
2024-07-22 04:46:49,Current,287
2024-07-22 04:46:50,Current,284
2024-07-22 04:46:51,Current,282
2024-07-22 04:46:53,Current,287
2024-07-22 04:46:54,Current,287
2024-07-22 04:46:55,Current,285
2024-07-22 04:46:57,Current,284
2024-07-22 04:46:58,Current,285
2024-07-22 04:46:59,Current,281
2024-07-22 04:47:01,Current,290
2024-07-22 04:47:02,Current,278
2024-07-22 04:47:03,Current,285
2024-07-22 04:47:05,Current,287
2024-07-22 04:47:06,Current,286
2024-07-22 04:47:07,Current,287
2024-07-22 04:47:09,Current,283
2024-07-22 04:47:10,Current,288
2024-07-22 04:47:11,Current,285
2024-07-22 04:47:13,Current,289
2024-07-22 04:47:14,Current,283
2024-07-22 04:47:15,Current,285
2024-07-22 04:47:17,Current,286
2024-07-22 04:47:18,Current,284
2024-07-22 04:47:19,Current,318
2024-07-22 04:47:21,Current,318
2024-07-22 04:47:22,Current,317
2024-07-22 04:47:23,Current,295
2024-07-22 04:47:24,Current,259
2024-07-22 04:47:25,Current,259
2024-07-22 04:47:26,Current,261
2024-07-22 04:47:27,Current,258
2024-07-22 04:47:28,Current,258
2024-07-22 04:47:29,Current,259
2024-07-22 04:47:30,Current,256
2024-07-22 04:47:31,Current,258
2024-07-22 04:47:33,Current,258
2024-07-22 04:47:34,Current,279
2024-07-22 04:47:35,Current,284
2024-07-22 04:47:36,Current,276
2024-07-22 04:47:38,Current,280
2024-07-22 04:47:39,Current,294
2024-07-22 04:47:40,Current,276
2024-07-22 04:47:41,Current,284
2024-07-22 04:47:43,Current,283
2024-07-22 04:47:44,Current,282
2024-07-22 04:47:45,Current,283
2024-07-22 04:47:47,Current,283
2024-07-22 04:47:48,Current,278
2024-07-22 04:47:49,Current,287
2024-07-22 04:47:50,Current,282
2024-07-22 04:47:52,Current,280
2024-07-22 04:47:53,Current,281
2024-07-22 04:47:54,Current,287
2024-07-22 04:47:56,Current,283
2024-07-22 04:47:57,Current,281
2024-07-22 04:47:58,Current,282
2024-07-22 04:47:59,Current,281
2024-07-22 04:48:01,Current,288
2024-07-22 04:48:02,Current,284
2024-07-22 04:48:03,Current,283
2024-07-22 04:48:05,Current,286
2024-07-22 04:48:06,Current,283
2024-07-22 04:48:07,Current,284
2024-07-22 04:48:09,Current,283
2024-07-22 04:48:10,Current,285
2024-07-22 04:48:11,Current,285
2024-07-22 04:48:13,Current,286
2024-07-22 04:48:14,Current,286
2024-07-22 04:48:15,Current,289
2024-07-22 04:48:17,Current,281
2024-07-22 04:48:18,Current,286
2024-07-22 04:48:19,Current,285
2024-07-22 04:48:21,Current,281
2024-07-22 04:48:22,Current,287
2024-07-22 04:48:23,Current,285
2024-07-22 04:48:25,Current,284
2024-07-22 04:48:26,Current,289
2024-07-22 04:48:27,Current,286
2024-07-22 04:48:29,Current,279
2024-07-22 04:48:30,Current,309
2024-07-22 04:48:31,Current,318
2024-07-22 04:48:32,Current,316
2024-07-22 04:48:34,Current,313
2024-07-22 04:48:35,Current,263
2024-07-22 04:48:36,Current,259
2024-07-22 04:48:37,Current,258
2024-07-22 04:48:38,Current,260
2024-07-22 04:48:39,Current,260
2024-07-22 04:48:40,Current,259
2024-07-22 04:48:41,Current,258
2024-07-22 04:48:42,Current,259
2024-07-22 04:48:43,Current,259
2024-07-22 04:48:44,Current,264
2024-07-22 04:48:46,Current,288
2024-07-22 04:48:47,Current,284
2024-07-22 04:48:48,Current,284
2024-07-22 04:48:50,Current,283
2024-07-22 04:48:51,Current,294
2024-07-22 04:48:52,Current,287
2024-07-22 04:48:53,Current,286
2024-07-22 04:48:54,Current,289
2024-07-22 04:48:56,Current,289
2024-07-22 04:48:57,Current,289
2024-07-22 04:48:58,Current,285
2024-07-22 04:49:00,Current,286
2024-07-22 04:49:01,Current,286
2024-07-22 04:49:02,Current,285
2024-07-22 04:49:03,Current,284
2024-07-22 04:49:05,Current,276
2024-07-22 04:49:06,Current,279
2024-07-22 04:49:07,Current,290
2024-07-22 04:49:09,Current,287
2024-07-22 04:49:10,Current,287
2024-07-22 04:49:11,Current,281
2024-07-22 04:49:13,Current,287
2024-07-22 04:49:14,Current,282
2024-07-22 04:49:15,Current,286
2024-07-22 04:49:17,Current,286
2024-07-22 04:49:18,Current,283
2024-07-22 04:49:19,Current,287
2024-07-22 04:49:20,Current,287
2024-07-22 04:49:22,Current,286
2024-07-22 04:49:23,Current,283
2024-07-22 04:49:24,Current,284
2024-07-22 04:49:26,Current,288
2024-07-22 04:49:27,Current,283
2024-07-22 04:49:28,Current,287
2024-07-22 04:49:29,Current,284
2024-07-22 04:49:31,Current,287
2024-07-22 04:49:32,Current,283
2024-07-22 04:49:33,Current,286
2024-07-22 04:49:35,Current,283
2024-07-22 04:49:36,Current,286
2024-07-22 04:49:37,Current,287
2024-07-22 04:49:38,Current,283
2024-07-22 04:49:40,Current,311
2024-07-22 04:49:41,Current,317
2024-07-22 04:49:42,Current,315
2024-07-22 04:49:43,Current,314
2024-07-22 04:49:44,Current,262
2024-07-22 04:49:45,Current,258
2024-07-22 04:49:46,Current,261
2024-07-22 04:49:48,Current,259
2024-07-22 04:49:49,Current,259
2024-07-22 04:49:50,Current,260
2024-07-22 04:49:51,Current,259
2024-07-22 04:49:52,Current,259
2024-07-22 04:49:53,Current,259
