Timestamp,Sensor,Value
2024-07-21 04:54:34,Current,257
2024-07-21 04:54:35,Current,257
2024-07-21 04:54:36,Current,257
2024-07-21 04:54:37,Current,259
2024-07-21 04:54:38,Current,259
2024-07-21 04:54:39,Current,257
2024-07-21 04:54:40,Current,258
2024-07-21 04:54:41,Current,259
2024-07-21 04:54:42,Current,256
2024-07-21 04:54:43,Current,257
2024-07-21 04:54:45,Current,257
2024-07-21 04:54:46,Current,257
2024-07-21 04:54:47,Current,256
2024-07-21 04:54:48,Current,288
2024-07-21 04:54:49,Current,286
2024-07-21 04:54:50,Current,287
2024-07-21 04:54:52,Current,285
2024-07-21 04:54:53,Current,296
2024-07-21 04:54:54,Current,287
2024-07-21 04:54:55,Current,286
2024-07-21 04:54:57,Current,283
2024-07-21 04:54:58,Current,287
2024-07-21 04:54:59,Current,283
2024-07-21 04:55:01,Current,283
2024-07-21 04:55:02,Current,286
2024-07-21 04:55:03,Current,288
2024-07-21 04:55:05,Current,281
2024-07-21 04:55:06,Current,284
2024-07-21 04:55:07,Current,287
2024-07-21 04:55:08,Current,287
2024-07-21 04:55:10,Current,282
2024-07-21 04:55:11,Current,285
2024-07-21 04:55:12,Current,288
2024-07-21 04:55:14,Current,286
2024-07-21 04:55:15,Current,288
2024-07-21 04:55:16,Current,286
2024-07-21 04:55:18,Current,283
2024-07-21 04:55:19,Current,284
2024-07-21 04:55:20,Current,282
2024-07-21 04:55:21,Current,287
2024-07-21 04:55:23,Current,285
2024-07-21 04:55:24,Current,286
2024-07-21 04:55:25,Current,285
2024-07-21 04:55:26,Current,285
2024-07-21 04:55:28,Current,284
2024-07-21 04:55:29,Current,285
2024-07-21 04:55:30,Current,284
2024-07-21 04:55:32,Current,284
2024-07-21 04:55:33,Current,284
2024-07-21 04:55:34,Current,284
2024-07-21 04:55:36,Current,289
2024-07-21 04:55:37,Current,286
2024-07-21 04:55:38,Current,284
2024-07-21 04:55:40,Current,283
2024-07-21 04:55:41,Current,286
2024-07-21 04:55:42,Current,294
2024-07-21 04:55:43,Current,315
2024-07-21 04:55:45,Current,315
2024-07-21 04:55:46,Current,315
2024-07-21 04:55:47,Current,286
2024-07-21 04:55:48,Current,262
2024-07-21 04:55:49,Current,261
2024-07-21 04:55:50,Current,261
2024-07-21 04:55:51,Current,262
2024-07-21 04:55:52,Current,262
2024-07-21 04:55:53,Current,261
2024-07-21 04:55:54,Current,259
2024-07-21 04:55:56,Current,261
2024-07-21 04:55:57,Current,260
2024-07-21 04:55:58,Current,287
2024-07-21 04:55:59,Current,287
2024-07-21 04:56:01,Current,284
2024-07-21 04:56:02,Current,285
2024-07-21 04:56:03,Current,299
2024-07-21 04:56:04,Current,283
2024-07-21 04:56:06,Current,285
2024-07-21 04:56:07,Current,282
2024-07-21 04:56:08,Current,284
2024-07-21 04:56:10,Current,287
2024-07-21 04:56:11,Current,284
2024-07-21 04:56:12,Current,288
2024-07-21 04:56:14,Current,288
2024-07-21 04:56:15,Current,288
2024-07-21 04:56:16,Current,286
2024-07-21 04:56:17,Current,282
2024-07-21 04:56:19,Current,285
2024-07-21 04:56:20,Current,285
2024-07-21 04:56:21,Current,282
2024-07-21 04:56:23,Current,288
2024-07-21 04:56:24,Current,288
2024-07-21 04:56:25,Current,284
2024-07-21 04:56:27,Current,291
2024-07-21 04:56:28,Current,287
2024-07-21 04:56:29,Current,284
2024-07-21 04:56:30,Current,287
2024-07-21 04:56:32,Current,284
2024-07-21 04:56:33,Current,287
2024-07-21 04:56:34,Current,280
2024-07-21 04:56:36,Current,283
2024-07-21 04:56:37,Current,285
2024-07-21 04:56:38,Current,285
2024-07-21 04:56:40,Current,284
2024-07-21 04:56:41,Current,286
2024-07-21 04:56:42,Current,286
2024-07-21 04:56:44,Current,287
2024-07-21 04:56:45,Current,289
2024-07-21 04:56:46,Current,284
2024-07-21 04:56:48,Current,285
2024-07-21 04:56:49,Current,287
2024-07-21 04:56:50,Current,290
2024-07-21 04:56:52,Current,285
2024-07-21 04:56:53,Current,289
2024-07-21 04:56:54,Current,314
2024-07-21 04:56:55,Current,310
2024-07-21 04:56:57,Current,312
2024-07-21 04:56:58,Current,265
2024-07-21 04:56:59,Current,262
2024-07-21 04:57:00,Current,260
2024-07-21 04:57:01,Current,260
2024-07-21 04:57:02,Current,261
2024-07-21 04:57:03,Current,262
2024-07-21 04:57:04,Current,261
2024-07-21 04:57:05,Current,261
2024-07-21 04:57:06,Current,261
2024-07-21 04:57:07,Current,261
2024-07-21 04:57:08,Current,286
2024-07-21 04:57:10,Current,285
2024-07-21 04:57:11,Current,286
2024-07-21 04:57:12,Current,282
2024-07-21 04:57:13,Current,298
2024-07-21 04:57:15,Current,287
2024-07-21 04:57:16,Current,286
2024-07-21 04:57:17,Current,282
2024-07-21 04:57:19,Current,287
2024-07-21 04:57:20,Current,285
2024-07-21 04:57:21,Current,285
2024-07-21 04:57:22,Current,286
2024-07-21 04:57:24,Current,287
2024-07-21 04:57:25,Current,285
2024-07-21 04:57:26,Current,287
2024-07-21 04:57:28,Current,284
2024-07-21 04:57:29,Current,287
2024-07-21 04:57:30,Current,286
2024-07-21 04:57:32,Current,287
2024-07-21 04:57:33,Current,287
2024-07-21 04:57:34,Current,287
2024-07-21 04:57:36,Current,286
2024-07-21 04:57:37,Current,284
2024-07-21 04:57:38,Current,286
2024-07-21 04:57:40,Current,286
2024-07-21 04:57:41,Current,281
2024-07-21 04:57:42,Current,285
2024-07-21 04:57:44,Current,287
2024-07-21 04:57:45,Current,287
2024-07-21 04:57:46,Current,285
2024-07-21 04:57:48,Current,287
2024-07-21 04:57:49,Current,287
2024-07-21 04:57:50,Current,281
2024-07-21 04:57:52,Current,286
2024-07-21 04:57:53,Current,286
2024-07-21 04:57:54,Current,286
2024-07-21 04:57:56,Current,285
2024-07-21 04:57:57,Current,285
2024-07-21 04:57:58,Current,286
2024-07-21 04:58:00,Current,283
2024-07-21 04:58:01,Current,286
2024-07-21 04:58:02,Current,286
2024-07-21 04:58:04,Current,300
2024-07-21 04:58:05,Current,312
2024-07-21 04:58:06,Current,315
2024-07-21 04:58:07,Current,316
2024-07-21 04:58:08,Current,281
2024-07-21 04:58:09,Current,262
2024-07-21 04:58:10,Current,260
2024-07-21 04:58:11,Current,260
2024-07-21 04:58:13,Current,259
2024-07-21 04:58:14,Current,259
2024-07-21 04:58:15,Current,259
2024-07-21 04:58:16,Current,257
2024-07-21 04:58:17,Current,258
