Timestamp,Sensor,Value
2024-07-27 22:10:21,Current,203
2024-07-27 22:10:22,Current,206
2024-07-27 22:10:23,Current,207
2024-07-27 22:10:24,Current,229
2024-07-27 22:10:25,Current,226
2024-07-27 22:10:26,Current,212
2024-07-27 22:10:27,Current,206
2024-07-27 22:10:28,Current,206
2024-07-27 22:10:29,Current,201
2024-07-27 22:10:31,Current,202
2024-07-27 22:10:32,Current,204
2024-07-27 22:10:33,Current,206
2024-07-27 22:10:34,Current,203
2024-07-27 22:10:35,Current,204
2024-07-27 22:10:36,Current,223
2024-07-27 22:10:37,Current,234
2024-07-27 22:10:38,Current,232
2024-07-27 22:10:40,Current,232
2024-07-27 22:10:41,Current,234
2024-07-27 22:10:42,Current,234
2024-07-27 22:10:43,Current,232
2024-07-27 22:10:44,Current,233
2024-07-27 22:10:45,Current,235
2024-07-27 22:10:46,Current,232
2024-07-27 22:10:47,Current,234
2024-07-27 22:10:48,Current,226
2024-07-27 22:10:50,Current,228
2024-07-27 22:10:51,Current,208
2024-07-27 22:10:52,Current,203
2024-07-27 22:10:53,Current,203
2024-07-27 22:10:54,Current,202
2024-07-27 22:10:55,Current,208
2024-07-27 22:10:56,Current,204
2024-07-27 22:10:57,Current,205
2024-07-27 22:10:58,Current,203
2024-07-27 22:10:59,Current,201
2024-07-27 22:11:00,Current,219
2024-07-27 22:11:01,Current,235
2024-07-27 22:11:03,Current,233
2024-07-27 22:11:04,Current,233
2024-07-27 22:11:05,Current,235
2024-07-27 22:11:06,Current,231
2024-07-27 22:11:07,Current,235
2024-07-27 22:11:08,Current,234
2024-07-27 22:11:09,Current,232
2024-07-27 22:11:11,Current,234
2024-07-27 22:11:12,Current,236
2024-07-27 22:11:13,Current,224
2024-07-27 22:11:14,Current,225
2024-07-27 22:11:15,Current,211
2024-07-27 22:11:16,Current,203
2024-07-27 22:11:17,Current,206
2024-07-27 22:11:18,Current,205
2024-07-27 22:11:19,Current,206
2024-07-27 22:11:21,Current,206
2024-07-27 22:11:22,Current,207
2024-07-27 22:11:23,Current,204
2024-07-27 22:11:24,Current,202
2024-07-27 22:11:25,Current,220
2024-07-27 22:11:26,Current,232
2024-07-27 22:11:27,Current,232
2024-07-27 22:11:28,Current,236
2024-07-27 22:11:29,Current,235
2024-07-27 22:11:31,Current,233
2024-07-27 22:11:32,Current,236
2024-07-27 22:11:33,Current,233
2024-07-27 22:11:34,Current,233
2024-07-27 22:11:35,Current,233
2024-07-27 22:11:36,Current,231
2024-07-27 22:11:37,Current,215
2024-07-27 22:11:39,Current,208
2024-07-27 22:11:40,Current,205
2024-07-27 22:11:41,Current,204
2024-07-27 22:11:42,Current,205
2024-07-27 22:11:43,Current,207
2024-07-27 22:11:44,Current,208
2024-07-27 22:11:45,Current,208
2024-07-27 22:11:46,Current,203
