,0,1,2,3
0,2024-07-04 22:00:31,Current,216,0.0
1,2024-07-04 22:00:32,Current,216,1.0
2,2024-07-04 22:00:33,Current,214,2.0
3,2024-07-04 22:00:34,Current,213,3.0
4,2024-07-04 22:00:35,Current,139,4.0
5,2024-07-04 22:00:37,Current,206,6.0
6,2024-07-04 22:00:38,Current,216,7.0
7,2024-07-04 22:00:39,Current,213,8.0
8,2024-07-04 22:00:40,Current,201,9.0
9,2024-07-04 22:00:41,Current,127,10.0
10,2024-07-04 22:00:42,Current,222,11.0
11,2024-07-04 22:00:43,Current,241,12.0
12,2024-07-04 22:00:44,Current,241,13.0
13,2024-07-04 22:00:45,Current,241,14.0
14,2024-07-04 22:00:46,Current,189,15.0
15,2024-07-04 22:00:47,Current,216,16.0
16,2024-07-04 22:00:48,Current,216,17.0
17,2024-07-04 22:00:49,Current,215,18.0
18,2024-07-04 22:00:50,Current,213,19.0
19,2024-07-04 22:00:51,Current,157,20.0
20,2024-07-04 22:00:52,Current,215,21.0
21,2024-07-04 22:00:53,Current,213,22.0
22,2024-07-04 22:00:54,Current,214,23.0
23,2024-07-04 22:00:55,Current,217,24.0
24,2024-07-04 22:00:56,Current,220,25.0
25,2024-07-04 22:00:57,Current,241,26.0
26,2024-07-04 22:00:58,Current,238,27.0
27,2024-07-04 22:00:59,Current,229,28.0
28,2024-07-04 22:01:00,Current,203,29.0
29,2024-07-04 22:01:02,Current,217,31.0
30,2024-07-04 22:01:03,Current,217,32.0
31,2024-07-04 22:01:04,Current,214,33.0
32,2024-07-04 22:01:05,Current,184,34.0
33,2024-07-04 22:01:06,Current,213,35.0
34,2024-07-04 22:01:07,Current,217,36.0
35,2024-07-04 22:01:08,Current,214,37.0
36,2024-07-04 22:01:09,Current,221,38.0
37,2024-07-04 22:01:10,Current,239,39.0
38,2024-07-04 22:01:11,Current,240,40.0
39,2024-07-04 22:01:12,Current,240,41.0
40,2024-07-04 22:01:13,Current,227,42.0
41,2024-07-04 22:01:14,Current,212,43.0
42,2024-07-04 22:01:15,Current,208,44.0
43,2024-07-04 22:01:16,Current,217,45.0
44,2024-07-04 22:01:17,Current,214,46.0
45,2024-07-04 22:01:18,Current,214,47.0
46,2024-07-04 22:01:19,Current,208,48.0
47,2024-07-04 22:01:20,Current,215,49.0
48,2024-07-04 22:01:21,Current,215,50.0
49,2024-07-04 22:01:23,Current,214,52.0
50,2024-07-04 22:01:24,Current,216,53.0
51,2024-07-04 22:01:25,Current,213,54.0
