,0,1,2,3
0,2024-07-04 17:14:27,Current,130,0.0
1,2024-07-04 17:14:28,Current,130,1.0
2,2024-07-04 17:14:29,Current,122,2.0
3,2024-07-04 17:14:30,Current,217,3.0
4,2024-07-04 17:14:31,Current,212,4.0
5,2024-07-04 17:14:32,Current,214,5.0
6,2024-07-04 17:14:33,Current,149,6.0
7,2024-07-04 17:14:34,Current,217,7.0
8,2024-07-04 17:14:35,Current,215,8.0
9,2024-07-04 17:14:37,Current,214,10.0
10,2024-07-04 17:14:38,Current,191,11.0
11,2024-07-04 17:14:39,Current,216,12.0
12,2024-07-04 17:14:40,Current,216,13.0
13,2024-07-04 17:14:41,Current,213,14.0
14,2024-07-04 17:14:42,Current,192,15.0
15,2024-07-04 17:14:43,Current,223,16.0
16,2024-07-04 17:14:44,Current,234,17.0
17,2024-07-04 17:14:46,Current,233,19.0
18,2024-07-04 17:14:47,Current,233,20.0
19,2024-07-04 17:14:48,Current,242,21.0
20,2024-07-04 17:14:50,Current,229,23.0
21,2024-07-04 17:14:51,Current,233,24.0
22,2024-07-04 17:14:52,Current,230,25.0
23,2024-07-04 17:14:54,Current,219,27.0
24,2024-07-04 17:14:55,Current,229,28.0
25,2024-07-04 17:14:56,Current,227,29.0
26,2024-07-04 17:14:58,Current,223,31.0
27,2024-07-04 17:14:59,Current,226,32.0
28,2024-07-04 17:15:00,Current,228,33.0
29,2024-07-04 17:15:02,Current,222,35.0
30,2024-07-04 17:15:03,Current,227,36.0
31,2024-07-04 17:15:04,Current,228,37.0
32,2024-07-04 17:15:05,Current,223,38.0
33,2024-07-04 17:15:07,Current,228,40.0
34,2024-07-04 17:15:08,Current,227,41.0
35,2024-07-04 17:15:09,Current,226,42.0
36,2024-07-04 17:15:11,Current,228,44.0
37,2024-07-04 17:15:12,Current,229,45.0
38,2024-07-04 17:15:13,Current,228,46.0
39,2024-07-04 17:15:15,Current,226,48.0
40,2024-07-04 17:15:16,Current,227,49.0
41,2024-07-04 17:15:17,Current,221,50.0
42,2024-07-04 17:15:18,Current,229,51.0
43,2024-07-04 17:15:20,Current,229,53.0
44,2024-07-04 17:15:21,Current,228,54.0
45,2024-07-04 17:15:22,Current,231,55.0
46,2024-07-04 17:15:24,Current,229,57.0
47,2024-07-04 17:15:25,Current,224,58.0
48,2024-07-04 17:15:26,Current,226,59.0
49,2024-07-04 17:15:28,Current,224,61.0
50,2024-07-04 17:15:29,Current,226,62.0
51,2024-07-04 17:15:30,Current,231,63.0
52,2024-07-04 17:15:32,Current,232,65.0
53,2024-07-04 17:15:33,Current,224,66.0
54,2024-07-04 17:15:34,Current,229,67.0
55,2024-07-04 17:15:36,Current,231,69.0
56,2024-07-04 17:15:37,Current,227,70.0
57,2024-07-04 17:15:38,Current,232,71.0
58,2024-07-04 17:15:40,Current,231,73.0
59,2024-07-04 17:15:41,Current,239,74.0
60,2024-07-04 17:15:42,Current,241,75.0
61,2024-07-04 17:15:43,Current,243,76.0
62,2024-07-04 17:15:45,Current,228,78.0
63,2024-07-04 17:15:46,Current,222,79.0
64,2024-07-04 17:15:47,Current,225,80.0
65,2024-07-04 17:15:48,Current,222,81.0
66,2024-07-04 17:15:49,Current,208,82.0
67,2024-07-04 17:15:50,Current,224,83.0
68,2024-07-04 17:15:51,Current,223,84.0
69,2024-07-04 17:15:52,Current,223,85.0
70,2024-07-04 17:15:53,Current,220,86.0
71,2024-07-04 17:15:54,Current,224,87.0
72,2024-07-04 17:15:55,Current,223,88.0
73,2024-07-04 17:15:56,Current,223,89.0
74,2024-07-04 17:15:57,Current,222,90.0
75,2024-07-04 17:15:59,Current,222,92.0
76,2024-07-04 17:16:00,Current,221,93.0
77,2024-07-04 17:16:01,Current,225,94.0
78,2024-07-04 17:16:02,Current,223,95.0
79,2024-07-04 17:16:03,Current,223,96.0
80,2024-07-04 17:16:04,Current,222,97.0
81,2024-07-04 17:16:05,Current,215,98.0
82,2024-07-04 17:16:06,Current,225,99.0
83,2024-07-04 17:16:07,Current,223,100.0
84,2024-07-04 17:16:08,Current,221,101.0
85,2024-07-04 17:16:09,Current,223,102.0
86,2024-07-04 17:16:10,Current,225,103.0
87,2024-07-04 17:16:12,Current,223,105.0
88,2024-07-04 17:16:13,Current,215,106.0
89,2024-07-04 17:16:14,Current,224,107.0
90,2024-07-04 17:16:15,Current,222,108.0
91,2024-07-04 17:16:16,Current,223,109.0
92,2024-07-04 17:16:17,Current,214,110.0
93,2024-07-04 17:16:18,Current,222,111.0
94,2024-07-04 17:16:19,Current,222,112.0
95,2024-07-04 17:16:20,Current,219,113.0
96,2024-07-04 17:16:21,Current,220,114.0
97,2024-07-04 17:16:22,Current,218,115.0
98,2024-07-04 17:16:23,Current,218,116.0
99,2024-07-04 17:16:24,Current,211,117.0
100,2024-07-04 17:16:26,Current,222,119.0
101,2024-07-04 17:16:27,Current,220,120.0
102,2024-07-04 17:16:28,Current,217,121.0
103,2024-07-04 17:16:29,Current,196,122.0
