Timestamp,Sensor,Value
2024-07-21 06:05:19,Current,215
2024-07-21 06:05:20,Current,217
2024-07-21 06:05:21,Current,214
2024-07-21 06:05:22,Current,215
2024-07-21 06:05:23,Current,215
2024-07-21 06:05:25,Current,216
2024-07-21 06:05:26,Current,215
2024-07-21 06:05:27,Current,215
2024-07-21 06:05:28,Current,216
2024-07-21 06:05:29,Current,215
2024-07-21 06:05:30,Current,216
2024-07-21 06:05:31,Current,215
2024-07-21 06:05:32,Current,210
2024-07-21 06:05:33,Current,242
2024-07-21 06:05:35,Current,243
2024-07-21 06:05:36,Current,242
2024-07-21 06:05:37,Current,241
2024-07-21 06:05:38,Current,249
2024-07-21 06:05:40,Current,237
2024-07-21 06:05:41,Current,235
2024-07-21 06:05:42,Current,236
2024-07-21 06:05:43,Current,237
2024-07-21 06:05:45,Current,235
2024-07-21 06:05:46,Current,236
2024-07-21 06:05:47,Current,235
2024-07-21 06:05:49,Current,233
2024-07-21 06:05:50,Current,233
2024-07-21 06:05:51,Current,233
2024-07-21 06:05:53,Current,232
2024-07-21 06:05:54,Current,232
2024-07-21 06:05:55,Current,232
2024-07-21 06:05:57,Current,231
2024-07-21 06:05:58,Current,233
2024-07-21 06:05:59,Current,233
2024-07-21 06:06:01,Current,233
2024-07-21 06:06:02,Current,233
2024-07-21 06:06:03,Current,233
2024-07-21 06:06:05,Current,234
2024-07-21 06:06:06,Current,233
2024-07-21 06:06:07,Current,232
2024-07-21 06:06:09,Current,232
2024-07-21 06:06:10,Current,235
2024-07-21 06:06:11,Current,232
2024-07-21 06:06:13,Current,233
2024-07-21 06:06:14,Current,233
2024-07-21 06:06:15,Current,232
2024-07-21 06:06:17,Current,233
2024-07-21 06:06:18,Current,232
2024-07-21 06:06:19,Current,234
2024-07-21 06:06:21,Current,233
2024-07-21 06:06:22,Current,234
2024-07-21 06:06:23,Current,235
2024-07-21 06:06:25,Current,234
2024-07-21 06:06:26,Current,234
2024-07-21 06:06:27,Current,235
2024-07-21 06:06:29,Current,235
2024-07-21 06:06:30,Current,234
2024-07-21 06:06:31,Current,237
2024-07-21 06:06:33,Current,245
2024-07-21 06:06:34,Current,245
2024-07-21 06:06:35,Current,243
2024-07-21 06:06:36,Current,221
2024-07-21 06:06:37,Current,220
2024-07-21 06:06:38,Current,219
2024-07-21 06:06:40,Current,218
2024-07-21 06:06:41,Current,217
2024-07-21 06:06:42,Current,216
2024-07-21 06:06:43,Current,215
2024-07-21 06:06:44,Current,218
2024-07-21 06:06:45,Current,219
2024-07-21 06:06:46,Current,219
2024-07-21 06:06:47,Current,218
2024-07-21 06:06:48,Current,217
2024-07-21 06:06:49,Current,217
2024-07-21 06:06:50,Current,218
2024-07-21 06:06:52,Current,218
2024-07-21 06:06:53,Current,220
2024-07-21 06:06:54,Current,217
