Timestamp,Sensor,Value
2024-07-09 12:49:37,Current,118
2024-07-09 12:49:38,Current,127
2024-07-09 12:49:40,Current,130
2024-07-09 12:49:41,Current,132
2024-07-09 12:49:42,Current,131
2024-07-09 12:49:43,Current,128
2024-07-09 12:49:44,Current,213
2024-07-09 12:49:45,Current,210
2024-07-09 12:49:46,Current,215
2024-07-09 12:49:47,Current,213
2024-07-09 12:49:48,Current,214
2024-07-09 12:49:49,Current,214
2024-07-09 12:49:50,Current,206
2024-07-09 12:49:51,Current,207
2024-07-09 12:49:52,Current,216
2024-07-09 12:49:53,Current,214
2024-07-09 12:49:55,Current,212
2024-07-09 12:49:56,Current,212
2024-07-09 12:49:57,Current,233
2024-07-09 12:49:58,Current,226
2024-07-09 12:49:59,Current,212
2024-07-09 12:50:00,Current,182
2024-07-09 12:50:01,Current,212
2024-07-09 12:50:02,Current,214
2024-07-09 12:50:03,Current,215
2024-07-09 12:50:04,Current,214
2024-07-09 12:50:05,Current,212
2024-07-09 12:50:06,Current,212
2024-07-09 12:50:07,Current,212
2024-07-09 12:50:09,Current,194
2024-07-09 12:50:10,Current,216
2024-07-09 12:50:11,Current,214
2024-07-09 12:50:12,Current,211
2024-07-09 12:50:13,Current,213
2024-07-09 12:50:14,Current,212
2024-07-09 12:50:15,Current,212
2024-07-09 12:50:16,Current,207
2024-07-09 12:50:17,Current,183
2024-07-09 12:50:18,Current,221
2024-07-09 12:50:19,Current,223
2024-07-09 12:50:20,Current,215
2024-07-09 12:50:21,Current,214
2024-07-09 12:50:22,Current,210
2024-07-09 12:50:24,Current,213
2024-07-09 12:50:25,Current,211
2024-07-09 12:50:26,Current,188
2024-07-09 12:50:27,Current,215
2024-07-09 12:50:28,Current,216
2024-07-09 12:50:29,Current,216
2024-07-09 12:50:30,Current,215
2024-07-09 12:50:31,Current,213
2024-07-09 12:50:32,Current,213
2024-07-09 12:50:33,Current,214
2024-07-09 12:50:34,Current,201
2024-07-09 12:50:35,Current,220
2024-07-09 12:50:36,Current,215
