, Time,RAMWatt,Time Elapsed
0,1720410814.48307,2.03,0.0
1,1720410815.48399,10.34,1.0
2,1720410816.485744,10.93,2.0
3,1720410817.487411,10.55,3.0
4,1720410818.489289,10.38,4.0
5,1720410819.49129,6.31,5.0
6,1720410820.493308,11.43,6.0
7,1720410821.495622,11.81,7.0
8,1720410822.497735,12.04,8.0
9,1720410823.500026,10.36,9.0
10,1720410824.50275,3.48,10.0
11,1720410825.504662,2.48,11.0
12,1720410826.507098,2.3,12.0
13,1720410827.509544,2.47,13.0
14,1720410828.512571,2.11,14.0
15,1720410829.515011,1.82,15.0
16,1720410830.517721,1.82,16.0
17,1720410831.520095,1.98,17.0
18,1720410832.5229,2.43,18.0
19,1720410833.525408,1.93,19.0
20,1720410834.527668,10.34,20.0
21,1720410835.529713,11.86,21.0
22,1720410836.531773,12.32,22.0
23,1720410837.534025,10.37,23.0
24,1720410838.536597,2.84,24.0
25,1720410839.539348,2.02,25.0
26,1720410840.541097,2.7,26.0
27,1720410841.54362,3.12,27.0
28,1720410842.546257,1.89,28.0
29,1720410843.54872,1.86,29.0
30,1720410844.551311,2.34,30.0
31,1720410845.553158,2.11,31.0
32,1720410846.555894,2.17,32.0
33,1720410847.558564,1.97,33.0
34,1720410848.56084,12.08,34.0
35,1720410849.563072,13.08,35.0
36,1720410850.56477,12.93,36.0
37,1720410851.56695,12.6,37.0
38,1720410852.569657,4.2,38.0
