Timestamp,Sensor,Value
2024-07-31 00:31:02,Current,213
2024-07-31 00:31:03,Current,215
2024-07-31 00:31:04,Current,212
2024-07-31 00:31:05,Current,227
2024-07-31 00:31:07,Current,228
2024-07-31 00:31:08,Current,229
2024-07-31 00:31:09,Current,227
2024-07-31 00:31:10,Current,227
2024-07-31 00:31:12,Current,227
2024-07-31 00:31:13,Current,228
2024-07-31 00:31:14,Current,226
2024-07-31 00:31:16,Current,230
2024-07-31 00:31:17,Current,229
2024-07-31 00:31:18,Current,225
2024-07-31 00:31:20,Current,232
2024-07-31 00:31:21,Current,230
2024-07-31 00:31:22,Current,227
2024-07-31 00:31:23,Current,228
2024-07-31 00:31:25,Current,229
2024-07-31 00:31:26,Current,230
2024-07-31 00:31:27,Current,229
2024-07-31 00:31:29,Current,228
2024-07-31 00:31:30,Current,229
2024-07-31 00:31:31,Current,231
2024-07-31 00:31:33,Current,230
2024-07-31 00:31:34,Current,231
2024-07-31 00:31:35,Current,227
2024-07-31 00:31:37,Current,229
2024-07-31 00:31:38,Current,231
2024-07-31 00:31:39,Current,229
2024-07-31 00:31:41,Current,225
2024-07-31 00:31:42,Current,229
2024-07-31 00:31:43,Current,226
2024-07-31 00:31:45,Current,231
2024-07-31 00:31:46,Current,228
2024-07-31 00:31:47,Current,229
2024-07-31 00:31:49,Current,226
2024-07-31 00:31:50,Current,228
2024-07-31 00:31:51,Current,228
2024-07-31 00:31:53,Current,229
2024-07-31 00:31:54,Current,229
2024-07-31 00:31:55,Current,230
2024-07-31 00:31:56,Current,229
2024-07-31 00:31:58,Current,235
2024-07-31 00:31:59,Current,232
2024-07-31 00:32:00,Current,232
2024-07-31 00:32:02,Current,233
2024-07-31 00:32:03,Current,233
2024-07-31 00:32:04,Current,220
2024-07-31 00:32:05,Current,212
2024-07-31 00:32:06,Current,212

