Timestamp,Sensor,Value
2024-07-27 21:55:34,Current,203
2024-07-27 21:55:35,Current,206
2024-07-27 21:55:36,Current,208
2024-07-27 21:55:38,Current,230
2024-07-27 21:55:39,Current,209
2024-07-27 21:55:40,Current,211
2024-07-27 21:55:41,Current,204
2024-07-27 21:55:42,Current,206
2024-07-27 21:55:43,Current,206
2024-07-27 21:55:44,Current,207
2024-07-27 21:55:45,Current,205
2024-07-27 21:55:46,Current,205
2024-07-27 21:55:47,Current,207
2024-07-27 21:55:48,Current,202
2024-07-27 21:55:50,Current,201
2024-07-27 21:55:51,Current,200
2024-07-27 21:55:52,Current,198
2024-07-27 21:55:53,Current,200
2024-07-27 21:55:54,Current,197
2024-07-27 21:55:55,Current,200
2024-07-27 21:55:56,Current,196
2024-07-27 21:55:57,Current,194
2024-07-27 21:55:58,Current,200
2024-07-27 21:55:59,Current,200
2024-07-27 21:56:00,Current,199
2024-07-27 21:56:01,Current,193
2024-07-27 21:56:02,Current,190
2024-07-27 21:56:04,Current,193
2024-07-27 21:56:05,Current,198
2024-07-27 21:56:06,Current,201
2024-07-27 21:56:07,Current,199
2024-07-27 21:56:08,Current,199
2024-07-27 21:56:09,Current,201
2024-07-27 21:56:10,Current,200
2024-07-27 21:56:11,Current,198
2024-07-27 21:56:12,Current,196
2024-07-27 21:56:13,Current,194
2024-07-27 21:56:14,Current,205
2024-07-27 21:56:16,Current,205
2024-07-27 21:56:17,Current,206
2024-07-27 21:56:18,Current,203
2024-07-27 21:56:19,Current,208
2024-07-27 21:56:20,Current,207
2024-07-27 21:56:21,Current,204
2024-07-27 21:56:22,Current,205
2024-07-27 21:56:23,Current,201
2024-07-27 21:56:24,Current,207
2024-07-27 21:56:25,Current,206
2024-07-27 21:56:26,Current,200
2024-07-27 21:56:27,Current,201
2024-07-27 21:56:29,Current,196
2024-07-27 21:56:30,Current,198
2024-07-27 21:56:31,Current,197
2024-07-27 21:56:32,Current,199
2024-07-27 21:56:33,Current,200
2024-07-27 21:56:34,Current,197
2024-07-27 21:56:35,Current,197
2024-07-27 21:56:36,Current,200
2024-07-27 21:56:37,Current,200
2024-07-27 21:56:38,Current,198
2024-07-27 21:56:39,Current,200
2024-07-27 21:56:40,Current,195
2024-07-27 21:56:41,Current,195
2024-07-27 21:56:43,Current,196
2024-07-27 21:56:44,Current,195
2024-07-27 21:56:45,Current,199
2024-07-27 21:56:46,Current,199
2024-07-27 21:56:47,Current,199
2024-07-27 21:56:48,Current,199
2024-07-27 21:56:49,Current,197
2024-07-27 21:56:50,Current,200
2024-07-27 21:56:51,Current,206
2024-07-27 21:56:52,Current,227
2024-07-27 21:56:54,Current,210
2024-07-27 21:56:55,Current,207
2024-07-27 21:56:56,Current,203
2024-07-27 21:56:57,Current,205
2024-07-27 21:56:58,Current,209
2024-07-27 21:56:59,Current,208
2024-07-27 21:57:00,Current,207
2024-07-27 21:57:01,Current,208
2024-07-27 21:57:02,Current,207
2024-07-27 21:57:03,Current,194
2024-07-27 21:57:04,Current,202
2024-07-27 21:57:05,Current,199
2024-07-27 21:57:06,Current,199
2024-07-27 21:57:08,Current,196
2024-07-27 21:57:09,Current,195
2024-07-27 21:57:10,Current,199
2024-07-27 21:57:11,Current,195
2024-07-27 21:57:12,Current,198
2024-07-27 21:57:13,Current,199
2024-07-27 21:57:14,Current,200
2024-07-27 21:57:15,Current,198
2024-07-27 21:57:16,Current,199
2024-07-27 21:57:17,Current,200
2024-07-27 21:57:18,Current,200
2024-07-27 21:57:19,Current,201
2024-07-27 21:57:20,Current,200
2024-07-27 21:57:22,Current,200
2024-07-27 21:57:23,Current,200
2024-07-27 21:57:24,Current,198
2024-07-27 21:57:25,Current,196
2024-07-27 21:57:26,Current,195
2024-07-27 21:57:27,Current,195
2024-07-27 21:57:28,Current,199
2024-07-27 21:57:29,Current,204
2024-07-27 21:57:30,Current,204
