Timestamp,Sensor,Value
2024-07-08 16:30:26,Current,117
2024-07-08 16:30:27,Current,128
2024-07-08 16:30:28,Current,136
2024-07-08 16:30:29,Current,139
2024-07-08 16:30:30,Current,123
2024-07-08 16:30:31,Current,117
2024-07-08 16:30:32,Current,191
2024-07-08 16:30:33,Current,214
2024-07-08 16:30:34,Current,213
2024-07-08 16:30:36,Current,213
2024-07-08 16:30:37,Current,188
2024-07-08 16:30:38,Current,218
2024-07-08 16:30:39,Current,218
2024-07-08 16:30:40,Current,213
2024-07-08 16:30:41,Current,214
2024-07-08 16:30:42,Current,190
2024-07-08 16:30:43,Current,210
2024-07-08 16:30:44,Current,229
2024-07-08 16:30:46,Current,235
2024-07-08 16:30:47,Current,236
2024-07-08 16:30:48,Current,233
2024-07-08 16:30:49,Current,234
2024-07-08 16:30:51,Current,218
2024-07-08 16:30:52,Current,216
2024-07-08 16:30:53,Current,225
2024-07-08 16:30:54,Current,232
2024-07-08 16:30:55,Current,227
2024-07-08 16:30:57,Current,228
2024-07-08 16:30:58,Current,228
2024-07-08 16:30:59,Current,227
2024-07-08 16:31:01,Current,229
2024-07-08 16:31:02,Current,226
2024-07-08 16:31:03,Current,227
2024-07-08 16:31:05,Current,226
2024-07-08 16:31:06,Current,226
2024-07-08 16:31:07,Current,226
2024-07-08 16:31:09,Current,226
2024-07-08 16:31:10,Current,225
2024-07-08 16:31:11,Current,227
2024-07-08 16:31:13,Current,228
2024-07-08 16:31:14,Current,225
2024-07-08 16:31:15,Current,227
2024-07-08 16:31:17,Current,226
2024-07-08 16:31:18,Current,229
2024-07-08 16:31:19,Current,230
2024-07-08 16:31:21,Current,224
2024-07-08 16:31:22,Current,228
2024-07-08 16:31:23,Current,229
2024-07-08 16:31:25,Current,228
2024-07-08 16:31:26,Current,230
2024-07-08 16:31:27,Current,229
2024-07-08 16:31:29,Current,226
2024-07-08 16:31:30,Current,231
2024-07-08 16:31:31,Current,228
2024-07-08 16:31:32,Current,229
2024-07-08 16:31:34,Current,228
2024-07-08 16:31:35,Current,228
2024-07-08 16:31:36,Current,229
2024-07-08 16:31:38,Current,228
2024-07-08 16:31:39,Current,227
2024-07-08 16:31:40,Current,230
2024-07-08 16:31:42,Current,226
2024-07-08 16:31:43,Current,228
2024-07-08 16:31:44,Current,230
2024-07-08 16:31:45,Current,235
2024-07-08 16:31:47,Current,234
2024-07-08 16:31:48,Current,230
2024-07-08 16:31:49,Current,233
2024-07-08 16:31:50,Current,232
2024-07-08 16:31:51,Current,216
2024-07-08 16:31:53,Current,216
2024-07-08 16:31:54,Current,216
2024-07-08 16:31:55,Current,216
2024-07-08 16:31:56,Current,215
2024-07-08 16:31:57,Current,217
2024-07-08 16:31:58,Current,213
2024-07-08 16:31:59,Current,216
2024-07-08 16:32:00,Current,214
2024-07-08 16:32:01,Current,215
2024-07-08 16:32:02,Current,215
2024-07-08 16:32:03,Current,216
2024-07-08 16:32:04,Current,216
2024-07-08 16:32:05,Current,215
2024-07-08 16:32:07,Current,215
2024-07-08 16:32:08,Current,215
2024-07-08 16:32:09,Current,216
2024-07-08 16:32:10,Current,217
2024-07-08 16:32:11,Current,211
2024-07-08 16:32:12,Current,209
2024-07-08 16:32:13,Current,212
2024-07-08 16:32:14,Current,216
2024-07-08 16:32:15,Current,219
2024-07-08 16:32:16,Current,217
2024-07-08 16:32:17,Current,217
2024-07-08 16:32:18,Current,215
2024-07-08 16:32:20,Current,216
2024-07-08 16:32:21,Current,224
2024-07-08 16:32:22,Current,231
2024-07-08 16:32:23,Current,236
2024-07-08 16:32:24,Current,236
2024-07-08 16:32:26,Current,235
2024-07-08 16:32:27,Current,234
2024-07-08 16:32:28,Current,218
2024-07-08 16:32:29,Current,217
2024-07-08 16:32:30,Current,228
2024-07-08 16:32:32,Current,230
2024-07-08 16:32:33,Current,235
2024-07-08 16:32:34,Current,232
2024-07-08 16:32:36,Current,230
2024-07-08 16:32:37,Current,234
2024-07-08 16:32:38,Current,231
2024-07-08 16:32:39,Current,230
2024-07-08 16:32:41,Current,221
2024-07-08 16:32:42,Current,232
2024-07-08 16:32:43,Current,230
2024-07-08 16:32:45,Current,230
2024-07-08 16:32:46,Current,232
2024-07-08 16:32:47,Current,229
2024-07-08 16:32:49,Current,232
2024-07-08 16:32:50,Current,231
2024-07-08 16:32:51,Current,233
2024-07-08 16:32:53,Current,234
2024-07-08 16:32:54,Current,231
2024-07-08 16:32:55,Current,231
2024-07-08 16:32:57,Current,233
2024-07-08 16:32:58,Current,230
2024-07-08 16:32:59,Current,233
2024-07-08 16:33:00,Current,229
2024-07-08 16:33:02,Current,231
2024-07-08 16:33:03,Current,229
2024-07-08 16:33:04,Current,233
2024-07-08 16:33:06,Current,233
2024-07-08 16:33:07,Current,234
2024-07-08 16:33:08,Current,229
2024-07-08 16:33:10,Current,233
2024-07-08 16:33:11,Current,233
2024-07-08 16:33:12,Current,231
2024-07-08 16:33:14,Current,229
2024-07-08 16:33:15,Current,230
2024-07-08 16:33:16,Current,232
2024-07-08 16:33:18,Current,233
2024-07-08 16:33:19,Current,232
2024-07-08 16:33:20,Current,232
2024-07-08 16:33:21,Current,233
2024-07-08 16:33:23,Current,233
2024-07-08 16:33:24,Current,232
2024-07-08 16:33:25,Current,230
2024-07-08 16:33:27,Current,236
2024-07-08 16:33:28,Current,237
2024-07-08 16:33:29,Current,224
2024-07-08 16:33:30,Current,216
2024-07-08 16:33:31,Current,217
2024-07-08 16:33:32,Current,217
2024-07-08 16:33:33,Current,218
2024-07-08 16:33:34,Current,218
2024-07-08 16:33:36,Current,217
2024-07-08 16:33:37,Current,216
2024-07-08 16:33:38,Current,215
2024-07-08 16:33:39,Current,218
2024-07-08 16:33:40,Current,218
2024-07-08 16:33:41,Current,217
2024-07-08 16:33:42,Current,217
2024-07-08 16:33:43,Current,210
2024-07-08 16:33:44,Current,218
