Timestamp,Sensor,Value
2024-07-21 23:24:45,Current,204
2024-07-21 23:24:46,Current,210
2024-07-21 23:24:47,Current,212
2024-07-21 23:24:49,Current,210
2024-07-21 23:24:50,Current,209
2024-07-21 23:24:51,Current,207
2024-07-21 23:24:52,Current,208
2024-07-21 23:24:53,Current,210
2024-07-21 23:24:54,Current,210
2024-07-21 23:24:55,Current,209
2024-07-21 23:24:56,Current,208
2024-07-21 23:24:57,Current,208
2024-07-21 23:24:58,Current,211
2024-07-21 23:25:00,Current,226
2024-07-21 23:25:01,Current,230
2024-07-21 23:25:02,Current,229
2024-07-21 23:25:03,Current,233
2024-07-21 23:25:05,Current,233
2024-07-21 23:25:06,Current,231
2024-07-21 23:25:07,Current,233
2024-07-21 23:25:09,Current,232
2024-07-21 23:25:10,Current,231
2024-07-21 23:25:11,Current,230
2024-07-21 23:25:13,Current,234
2024-07-21 23:25:14,Current,233
2024-07-21 23:25:15,Current,231
2024-07-21 23:25:17,Current,230
2024-07-21 23:25:18,Current,234
2024-07-21 23:25:19,Current,228
2024-07-21 23:25:21,Current,230
2024-07-21 23:25:22,Current,229
2024-07-21 23:25:23,Current,235
2024-07-21 23:25:25,Current,231
2024-07-21 23:25:26,Current,230
2024-07-21 23:25:27,Current,231
2024-07-21 23:25:29,Current,232
2024-07-21 23:25:30,Current,232
2024-07-21 23:25:31,Current,230
2024-07-21 23:25:32,Current,234
2024-07-21 23:25:34,Current,232
2024-07-21 23:25:35,Current,228
2024-07-21 23:25:36,Current,230
2024-07-21 23:25:38,Current,230
2024-07-21 23:25:39,Current,231
2024-07-21 23:25:40,Current,230
2024-07-21 23:25:42,Current,225
2024-07-21 23:25:43,Current,232
2024-07-21 23:25:44,Current,228
2024-07-21 23:25:45,Current,231
2024-07-21 23:25:47,Current,231
2024-07-21 23:25:48,Current,231
2024-07-21 23:25:49,Current,227
2024-07-21 23:25:51,Current,229
2024-07-21 23:25:52,Current,233
2024-07-21 23:25:53,Current,233
2024-07-21 23:25:55,Current,230
2024-07-21 23:25:56,Current,232
2024-07-21 23:25:57,Current,232
2024-07-21 23:25:58,Current,239
2024-07-21 23:26:00,Current,235
2024-07-21 23:26:01,Current,233
2024-07-21 23:26:02,Current,230
2024-07-21 23:26:03,Current,209
2024-07-21 23:26:04,Current,207
2024-07-21 23:26:06,Current,210
2024-07-21 23:26:07,Current,210
2024-07-21 23:26:08,Current,208
2024-07-21 23:26:09,Current,207
2024-07-21 23:26:10,Current,214
2024-07-21 23:26:11,Current,213
2024-07-21 23:26:12,Current,209
2024-07-21 23:26:13,Current,233
2024-07-21 23:26:15,Current,236
2024-07-21 23:26:16,Current,234
2024-07-21 23:26:17,Current,237
2024-07-21 23:26:19,Current,237
2024-07-21 23:26:20,Current,233
2024-07-21 23:26:21,Current,235
2024-07-21 23:26:23,Current,237
2024-07-21 23:26:24,Current,235
2024-07-21 23:26:25,Current,233
2024-07-21 23:26:27,Current,235
2024-07-21 23:26:28,Current,237
2024-07-21 23:26:29,Current,232
2024-07-21 23:26:31,Current,230
2024-07-21 23:26:32,Current,231
2024-07-21 23:26:33,Current,229
2024-07-21 23:26:35,Current,225
2024-07-21 23:26:36,Current,232
2024-07-21 23:26:37,Current,232
2024-07-21 23:26:39,Current,229
2024-07-21 23:26:40,Current,229
2024-07-21 23:26:41,Current,232
2024-07-21 23:26:43,Current,233
2024-07-21 23:26:44,Current,229
2024-07-21 23:26:45,Current,232
2024-07-21 23:26:47,Current,232
2024-07-21 23:26:48,Current,232
2024-07-21 23:26:49,Current,233
2024-07-21 23:26:51,Current,233
2024-07-21 23:26:52,Current,235
2024-07-21 23:26:53,Current,230
2024-07-21 23:26:55,Current,232
2024-07-21 23:26:56,Current,232
2024-07-21 23:26:57,Current,230
2024-07-21 23:26:59,Current,228
2024-07-21 23:27:00,Current,232
2024-07-21 23:27:01,Current,229
2024-07-21 23:27:03,Current,232
2024-07-21 23:27:04,Current,231
2024-07-21 23:27:05,Current,231
2024-07-21 23:27:07,Current,232
2024-07-21 23:27:08,Current,232
2024-07-21 23:27:09,Current,234
2024-07-21 23:27:11,Current,236
