Timestamp,Sensor,Value
2024-07-21 23:13:11,Current,204
2024-07-21 23:13:12,Current,206
2024-07-21 23:13:13,Current,206
2024-07-21 23:13:14,Current,207
2024-07-21 23:13:15,Current,210
2024-07-21 23:13:16,Current,206
2024-07-21 23:13:18,Current,204
2024-07-21 23:13:19,Current,210
2024-07-21 23:13:20,Current,209
2024-07-21 23:13:21,Current,207
2024-07-21 23:13:22,Current,205
2024-07-21 23:13:23,Current,208
2024-07-21 23:13:24,Current,205
2024-07-21 23:13:25,Current,209
2024-07-21 23:13:26,Current,206
2024-07-21 23:13:27,Current,206
2024-07-21 23:13:28,Current,206
2024-07-21 23:13:30,Current,226
2024-07-21 23:13:31,Current,226
2024-07-21 23:13:32,Current,227
2024-07-21 23:13:34,Current,227
2024-07-21 23:13:35,Current,229
2024-07-21 23:13:36,Current,228
2024-07-21 23:13:38,Current,226
2024-07-21 23:13:39,Current,231
2024-07-21 23:13:40,Current,230
2024-07-21 23:13:42,Current,229
2024-07-21 23:13:43,Current,228
2024-07-21 23:13:44,Current,228
2024-07-21 23:13:46,Current,229
2024-07-21 23:13:47,Current,224
2024-07-21 23:13:48,Current,226
2024-07-21 23:13:50,Current,230
2024-07-21 23:13:51,Current,231
2024-07-21 23:13:52,Current,229
2024-07-21 23:13:54,Current,230
2024-07-21 23:13:55,Current,230
2024-07-21 23:13:56,Current,228
2024-07-21 23:13:58,Current,230
2024-07-21 23:13:59,Current,225
2024-07-21 23:14:00,Current,230
2024-07-21 23:14:02,Current,222
2024-07-21 23:14:03,Current,230
2024-07-21 23:14:04,Current,225
2024-07-21 23:14:06,Current,227
2024-07-21 23:14:07,Current,235
2024-07-21 23:14:08,Current,229
2024-07-21 23:14:10,Current,225
2024-07-21 23:14:11,Current,226
2024-07-21 23:14:12,Current,231
2024-07-21 23:14:14,Current,229
2024-07-21 23:14:15,Current,227
2024-07-21 23:14:16,Current,227
2024-07-21 23:14:18,Current,231
2024-07-21 23:14:19,Current,232
2024-07-21 23:14:20,Current,228
2024-07-21 23:14:22,Current,224
2024-07-21 23:14:23,Current,229
2024-07-21 23:14:24,Current,229
2024-07-21 23:14:26,Current,225
2024-07-21 23:14:27,Current,228
2024-07-21 23:14:28,Current,233
2024-07-21 23:14:30,Current,236
2024-07-21 23:14:31,Current,231
2024-07-21 23:14:32,Current,232
2024-07-21 23:14:34,Current,229
2024-07-21 23:14:35,Current,211
2024-07-21 23:14:36,Current,207
2024-07-21 23:14:37,Current,207
2024-07-21 23:14:38,Current,209
2024-07-21 23:14:39,Current,207
2024-07-21 23:14:40,Current,208
2024-07-21 23:14:41,Current,204
2024-07-21 23:14:42,Current,207
2024-07-21 23:14:43,Current,212
2024-07-21 23:14:44,Current,229
2024-07-21 23:14:46,Current,232
2024-07-21 23:14:47,Current,234
2024-07-21 23:14:48,Current,231
2024-07-21 23:14:50,Current,230
2024-07-21 23:14:51,Current,229
2024-07-21 23:14:52,Current,229
2024-07-21 23:14:54,Current,232
2024-07-21 23:14:55,Current,231
2024-07-21 23:14:56,Current,232
2024-07-21 23:14:58,Current,233
2024-07-21 23:14:59,Current,230
2024-07-21 23:15:00,Current,231
2024-07-21 23:15:02,Current,231
2024-07-21 23:15:03,Current,231
2024-07-21 23:15:04,Current,230
2024-07-21 23:15:06,Current,230
2024-07-21 23:15:07,Current,228
2024-07-21 23:15:08,Current,228
2024-07-21 23:15:10,Current,229
2024-07-21 23:15:11,Current,229
2024-07-21 23:15:12,Current,224
2024-07-21 23:15:14,Current,229
2024-07-21 23:15:15,Current,229
2024-07-21 23:15:16,Current,227
2024-07-21 23:15:18,Current,226
2024-07-21 23:15:19,Current,230
2024-07-21 23:15:20,Current,227
2024-07-21 23:15:22,Current,233
2024-07-21 23:15:23,Current,229
2024-07-21 23:15:24,Current,230
