Timestamp,Sensor,Value
2024-07-22 19:20:56,Current,204
2024-07-22 19:20:57,Current,206
2024-07-22 19:20:58,Current,210
2024-07-22 19:20:59,Current,209
2024-07-22 19:21:00,Current,206
2024-07-22 19:21:01,Current,206
2024-07-22 19:21:03,Current,204
2024-07-22 19:21:04,Current,205
2024-07-22 19:21:05,Current,206
2024-07-22 19:21:06,Current,206
2024-07-22 19:21:07,Current,206
2024-07-22 19:21:08,Current,208
2024-07-22 19:21:09,Current,209
2024-07-22 19:21:10,Current,233
2024-07-22 19:21:12,Current,231
2024-07-22 19:21:13,Current,224
2024-07-22 19:21:14,Current,208
2024-07-22 19:21:15,Current,208
2024-07-22 19:21:16,Current,208
2024-07-22 19:21:17,Current,207
2024-07-22 19:21:18,Current,209
2024-07-22 19:21:19,Current,207
2024-07-22 19:21:20,Current,206
2024-07-22 19:21:22,Current,206
2024-07-22 19:21:23,Current,212
2024-07-22 19:21:24,Current,234
2024-07-22 19:21:25,Current,232
2024-07-22 19:21:26,Current,219
2024-07-22 19:21:27,Current,207
2024-07-22 19:21:28,Current,205
2024-07-22 19:21:30,Current,206
2024-07-22 19:21:31,Current,208
2024-07-22 19:21:32,Current,209
2024-07-22 19:21:33,Current,207
2024-07-22 19:21:34,Current,208
2024-07-22 19:21:35,Current,206
2024-07-22 19:21:36,Current,212
2024-07-22 19:21:37,Current,235
2024-07-22 19:21:39,Current,232
2024-07-22 19:21:40,Current,218
2024-07-22 19:21:41,Current,209
2024-07-22 19:21:42,Current,204
2024-07-22 19:21:43,Current,203
2024-07-22 19:21:44,Current,210
2024-07-22 19:21:45,Current,215
