Timestamp,Sensor,Value
2024-07-29 04:22:35,Current,252
2024-07-29 04:22:36,Current,259
2024-07-29 04:22:37,Current,256
2024-07-29 04:22:38,Current,256
2024-07-29 04:22:39,Current,272
2024-07-29 04:22:41,Current,290
2024-07-29 04:22:42,Current,284
2024-07-29 04:22:43,Current,286
2024-07-29 04:22:45,Current,286
2024-07-29 04:22:46,Current,286
2024-07-29 04:22:47,Current,284
2024-07-29 04:22:49,Current,283
2024-07-29 04:22:50,Current,280
2024-07-29 04:22:51,Current,280
2024-07-29 04:22:53,Current,283
2024-07-29 04:22:54,Current,282
2024-07-29 04:22:55,Current,280
2024-07-29 04:22:56,Current,283
2024-07-29 04:22:58,Current,279
2024-07-29 04:22:59,Current,282
2024-07-29 04:23:00,Current,278
2024-07-29 04:23:02,Current,289
2024-07-29 04:23:03,Current,279
2024-07-29 04:23:04,Current,280
2024-07-29 04:23:06,Current,277
2024-07-29 04:23:07,Current,283
2024-07-29 04:23:08,Current,282
2024-07-29 04:23:09,Current,277
2024-07-29 04:23:11,Current,286
2024-07-29 04:23:12,Current,283
2024-07-29 04:23:13,Current,282
2024-07-29 04:23:15,Current,276
2024-07-29 04:23:16,Current,285
2024-07-29 04:23:17,Current,280
2024-07-29 04:23:19,Current,276
2024-07-29 04:23:20,Current,283
2024-07-29 04:23:21,Current,284
2024-07-29 04:23:22,Current,280
2024-07-29 04:23:24,Current,285
2024-07-29 04:23:25,Current,283
2024-07-29 04:23:26,Current,287
2024-07-29 04:23:28,Current,291
2024-07-29 04:23:29,Current,295
2024-07-29 04:23:30,Current,287
2024-07-29 04:23:31,Current,262
