Timestamp,Sensor,Value
2024-07-27 21:42:57,Current,255
2024-07-27 21:42:58,Current,257
2024-07-27 21:43:00,Current,257
2024-07-27 21:43:01,Current,284
2024-07-27 21:43:02,Current,257
2024-07-27 21:43:03,Current,255
2024-07-27 21:43:04,Current,258
2024-07-27 21:43:05,Current,258
2024-07-27 21:43:06,Current,257
2024-07-27 21:43:07,Current,255
2024-07-27 21:43:08,Current,258
2024-07-27 21:43:09,Current,255
2024-07-27 21:43:10,Current,254
2024-07-27 21:43:11,Current,244
2024-07-27 21:43:12,Current,245
2024-07-27 21:43:13,Current,242
2024-07-27 21:43:14,Current,241
2024-07-27 21:43:16,Current,242
2024-07-27 21:43:17,Current,242
2024-07-27 21:43:18,Current,241
2024-07-27 21:43:19,Current,242
2024-07-27 21:43:20,Current,243
2024-07-27 21:43:21,Current,241
2024-07-27 21:43:22,Current,242
2024-07-27 21:43:23,Current,243
2024-07-27 21:43:24,Current,242
2024-07-27 21:43:25,Current,242
2024-07-27 21:43:26,Current,242
2024-07-27 21:43:27,Current,242
2024-07-27 21:43:28,Current,242
2024-07-27 21:43:29,Current,241
2024-07-27 21:43:30,Current,243
2024-07-27 21:43:31,Current,242
2024-07-27 21:43:32,Current,260
2024-07-27 21:43:34,Current,272
2024-07-27 21:43:35,Current,255
2024-07-27 21:43:36,Current,256
2024-07-27 21:43:37,Current,257
2024-07-27 21:43:38,Current,257
2024-07-27 21:43:39,Current,257
2024-07-27 21:43:40,Current,255
2024-07-27 21:43:41,Current,254
2024-07-27 21:43:42,Current,256
2024-07-27 21:43:43,Current,254
2024-07-27 21:43:44,Current,244
2024-07-27 21:43:45,Current,243
2024-07-27 21:43:46,Current,243
2024-07-27 21:43:47,Current,241
2024-07-27 21:43:48,Current,240
2024-07-27 21:43:50,Current,243
2024-07-27 21:43:51,Current,242
2024-07-27 21:43:52,Current,241
2024-07-27 21:43:53,Current,241
2024-07-27 21:43:54,Current,243
2024-07-27 21:43:55,Current,241
2024-07-27 21:43:56,Current,241
2024-07-27 21:43:57,Current,243
2024-07-27 21:43:58,Current,242
2024-07-27 21:43:59,Current,242
2024-07-27 21:44:00,Current,242
2024-07-27 21:44:01,Current,243
2024-07-27 21:44:02,Current,242
2024-07-27 21:44:03,Current,242
2024-07-27 21:44:04,Current,243
2024-07-27 21:44:05,Current,268
2024-07-27 21:44:07,Current,269
2024-07-27 21:44:08,Current,256
2024-07-27 21:44:09,Current,256
2024-07-27 21:44:10,Current,258
2024-07-27 21:44:11,Current,256
2024-07-27 21:44:12,Current,256
2024-07-27 21:44:13,Current,255
2024-07-27 21:44:14,Current,255
2024-07-27 21:44:15,Current,255
2024-07-27 21:44:16,Current,255
2024-07-27 21:44:17,Current,242
2024-07-27 21:44:18,Current,241
2024-07-27 21:44:19,Current,242
2024-07-27 21:44:20,Current,244
2024-07-27 21:44:21,Current,241
2024-07-27 21:44:22,Current,241
2024-07-27 21:44:24,Current,242
2024-07-27 21:44:25,Current,242
2024-07-27 21:44:26,Current,241
2024-07-27 21:44:27,Current,240
2024-07-27 21:44:28,Current,242
2024-07-27 21:44:29,Current,242
2024-07-27 21:44:30,Current,240
2024-07-27 21:44:31,Current,241
2024-07-27 21:44:32,Current,242
2024-07-27 21:44:33,Current,242
2024-07-27 21:44:34,Current,240
2024-07-27 21:44:35,Current,241
2024-07-27 21:44:36,Current,243
2024-07-27 21:44:37,Current,242
2024-07-27 21:44:38,Current,251
2024-07-27 21:44:39,Current,255
2024-07-27 21:44:40,Current,255
2024-07-27 21:44:41,Current,255
2024-07-27 21:44:42,Current,255
2024-07-27 21:44:44,Current,256
2024-07-27 21:44:45,Current,254
2024-07-27 21:44:46,Current,254
2024-07-27 21:44:47,Current,256
2024-07-27 21:44:48,Current,255

