Timestamp,Sensor,Value
2024-07-24 16:54:19,Current,285
2024-07-24 16:54:20,Current,290
2024-07-24 16:54:21,Current,289
2024-07-24 16:54:22,Current,289
2024-07-24 16:54:23,Current,289
2024-07-24 16:54:24,Current,289
2024-07-24 16:54:25,Current,290
2024-07-24 16:54:26,Current,291
2024-07-24 16:54:27,Current,289
2024-07-24 16:54:28,Current,290
2024-07-24 16:54:29,Current,290
2024-07-24 16:54:30,Current,287
2024-07-24 16:54:31,Current,290
2024-07-24 16:54:33,Current,296
2024-07-24 16:54:34,Current,296
2024-07-24 16:54:35,Current,299
2024-07-24 16:54:36,Current,298
2024-07-24 16:54:38,Current,299
2024-07-24 16:54:39,Current,297
2024-07-24 16:54:40,Current,290
2024-07-24 16:54:41,Current,299
2024-07-24 16:54:42,Current,299
2024-07-24 16:54:44,Current,299
2024-07-24 16:54:45,Current,301
2024-07-24 16:54:46,Current,300
2024-07-24 16:54:47,Current,300
2024-07-24 16:54:49,Current,300
2024-07-24 16:54:50,Current,299
2024-07-24 16:54:51,Current,298
2024-07-24 16:54:53,Current,298
2024-07-24 16:54:54,Current,297
2024-07-24 16:54:55,Current,299
2024-07-24 16:54:56,Current,296
2024-07-24 16:54:58,Current,296
2024-07-24 16:54:59,Current,297
2024-07-24 16:55:00,Current,299
2024-07-24 16:55:02,Current,298
2024-07-24 16:55:03,Current,299
2024-07-24 16:55:04,Current,298
2024-07-24 16:55:06,Current,296
2024-07-24 16:55:07,Current,297
2024-07-24 16:55:08,Current,295
2024-07-24 16:55:10,Current,298
2024-07-24 16:55:11,Current,299
2024-07-24 16:55:12,Current,298
2024-07-24 16:55:14,Current,298
2024-07-24 16:55:15,Current,295
2024-07-24 16:55:16,Current,294
2024-07-24 16:55:18,Current,298
2024-07-24 16:55:19,Current,299
2024-07-24 16:55:20,Current,297
2024-07-24 16:55:22,Current,297
2024-07-24 16:55:23,Current,302
2024-07-24 16:55:24,Current,302
2024-07-24 16:55:25,Current,302
2024-07-24 16:55:27,Current,296
2024-07-24 16:55:28,Current,300
2024-07-24 16:55:29,Current,299
2024-07-24 16:55:31,Current,301
2024-07-24 16:55:32,Current,304
2024-07-24 16:55:33,Current,304
2024-07-24 16:55:35,Current,303
2024-07-24 16:55:36,Current,302
2024-07-24 16:55:37,Current,296
2024-07-24 16:55:38,Current,293
2024-07-24 16:55:39,Current,297
2024-07-24 16:55:40,Current,296
2024-07-24 16:55:41,Current,294
2024-07-24 16:55:42,Current,296
2024-07-24 16:55:43,Current,297
2024-07-24 16:55:44,Current,297
2024-07-24 16:55:45,Current,296
2024-07-24 16:55:47,Current,298
2024-07-24 16:55:48,Current,296
2024-07-24 16:55:49,Current,294
2024-07-24 16:55:50,Current,295
2024-07-24 16:55:51,Current,297
2024-07-24 16:55:52,Current,297
2024-07-24 16:55:53,Current,296
2024-07-24 16:55:54,Current,295
2024-07-24 16:55:55,Current,298
2024-07-24 16:55:56,Current,299
2024-07-24 16:55:57,Current,295
2024-07-24 16:55:58,Current,292
2024-07-24 16:55:59,Current,295
2024-07-24 16:56:00,Current,296
2024-07-24 16:56:01,Current,293
2024-07-24 16:56:02,Current,292
2024-07-24 16:56:04,Current,291
2024-07-24 16:56:05,Current,287
2024-07-24 16:56:06,Current,288
2024-07-24 16:56:07,Current,294
2024-07-24 16:56:08,Current,299
2024-07-24 16:56:09,Current,298
2024-07-24 16:56:11,Current,298
2024-07-24 16:56:12,Current,298
2024-07-24 16:56:13,Current,304
2024-07-24 16:56:14,Current,299
2024-07-24 16:56:15,Current,300
2024-07-24 16:56:16,Current,305
2024-07-24 16:56:18,Current,299
2024-07-24 16:56:19,Current,301
2024-07-24 16:56:20,Current,300
2024-07-24 16:56:22,Current,299
2024-07-24 16:56:23,Current,296
2024-07-24 16:56:24,Current,297
