Timestamp,Sensor,Value
2024-07-24 17:42:26,Current,291
2024-07-24 17:42:27,Current,289
2024-07-24 17:42:28,Current,292
2024-07-24 17:42:29,Current,290
2024-07-24 17:42:30,Current,290
2024-07-24 17:42:31,Current,291
2024-07-24 17:42:32,Current,285
2024-07-24 17:42:33,Current,289
2024-07-24 17:42:34,Current,285
2024-07-24 17:42:35,Current,287
2024-07-24 17:42:36,Current,290
2024-07-24 17:42:37,Current,288
2024-07-24 17:42:38,Current,287
2024-07-24 17:42:40,Current,283
2024-07-24 17:42:41,Current,297
2024-07-24 17:42:42,Current,297
2024-07-24 17:42:43,Current,297
2024-07-24 17:42:45,Current,297
2024-07-24 17:42:46,Current,298
2024-07-24 17:42:47,Current,291
2024-07-24 17:42:48,Current,293
2024-07-24 17:42:50,Current,297
2024-07-24 17:42:51,Current,298
2024-07-24 17:42:52,Current,299
2024-07-24 17:42:53,Current,299
2024-07-24 17:42:55,Current,297
2024-07-24 17:42:56,Current,297
2024-07-24 17:42:57,Current,296
2024-07-24 17:42:59,Current,297
2024-07-24 17:43:00,Current,297
2024-07-24 17:43:01,Current,296
2024-07-24 17:43:02,Current,296
2024-07-24 17:43:04,Current,298
2024-07-24 17:43:05,Current,297
2024-07-24 17:43:06,Current,295
2024-07-24 17:43:08,Current,298
2024-07-24 17:43:09,Current,297
2024-07-24 17:43:10,Current,298
2024-07-24 17:43:12,Current,296
2024-07-24 17:43:13,Current,297
2024-07-24 17:43:14,Current,296
2024-07-24 17:43:15,Current,297
2024-07-24 17:43:17,Current,297
2024-07-24 17:43:18,Current,298
2024-07-24 17:43:19,Current,297
2024-07-24 17:43:21,Current,298
2024-07-24 17:43:22,Current,298
2024-07-24 17:43:23,Current,298
2024-07-24 17:43:25,Current,296
2024-07-24 17:43:26,Current,297
2024-07-24 17:43:27,Current,297
2024-07-24 17:43:29,Current,293
2024-07-24 17:43:30,Current,297
2024-07-24 17:43:31,Current,297
2024-07-24 17:43:33,Current,297
2024-07-24 17:43:34,Current,298
2024-07-24 17:43:35,Current,293
2024-07-24 17:43:37,Current,295
2024-07-24 17:43:38,Current,297
2024-07-24 17:43:39,Current,301
2024-07-24 17:43:41,Current,301
2024-07-24 17:43:42,Current,302
2024-07-24 17:43:43,Current,303
2024-07-24 17:43:44,Current,299
2024-07-24 17:43:45,Current,296
2024-07-24 17:43:47,Current,290
2024-07-24 17:43:48,Current,295
2024-07-24 17:43:49,Current,298
2024-07-24 17:43:50,Current,292
2024-07-24 17:43:51,Current,295
2024-07-24 17:43:52,Current,294
2024-07-24 17:43:53,Current,294
2024-07-24 17:43:54,Current,295
2024-07-24 17:43:55,Current,297
2024-07-24 17:43:56,Current,296
2024-07-24 17:43:57,Current,289
2024-07-24 17:43:58,Current,295
2024-07-24 17:43:59,Current,292
2024-07-24 17:44:00,Current,294
2024-07-24 17:44:01,Current,297
2024-07-24 17:44:02,Current,290
2024-07-24 17:44:04,Current,274
2024-07-24 17:44:05,Current,277
2024-07-24 17:44:06,Current,292
2024-07-24 17:44:07,Current,293
2024-07-24 17:44:08,Current,290
2024-07-24 17:44:09,Current,292
2024-07-24 17:44:10,Current,290
2024-07-24 17:44:11,Current,283
2024-07-24 17:44:12,Current,290
2024-07-24 17:44:13,Current,291
2024-07-24 17:44:14,Current,289
2024-07-24 17:44:15,Current,290
2024-07-24 17:44:16,Current,299
2024-07-24 17:44:17,Current,297
2024-07-24 17:44:19,Current,297
2024-07-24 17:44:20,Current,296
2024-07-24 17:44:21,Current,298
2024-07-24 17:44:22,Current,293
2024-07-24 17:44:23,Current,298
2024-07-24 17:44:25,Current,297
2024-07-24 17:44:26,Current,296
2024-07-24 17:44:27,Current,300
2024-07-24 17:44:29,Current,298
2024-07-24 17:44:30,Current,298
2024-07-24 17:44:31,Current,297
2024-07-24 17:44:32,Current,296
2024-07-24 17:44:34,Current,299
2024-07-24 17:44:35,Current,295
2024-07-24 17:44:36,Current,297
2024-07-24 17:44:38,Current,296
2024-07-24 17:44:39,Current,297
2024-07-24 17:44:40,Current,298
2024-07-24 17:44:42,Current,296
2024-07-24 17:44:43,Current,296
2024-07-24 17:44:44,Current,296
2024-07-24 17:44:46,Current,296
2024-07-24 17:44:47,Current,296
2024-07-24 17:44:48,Current,297
2024-07-24 17:44:49,Current,296
2024-07-24 17:44:51,Current,296
2024-07-24 17:44:52,Current,297
2024-07-24 17:44:53,Current,299
2024-07-24 17:44:55,Current,300
2024-07-24 17:44:56,Current,297
2024-07-24 17:44:57,Current,298
2024-07-24 17:44:59,Current,295
2024-07-24 17:45:00,Current,295
2024-07-24 17:45:01,Current,298
2024-07-24 17:45:03,Current,297
2024-07-24 17:45:04,Current,297
2024-07-24 17:45:05,Current,297
2024-07-24 17:45:06,Current,294
2024-07-24 17:45:08,Current,294
2024-07-24 17:45:09,Current,299
2024-07-24 17:45:10,Current,296
2024-07-24 17:45:12,Current,294
2024-07-24 17:45:13,Current,295
2024-07-24 17:45:14,Current,297
2024-07-24 17:45:15,Current,300
2024-07-24 17:45:17,Current,301
2024-07-24 17:45:18,Current,300
2024-07-24 17:45:19,Current,301
2024-07-24 17:45:20,Current,294
2024-07-24 17:45:21,Current,291
2024-07-24 17:45:22,Current,294
2024-07-24 17:45:23,Current,293
2024-07-24 17:45:24,Current,293
2024-07-24 17:45:26,Current,294
2024-07-24 17:45:27,Current,292
2024-07-24 17:45:28,Current,294
2024-07-24 17:45:29,Current,293
2024-07-24 17:45:30,Current,286
2024-07-24 17:45:31,Current,296
2024-07-24 17:45:32,Current,293
2024-07-24 17:45:33,Current,297
2024-07-24 17:45:34,Current,294
2024-07-24 17:45:35,Current,296
2024-07-24 17:45:36,Current,294
2024-07-24 17:45:37,Current,295
2024-07-24 17:45:38,Current,292
2024-07-24 17:45:39,Current,295
2024-07-24 17:45:40,Current,294
2024-07-24 17:45:41,Current,292
2024-07-24 17:45:43,Current,290
2024-07-24 17:45:44,Current,287
2024-07-24 17:45:45,Current,288
2024-07-24 17:45:46,Current,289
2024-07-24 17:45:47,Current,286
2024-07-24 17:45:48,Current,290
2024-07-24 17:45:49,Current,289
2024-07-24 17:45:50,Current,292
2024-07-24 17:45:51,Current,299
