Timestamp,Sensor,Value
2024-07-24 17:37:05,Current,264
2024-07-24 17:37:06,Current,266
2024-07-24 17:37:07,Current,266
2024-07-24 17:37:08,Current,265
2024-07-24 17:37:09,Current,265
2024-07-24 17:37:10,Current,266
2024-07-24 17:37:11,Current,289
2024-07-24 17:37:12,Current,284
2024-07-24 17:37:13,Current,285
2024-07-24 17:37:14,Current,289
2024-07-24 17:37:15,Current,287
2024-07-24 17:37:17,Current,289
2024-07-24 17:37:18,Current,288
2024-07-24 17:37:19,Current,287
2024-07-24 17:37:20,Current,290
2024-07-24 17:37:21,Current,296
2024-07-24 17:37:22,Current,297
2024-07-24 17:37:24,Current,298
2024-07-24 17:37:25,Current,298
2024-07-24 17:37:26,Current,288
2024-07-24 17:37:27,Current,289
2024-07-24 17:37:28,Current,290
2024-07-24 17:37:29,Current,296
2024-07-24 17:37:31,Current,299
2024-07-24 17:37:32,Current,299
2024-07-24 17:37:33,Current,298
2024-07-24 17:37:34,Current,298
2024-07-24 17:37:36,Current,297
2024-07-24 17:37:37,Current,296
2024-07-24 17:37:38,Current,296
2024-07-24 17:37:39,Current,294
2024-07-24 17:37:41,Current,292
2024-07-24 17:37:42,Current,296
2024-07-24 17:37:43,Current,295
2024-07-24 17:37:44,Current,297
2024-07-24 17:37:46,Current,297
2024-07-24 17:37:47,Current,298
2024-07-24 17:37:48,Current,296
2024-07-24 17:37:50,Current,295
2024-07-24 17:37:51,Current,296
2024-07-24 17:37:52,Current,297
2024-07-24 17:37:54,Current,298
2024-07-24 17:37:55,Current,295
2024-07-24 17:37:56,Current,296
2024-07-24 17:37:58,Current,293
2024-07-24 17:37:59,Current,293
2024-07-24 17:38:00,Current,297
2024-07-24 17:38:02,Current,296
2024-07-24 17:38:03,Current,295
2024-07-24 17:38:04,Current,293
2024-07-24 17:38:06,Current,295
2024-07-24 17:38:07,Current,295
2024-07-24 17:38:08,Current,296
2024-07-24 17:38:10,Current,296
2024-07-24 17:38:11,Current,297
2024-07-24 17:38:12,Current,296
2024-07-24 17:38:14,Current,295
2024-07-24 17:38:15,Current,297
2024-07-24 17:38:16,Current,297
2024-07-24 17:38:17,Current,295
2024-07-24 17:38:19,Current,293
2024-07-24 17:38:20,Current,301
2024-07-24 17:38:21,Current,299
2024-07-24 17:38:22,Current,298
2024-07-24 17:38:24,Current,303
2024-07-24 17:38:25,Current,298
2024-07-24 17:38:26,Current,298
2024-07-24 17:38:27,Current,293
2024-07-24 17:38:28,Current,293
2024-07-24 17:38:29,Current,296
2024-07-24 17:38:30,Current,293
2024-07-24 17:38:31,Current,292
2024-07-24 17:38:33,Current,292
2024-07-24 17:38:34,Current,290
2024-07-24 17:38:35,Current,295
2024-07-24 17:38:36,Current,290
2024-07-24 17:38:37,Current,294
2024-07-24 17:38:38,Current,289
2024-07-24 17:38:39,Current,293
2024-07-24 17:38:40,Current,293
2024-07-24 17:38:41,Current,294
2024-07-24 17:38:42,Current,293
2024-07-24 17:38:43,Current,293
2024-07-24 17:38:44,Current,290
2024-07-24 17:38:45,Current,292
2024-07-24 17:38:46,Current,288
2024-07-24 17:38:47,Current,289
2024-07-24 17:38:48,Current,288
2024-07-24 17:38:50,Current,289
2024-07-24 17:38:51,Current,288
2024-07-24 17:38:52,Current,289
2024-07-24 17:38:53,Current,290
