Timestamp,Sensor,Value
2024-07-20 21:29:06,Current,254
2024-07-20 21:29:07,Current,257
2024-07-20 21:29:08,Current,258
2024-07-20 21:29:09,Current,255
2024-07-20 21:29:10,Current,256
2024-07-20 21:29:12,Current,257
2024-07-20 21:29:13,Current,256
2024-07-20 21:29:14,Current,256
2024-07-20 21:29:15,Current,257
2024-07-20 21:29:16,Current,256
2024-07-20 21:29:17,Current,256
2024-07-20 21:29:18,Current,256
2024-07-20 21:29:19,Current,257
2024-07-20 21:29:20,Current,256
2024-07-20 21:29:21,Current,256
2024-07-20 21:29:22,Current,257
2024-07-20 21:29:23,Current,256
2024-07-20 21:29:24,Current,256
2024-07-20 21:29:25,Current,255
2024-07-20 21:29:26,Current,256
2024-07-20 21:29:27,Current,256
2024-07-20 21:29:28,Current,255
2024-07-20 21:29:29,Current,256
2024-07-20 21:29:31,Current,257
2024-07-20 21:29:32,Current,255
2024-07-20 21:29:33,Current,255
2024-07-20 21:29:34,Current,256
2024-07-20 21:29:35,Current,257
2024-07-20 21:29:36,Current,256
2024-07-20 21:29:37,Current,256
2024-07-20 21:29:38,Current,257
2024-07-20 21:29:39,Current,255
2024-07-20 21:29:40,Current,255
2024-07-20 21:29:41,Current,255
2024-07-20 21:29:42,Current,256
2024-07-20 21:29:43,Current,255
2024-07-20 21:29:44,Current,255
2024-07-20 21:29:45,Current,255
2024-07-20 21:29:46,Current,256
2024-07-20 21:29:47,Current,257
2024-07-20 21:29:48,Current,256
2024-07-20 21:29:49,Current,256
2024-07-20 21:29:51,Current,256
2024-07-20 21:29:52,Current,256
2024-07-20 21:29:53,Current,255
2024-07-20 21:29:54,Current,257
2024-07-20 21:29:55,Current,256
2024-07-20 21:29:56,Current,255
2024-07-20 21:29:57,Current,255
2024-07-20 21:29:58,Current,257
2024-07-20 21:29:59,Current,255
2024-07-20 21:30:00,Current,254
2024-07-20 21:30:01,Current,256
2024-07-20 21:30:02,Current,257
2024-07-20 21:30:03,Current,255
2024-07-20 21:30:04,Current,255
2024-07-20 21:30:05,Current,256
2024-07-20 21:30:06,Current,256
2024-07-20 21:30:07,Current,255
2024-07-20 21:30:08,Current,256
2024-07-20 21:30:09,Current,256
2024-07-20 21:30:11,Current,256
2024-07-20 21:30:12,Current,257
2024-07-20 21:30:13,Current,256
2024-07-20 21:30:14,Current,256
2024-07-20 21:30:15,Current,255
2024-07-20 21:30:16,Current,256
2024-07-20 21:30:17,Current,255
2024-07-20 21:30:18,Current,255
2024-07-20 21:30:19,Current,256
2024-07-20 21:30:20,Current,257
2024-07-20 21:30:21,Current,255
2024-07-20 21:30:22,Current,255
2024-07-20 21:30:23,Current,257
2024-07-20 21:30:24,Current,256
2024-07-20 21:30:25,Current,256
2024-07-20 21:30:26,Current,256
2024-07-20 21:30:27,Current,256
2024-07-20 21:30:28,Current,257
2024-07-20 21:30:30,Current,256
2024-07-20 21:30:31,Current,258
2024-07-20 21:30:32,Current,256
2024-07-20 21:30:33,Current,255
2024-07-20 21:30:34,Current,256
2024-07-20 21:30:35,Current,257
2024-07-20 21:30:36,Current,256
2024-07-20 21:30:37,Current,256
2024-07-20 21:30:38,Current,257
2024-07-20 21:30:39,Current,258
2024-07-20 21:30:40,Current,257
2024-07-20 21:30:41,Current,256
2024-07-20 21:30:42,Current,257
2024-07-20 21:30:43,Current,256
2024-07-20 21:30:44,Current,255
2024-07-20 21:30:45,Current,256
2024-07-20 21:30:46,Current,256
2024-07-20 21:30:47,Current,255
2024-07-20 21:30:49,Current,255
2024-07-20 21:30:50,Current,256
2024-07-20 21:30:51,Current,256
2024-07-20 21:30:52,Current,255
2024-07-20 21:30:53,Current,255
2024-07-20 21:30:54,Current,257
2024-07-20 21:30:55,Current,256
2024-07-20 21:30:56,Current,256
2024-07-20 21:30:57,Current,256
2024-07-20 21:30:58,Current,258
2024-07-20 21:30:59,Current,256
2024-07-20 21:31:00,Current,255
2024-07-20 21:31:01,Current,257
2024-07-20 21:31:02,Current,257
