Timestamp,Sensor,Value
2024-07-29 03:56:11,Current,206
2024-07-29 03:56:12,Current,207
2024-07-29 03:56:13,Current,207
2024-07-29 03:56:14,Current,219
2024-07-29 03:56:16,Current,228
2024-07-29 03:56:17,Current,229
2024-07-29 03:56:18,Current,228
2024-07-29 03:56:19,Current,229
2024-07-29 03:56:21,Current,230
2024-07-29 03:56:22,Current,231
2024-07-29 03:56:23,Current,232
2024-07-29 03:56:25,Current,228
2024-07-29 03:56:26,Current,227
2024-07-29 03:56:27,Current,231
2024-07-29 03:56:29,Current,230
2024-07-29 03:56:30,Current,228
2024-07-29 03:56:31,Current,228
2024-07-29 03:56:33,Current,231
2024-07-29 03:56:34,Current,231
2024-07-29 03:56:35,Current,231
2024-07-29 03:56:37,Current,227
2024-07-29 03:56:38,Current,229
2024-07-29 03:56:39,Current,229
2024-07-29 03:56:41,Current,231
2024-07-29 03:56:42,Current,230
2024-07-29 03:56:43,Current,229
2024-07-29 03:56:45,Current,231
2024-07-29 03:56:46,Current,229
2024-07-29 03:56:47,Current,231
2024-07-29 03:56:48,Current,230
2024-07-29 03:56:50,Current,231
2024-07-29 03:56:51,Current,232
2024-07-29 03:56:52,Current,230
2024-07-29 03:56:54,Current,231
2024-07-29 03:56:55,Current,228
2024-07-29 03:56:56,Current,230
2024-07-29 03:56:58,Current,231
2024-07-29 03:56:59,Current,228
2024-07-29 03:57:00,Current,231
2024-07-29 03:57:02,Current,229
2024-07-29 03:57:03,Current,232
2024-07-29 03:57:04,Current,230
2024-07-29 03:57:06,Current,229
2024-07-29 03:57:07,Current,231
2024-07-29 03:57:08,Current,234
2024-07-29 03:57:09,Current,235
2024-07-29 03:57:11,Current,212
